Category: All categories

Week,Necktie: (Worldwide)
2012-01-01,31
2012-01-08,36
2012-01-15,35
2012-01-22,36
2012-01-29,35
2012-02-05,40
2012-02-12,45
2012-02-19,38
2012-02-26,36
2012-03-04,39
2012-03-11,38
2012-03-18,33
2012-03-25,33
2012-04-01,34
2012-04-08,36
2012-04-15,36
2012-04-22,39
2012-04-29,38
2012-05-06,37
2012-05-13,36
2012-05-20,36
2012-05-27,39
2012-06-03,38
2012-06-10,43
2012-06-17,38
2012-06-24,34
2012-07-01,31
2012-07-08,33
2012-07-15,37
2012-07-22,31
2012-07-29,34
2012-08-05,36
2012-08-12,35
2012-08-19,32
2012-08-26,35
2012-09-02,36
2012-09-09,33
2012-09-16,36
2012-09-23,34
2012-09-30,39
2012-10-07,33
2012-10-14,34
2012-10-21,38
2012-10-28,38
2012-11-04,35
2012-11-11,36
2012-11-18,38
2012-11-25,42
2012-12-02,43
2012-12-09,51
2012-12-16,45
2012-12-23,100
2012-12-30,48
2013-01-06,46
2013-01-13,40
2013-01-20,41
2013-01-27,37
2013-02-03,40
2013-02-10,40
2013-02-17,39
2013-02-24,36
2013-03-03,45
2013-03-10,45
2013-03-17,48
2013-03-24,43
2013-03-31,40
2013-04-07,42
2013-04-14,39
2013-04-21,40
2013-04-28,40
2013-05-05,42
2013-05-12,37
2013-05-19,35
2013-05-26,33
2013-06-02,49
2013-06-09,51
2013-06-16,39
2013-06-23,37
2013-06-30,37
2013-07-07,33
2013-07-14,36
2013-07-21,34
2013-07-28,33
2013-08-04,34
2013-08-11,37
2013-08-18,36
2013-08-25,34
2013-09-01,36
2013-09-08,37
2013-09-15,38
2013-09-22,38
2013-09-29,37
2013-10-06,36
2013-10-13,37
2013-10-20,38
2013-10-27,42
2013-11-03,36
2013-11-10,41
2013-11-17,42
2013-11-24,37
2013-12-01,43
2013-12-08,50
2013-12-15,44
2013-12-22,36
2013-12-29,39
2014-01-05,40
2014-01-12,38
2014-01-19,38
2014-01-26,38
2014-02-02,41
2014-02-09,42
2014-02-16,37
2014-02-23,38
2014-03-02,39
2014-03-09,36
2014-03-16,42
2014-03-23,40
2014-03-30,36
2014-04-06,33
2014-04-13,39
2014-04-20,41
2014-04-27,37
2014-05-04,40
2014-05-11,38
2014-05-18,33
2014-05-25,39
2014-06-01,37
2014-06-08,43
2014-06-15,37
2014-06-22,37
2014-06-29,34
2014-07-06,33
2014-07-13,35
2014-07-20,34
2014-07-27,32
2014-08-03,36
2014-08-10,32
2014-08-17,33
2014-08-24,32
2014-08-31,32
2014-09-07,29
2014-09-14,36
2014-09-21,36
2014-09-28,37
2014-10-05,41
2014-10-12,35
2014-10-19,34
2014-10-26,36
2014-11-02,39
2014-11-09,39
2014-11-16,33
2014-11-23,37
2014-11-30,42
2014-12-07,45
2014-12-14,40
2014-12-21,36
2014-12-28,36
2015-01-04,33
2015-01-11,32
2015-01-18,33
2015-01-25,34
2015-02-01,37
2015-02-08,51
2015-02-15,43
2015-02-22,37
2015-03-01,35
2015-03-08,35
2015-03-15,40
2015-03-22,40
2015-03-29,35
2015-04-05,36
2015-04-12,35
2015-04-19,35
2015-04-26,36
2015-05-03,41
2015-05-10,33
2015-05-17,35
2015-05-24,32
2015-05-31,41
2015-06-07,37
2015-06-14,44
2015-06-21,36
2015-06-28,30
2015-07-05,33
2015-07-12,32
2015-07-19,29
2015-07-26,30
2015-08-02,34
2015-08-09,33
2015-08-16,29
2015-08-23,34
2015-08-30,33
2015-09-06,34
2015-09-13,29
2015-09-20,51
2015-09-27,37
2015-10-04,37
2015-10-11,36
2015-10-18,39
2015-10-25,41
2015-11-01,39
2015-11-08,36
2015-11-15,35
2015-11-22,36
2015-11-29,44
2015-12-06,43
2015-12-13,46
2015-12-20,38
2015-12-27,33
