Category: All categories

Week,tights: (Worldwide)
2012-01-01,67
2012-01-08,64
2012-01-15,65
2012-01-22,66
2012-01-29,64
2012-02-05,68
2012-02-12,61
2012-02-19,61
2012-02-26,62
2012-03-04,57
2012-03-11,56
2012-03-18,55
2012-03-25,51
2012-04-01,54
2012-04-08,53
2012-04-15,52
2012-04-22,54
2012-04-29,55
2012-05-06,54
2012-05-13,53
2012-05-20,48
2012-05-27,46
2012-06-03,47
2012-06-10,46
2012-06-17,45
2012-06-24,47
2012-07-01,46
2012-07-08,49
2012-07-15,48
2012-07-22,44
2012-07-29,48
2012-08-05,50
2012-08-12,52
2012-08-19,52
2012-08-26,53
2012-09-02,55
2012-09-09,57
2012-09-16,69
2012-09-23,78
2012-09-30,76
2012-10-07,84
2012-10-14,85
2012-10-21,94
2012-10-28,80
2012-11-04,78
2012-11-11,83
2012-11-18,86
2012-11-25,92
2012-12-02,93
2012-12-09,92
2012-12-16,78
2012-12-23,78
2012-12-30,83
2013-01-06,73
2013-01-13,73
2013-01-20,75
2013-01-27,68
2013-02-03,69
2013-02-10,70
2013-02-17,65
2013-02-24,67
2013-03-03,66
2013-03-10,63
2013-03-17,62
2013-03-24,63
2013-03-31,61
2013-04-07,63
2013-04-14,62
2013-04-21,61
2013-04-28,61
2013-05-05,61
2013-05-12,55
2013-05-19,55
2013-05-26,55
2013-06-02,52
2013-06-09,52
2013-06-16,53
2013-06-23,52
2013-06-30,49
2013-07-07,47
2013-07-14,47
2013-07-21,48
2013-07-28,50
2013-08-04,54
2013-08-11,55
2013-08-18,56
2013-08-25,55
2013-09-01,59
2013-09-08,65
2013-09-15,70
2013-09-22,70
2013-09-29,73
2013-10-06,81
2013-10-13,90
2013-10-20,97
2013-10-27,89
2013-11-03,93
2013-11-10,93
2013-11-17,89
2013-11-24,95
2013-12-01,99
2013-12-08,100
2013-12-15,84
2013-12-22,79
2013-12-29,84
2014-01-05,79
2014-01-12,72
2014-01-19,72
2014-01-26,72
2014-02-02,72
2014-02-09,71
2014-02-16,70
2014-02-23,68
2014-03-02,70
2014-03-09,70
2014-03-16,68
2014-03-23,67
2014-03-30,66
2014-04-06,64
2014-04-13,62
2014-04-20,62
2014-04-27,60
2014-05-04,60
2014-05-11,59
2014-05-18,56
2014-05-25,53
2014-06-01,54
2014-06-08,52
2014-06-15,51
2014-06-22,52
2014-06-29,50
2014-07-06,51
2014-07-13,50
2014-07-20,50
2014-07-27,52
2014-08-03,54
2014-08-10,56
2014-08-17,58
2014-08-24,59
2014-08-31,59
2014-09-07,63
2014-09-14,67
2014-09-21,70
2014-09-28,74
2014-10-05,83
2014-10-12,84
2014-10-19,91
2014-10-26,95
2014-11-02,82
2014-11-09,88
2014-11-16,92
2014-11-23,88
2014-11-30,96
2014-12-07,95
2014-12-14,93
2014-12-21,92
2014-12-28,87
2015-01-04,77
2015-01-11,77
2015-01-18,72
2015-01-25,72
2015-02-01,70
2015-02-08,67
2015-02-15,66
2015-02-22,69
2015-03-01,66
2015-03-08,64
2015-03-15,63
2015-03-22,62
2015-03-29,58
2015-04-05,60
2015-04-12,60
2015-04-19,59
2015-04-26,59
2015-05-03,57
2015-05-10,58
2015-05-17,56
2015-05-24,55
2015-05-31,56
2015-06-07,52
2015-06-14,51
2015-06-21,50
2015-06-28,49
2015-07-05,50
2015-07-12,52
2015-07-19,52
2015-07-26,51
2015-08-02,52
2015-08-09,56
2015-08-16,54
2015-08-23,56
2015-08-30,60
2015-09-06,60
2015-09-13,65
2015-09-20,69
2015-09-27,73
2015-10-04,79
2015-10-11,82
2015-10-18,91
2015-10-25,98
2015-11-01,76
2015-11-08,81
2015-11-15,80
2015-11-22,88
2015-11-29,93
2015-12-06,90
2015-12-13,87
2015-12-20,75
2015-12-27,81
