Category: All categories

Week,toga: (Worldwide)
2012-01-01,51
2012-01-08,55
2012-01-15,54
2012-01-22,54
2012-01-29,58
2012-02-05,62
2012-02-12,68
2012-02-19,73
2012-02-26,65
2012-03-04,65
2012-03-11,68
2012-03-18,74
2012-03-25,81
2012-04-01,71
2012-04-08,68
2012-04-15,71
2012-04-22,68
2012-04-29,64
2012-05-06,62
2012-05-13,62
2012-05-20,68
2012-05-27,60
2012-06-03,58
2012-06-10,57
2012-06-17,55
2012-06-24,54
2012-07-01,55
2012-07-08,58
2012-07-15,56
2012-07-22,59
2012-07-29,52
2012-08-05,50
2012-08-12,57
2012-08-19,62
2012-08-26,64
2012-09-02,69
2012-09-09,72
2012-09-16,84
2012-09-23,86
2012-09-30,81
2012-10-07,77
2012-10-14,77
2012-10-21,97
2012-10-28,79
2012-11-04,50
2012-11-11,52
2012-11-18,52
2012-11-25,54
2012-12-02,49
2012-12-09,48
2012-12-16,43
2012-12-23,36
2012-12-30,41
2013-01-06,45
2013-01-13,49
2013-01-20,50
2013-01-27,54
2013-02-03,57
2013-02-10,56
2013-02-17,70
2013-02-24,58
2013-03-03,59
2013-03-10,59
2013-03-17,59
2013-03-24,53
2013-03-31,56
2013-04-07,58
2013-04-14,58
2013-04-21,60
2013-04-28,58
2013-05-05,58
2013-05-12,57
2013-05-19,55
2013-05-26,52
2013-06-02,58
2013-06-09,53
2013-06-16,52
2013-06-23,53
2013-06-30,52
2013-07-07,54
2013-07-14,53
2013-07-21,51
2013-07-28,47
2013-08-04,48
2013-08-11,55
2013-08-18,58
2013-08-25,62
2013-09-01,66
2013-09-08,68
2013-09-15,74
2013-09-22,80
2013-09-29,76
2013-10-06,77
2013-10-13,70
2013-10-20,84
2013-10-27,87
2013-11-03,55
2013-11-10,53
2013-11-17,57
2013-11-24,51
2013-12-01,48
2013-12-08,49
2013-12-15,44
2013-12-22,36
2013-12-29,40
2014-01-05,44
2014-01-12,49
2014-01-19,53
2014-01-26,51
2014-02-02,56
2014-02-09,59
2014-02-16,61
2014-02-23,70
2014-03-02,62
2014-03-09,62
2014-03-16,60
2014-03-23,65
2014-03-30,60
2014-04-06,61
2014-04-13,57
2014-04-20,60
2014-04-27,64
2014-05-04,60
2014-05-11,61
2014-05-18,61
2014-05-25,63
2014-06-01,63
2014-06-08,57
2014-06-15,54
2014-06-22,54
2014-06-29,51
2014-07-06,62
2014-07-13,72
2014-07-20,54
2014-07-27,53
2014-08-03,55
2014-08-10,56
2014-08-17,63
2014-08-24,66
2014-08-31,67
2014-09-07,72
2014-09-14,74
2014-09-21,78
2014-09-28,77
2014-10-05,71
2014-10-12,76
2014-10-19,83
2014-10-26,100
2014-11-02,60
2014-11-09,59
2014-11-16,58
2014-11-23,57
2014-11-30,56
2014-12-07,52
2014-12-14,49
2014-12-21,39
2014-12-28,42
2015-01-04,48
2015-01-11,53
2015-01-18,54
2015-01-25,54
2015-02-01,58
2015-02-08,58
2015-02-15,60
2015-02-22,72
2015-03-01,62
2015-03-08,62
2015-03-15,60
2015-03-22,65
2015-03-29,55
2015-04-05,57
2015-04-12,65
2015-04-19,63
2015-04-26,60
2015-05-03,58
2015-05-10,61
2015-05-17,61
2015-05-24,62
2015-05-31,59
2015-06-07,61
2015-06-14,53
2015-06-21,52
2015-06-28,52
2015-07-05,60
2015-07-12,49
2015-07-19,60
2015-07-26,61
2015-08-02,51
2015-08-09,61
2015-08-16,59
2015-08-23,63
2015-08-30,66
2015-09-06,72
2015-09-13,80
2015-09-20,81
2015-09-27,76
2015-10-04,75
2015-10-11,72
2015-10-18,75
2015-10-25,92
2015-11-01,62
2015-11-08,57
2015-11-15,54
2015-11-22,58
2015-11-29,57
2015-12-06,54
2015-12-13,54
2015-12-20,42
2015-12-27,44
