Category: All categories

Week,Pantyhose: (Worldwide)
2012-01-01,89
2012-01-08,85
2012-01-15,84
2012-01-22,84
2012-01-29,83
2012-02-05,82
2012-02-12,80
2012-02-19,81
2012-02-26,81
2012-03-04,81
2012-03-11,80
2012-03-18,82
2012-03-25,80
2012-04-01,82
2012-04-08,83
2012-04-15,82
2012-04-22,83
2012-04-29,85
2012-05-06,84
2012-05-13,84
2012-05-20,81
2012-05-27,81
2012-06-03,84
2012-06-10,83
2012-06-17,82
2012-06-24,84
2012-07-01,84
2012-07-08,85
2012-07-15,84
2012-07-22,85
2012-07-29,85
2012-08-05,85
2012-08-12,86
2012-08-19,88
2012-08-26,85
2012-09-02,90
2012-09-09,86
2012-09-16,89
2012-09-23,91
2012-09-30,88
2012-10-07,89
2012-10-14,88
2012-10-21,89
2012-10-28,90
2012-11-04,87
2012-11-11,90
2012-11-18,88
2012-11-25,87
2012-12-02,90
2012-12-09,92
2012-12-16,92
2012-12-23,100
2012-12-30,97
2013-01-06,88
2013-01-13,87
2013-01-20,87
2013-01-27,88
2013-02-03,87
2013-02-10,90
2013-02-17,86
2013-02-24,86
2013-03-03,86
2013-03-10,85
2013-03-17,83
2013-03-24,86
2013-03-31,90
2013-04-07,95
2013-04-14,88
2013-04-21,87
2013-04-28,87
2013-05-05,87
2013-05-12,83
2013-05-19,81
2013-05-26,83
2013-06-02,82
2013-06-09,82
2013-06-16,85
2013-06-23,84
2013-06-30,84
2013-07-07,85
2013-07-14,83
2013-07-21,82
2013-07-28,85
2013-08-04,83
2013-08-11,84
2013-08-18,84
2013-08-25,85
2013-09-01,83
2013-09-08,83
2013-09-15,84
2013-09-22,84
2013-09-29,84
2013-10-06,87
2013-10-13,89
2013-10-20,87
2013-10-27,87
2013-11-03,86
2013-11-10,85
2013-11-17,84
2013-11-24,84
2013-12-01,87
2013-12-08,89
2013-12-15,88
2013-12-22,94
2013-12-29,96
2014-01-05,87
2014-01-12,82
2014-01-19,83
2014-01-26,85
2014-02-02,84
2014-02-09,81
2014-02-16,81
2014-02-23,81
2014-03-02,81
2014-03-09,81
2014-03-16,79
2014-03-23,81
2014-03-30,80
2014-04-06,81
2014-04-13,84
2014-04-20,83
2014-04-27,83
2014-05-04,81
2014-05-11,82
2014-05-18,79
2014-05-25,83
2014-06-01,84
2014-06-08,84
2014-06-15,84
2014-06-22,83
2014-06-29,83
2014-07-06,83
2014-07-13,81
2014-07-20,81
2014-07-27,85
2014-08-03,84
2014-08-10,83
2014-08-17,81
2014-08-24,82
2014-08-31,84
2014-09-07,79
2014-09-14,82
2014-09-21,79
2014-09-28,83
2014-10-05,84
2014-10-12,81
2014-10-19,82
2014-10-26,86
2014-11-02,80
2014-11-09,81
2014-11-16,80
2014-11-23,80
2014-11-30,80
2014-12-07,84
2014-12-14,81
2014-12-21,89
2014-12-28,92
2015-01-04,79
2015-01-11,78
2015-01-18,74
2015-01-25,75
2015-02-01,77
2015-02-08,76
2015-02-15,78
2015-02-22,75
2015-03-01,75
2015-03-08,75
2015-03-15,76
2015-03-22,74
2015-03-29,77
2015-04-05,78
2015-04-12,74
2015-04-19,73
2015-04-26,79
2015-05-03,73
2015-05-10,74
2015-05-17,75
2015-05-24,72
2015-05-31,73
2015-06-07,72
2015-06-14,71
2015-06-21,72
2015-06-28,74
2015-07-05,73
2015-07-12,75
2015-07-19,76
2015-07-26,74
2015-08-02,73
2015-08-09,73
2015-08-16,74
2015-08-23,72
2015-08-30,75
2015-09-06,74
2015-09-13,73
2015-09-20,76
2015-09-27,76
2015-10-04,76
2015-10-11,75
2015-10-18,78
2015-10-25,78
2015-11-01,77
2015-11-08,75
2015-11-15,74
2015-11-22,75
2015-11-29,75
2015-12-06,77
2015-12-13,79
2015-12-20,82
2015-12-27,86
