Category: All categories

Week,Jacket: (Worldwide)
2012-01-01,61
2012-01-08,57
2012-01-15,59
2012-01-22,55
2012-01-29,52
2012-02-05,52
2012-02-12,49
2012-02-19,49
2012-02-26,48
2012-03-04,47
2012-03-11,45
2012-03-18,43
2012-03-25,41
2012-04-01,43
2012-04-08,45
2012-04-15,44
2012-04-22,44
2012-04-29,43
2012-05-06,41
2012-05-13,39
2012-05-20,36
2012-05-27,34
2012-06-03,39
2012-06-10,39
2012-06-17,38
2012-06-24,38
2012-07-01,39
2012-07-08,41
2012-07-15,43
2012-07-22,42
2012-07-29,46
2012-08-05,46
2012-08-12,46
2012-08-19,46
2012-08-26,47
2012-09-02,48
2012-09-09,52
2012-09-16,58
2012-09-23,61
2012-09-30,61
2012-10-07,67
2012-10-14,65
2012-10-21,65
2012-10-28,66
2012-11-04,65
2012-11-11,67
2012-11-18,72
2012-11-25,77
2012-12-02,73
2012-12-09,76
2012-12-16,68
2012-12-23,74
2012-12-30,68
2013-01-06,59
2013-01-13,59
2013-01-20,59
2013-01-27,54
2013-02-03,52
2013-02-10,51
2013-02-17,52
2013-02-24,50
2013-03-03,49
2013-03-10,48
2013-03-17,48
2013-03-24,48
2013-03-31,46
2013-04-07,46
2013-04-14,47
2013-04-21,45
2013-04-28,43
2013-05-05,41
2013-05-12,42
2013-05-19,41
2013-05-26,40
2013-06-02,38
2013-06-09,38
2013-06-16,36
2013-06-23,38
2013-06-30,37
2013-07-07,35
2013-07-14,35
2013-07-21,37
2013-07-28,40
2013-08-04,42
2013-08-11,44
2013-08-18,45
2013-08-25,45
2013-09-01,47
2013-09-08,53
2013-09-15,58
2013-09-22,58
2013-09-29,59
2013-10-06,62
2013-10-13,67
2013-10-20,68
2013-10-27,67
2013-11-03,70
2013-11-10,76
2013-11-17,74
2013-11-24,85
2013-12-01,82
2013-12-08,84
2013-12-15,74
2013-12-22,76
2013-12-29,71
2014-01-05,66
2014-01-12,59
2014-01-19,59
2014-01-26,59
2014-02-02,58
2014-02-09,58
2014-02-16,54
2014-02-23,52
2014-03-02,51
2014-03-09,47
2014-03-16,47
2014-03-23,49
2014-03-30,48
2014-04-06,47
2014-04-13,47
2014-04-20,46
2014-04-27,46
2014-05-04,43
2014-05-11,41
2014-05-18,38
2014-05-25,39
2014-06-01,38
2014-06-08,35
2014-06-15,36
2014-06-22,36
2014-06-29,36
2014-07-06,39
2014-07-13,39
2014-07-20,39
2014-07-27,41
2014-08-03,43
2014-08-10,46
2014-08-17,49
2014-08-24,53
2014-08-31,50
2014-09-07,51
2014-09-14,57
2014-09-21,58
2014-09-28,59
2014-10-05,66
2014-10-12,66
2014-10-19,66
2014-10-26,68
2014-11-02,75
2014-11-09,81
2014-11-16,85
2014-11-23,85
2014-11-30,87
2014-12-07,84
2014-12-14,76
2014-12-21,76
2014-12-28,77
2015-01-04,68
2015-01-11,64
2015-01-18,60
2015-01-25,59
2015-02-01,57
2015-02-08,54
2015-02-15,56
2015-02-22,55
2015-03-01,54
2015-03-08,53
2015-03-15,49
2015-03-22,49
2015-03-29,49
2015-04-05,48
2015-04-12,47
2015-04-19,45
2015-04-26,46
2015-05-03,44
2015-05-10,44
2015-05-17,44
2015-05-24,43
2015-05-31,43
2015-06-07,40
2015-06-14,40
2015-06-21,41
2015-06-28,39
2015-07-05,41
2015-07-12,43
2015-07-19,45
2015-07-26,47
2015-08-02,46
2015-08-09,46
2015-08-16,48
2015-08-23,51
2015-08-30,54
2015-09-06,56
2015-09-13,60
2015-09-20,62
2015-09-27,67
2015-10-04,70
2015-10-11,72
2015-10-18,78
2015-10-25,78
2015-11-01,75
2015-11-08,80
2015-11-15,84
2015-11-22,100
2015-11-29,97
2015-12-06,88
2015-12-13,88
2015-12-20,87
2015-12-27,89
