Category: All categories

Week,Pattern grading: (Worldwide)
2012-01-01,33
2012-01-08,38
2012-01-15,31
2012-01-22,41
2012-01-29,37
2012-02-05,27
2012-02-12,58
2012-02-19,20
2012-02-26,44
2012-03-04,51
2012-03-11,43
2012-03-18,71
2012-03-25,24
2012-04-01,25
2012-04-08,35
2012-04-15,37
2012-04-22,37
2012-04-29,44
2012-05-06,50
2012-05-13,47
2012-05-20,100
2012-05-27,37
2012-06-03,20
2012-06-10,59
2012-06-17,46
2012-06-24,37
2012-07-01,20
2012-07-08,37
2012-07-15,17
2012-07-22,24
2012-07-29,44
2012-08-05,34
2012-08-12,17
2012-08-19,47
2012-08-26,49
2012-09-02,36
2012-09-09,22
2012-09-16,71
2012-09-23,33
2012-09-30,31
2012-10-07,40
2012-10-14,21
2012-10-21,24
2012-10-28,37
2012-11-04,47
2012-11-11,45
2012-11-18,36
2012-11-25,32
2012-12-02,29
2012-12-09,38
2012-12-16,54
2012-12-23,46
2012-12-30,28
2013-01-06,48
2013-01-13,37
2013-01-20,50
2013-01-27,36
2013-02-03,47
2013-02-10,28
2013-02-17,22
2013-02-24,38
2013-03-03,48
2013-03-10,56
2013-03-17,37
2013-03-24,55
2013-03-31,33
2013-04-07,29
2013-04-14,57
2013-04-21,46
2013-04-28,44
2013-05-05,44
2013-05-12,43
2013-05-19,52
2013-05-26,67
2013-06-02,21
2013-06-09,24
2013-06-16,46
2013-06-23,30
2013-06-30,25
2013-07-07,36
2013-07-14,47
2013-07-21,16
2013-07-28,33
2013-08-04,33
2013-08-11,35
2013-08-18,32
2013-08-25,45
2013-09-01,26
2013-09-08,23
2013-09-15,51
2013-09-22,46
2013-09-29,48
2013-10-06,58
2013-10-13,38
2013-10-20,42
2013-10-27,68
2013-11-03,30
2013-11-10,52
2013-11-17,44
2013-11-24,37
2013-12-01,36
2013-12-08,47
2013-12-15,28
2013-12-22,22
2013-12-29,24
2014-01-05,39
2014-01-12,31
2014-01-19,54
2014-01-26,46
2014-02-02,59
2014-02-09,37
2014-02-16,30
2014-02-23,37
2014-03-02,40
2014-03-09,47
2014-03-16,55
2014-03-23,46
2014-03-30,26
2014-04-06,33
2014-04-13,73
2014-04-20,53
2014-04-27,59
2014-05-04,37
2014-05-11,30
2014-05-18,44
2014-05-25,29
2014-06-01,47
2014-06-08,32
2014-06-15,45
2014-06-22,56
2014-06-29,43
2014-07-06,42
2014-07-13,34
2014-07-20,59
2014-07-27,32
2014-08-03,42
2014-08-10,16
2014-08-17,26
2014-08-24,44
2014-08-31,45
2014-09-07,49
2014-09-14,40
2014-09-21,47
2014-09-28,50
2014-10-05,42
2014-10-12,29
2014-10-19,41
2014-10-26,48
2014-11-02,24
2014-11-09,45
2014-11-16,43
2014-11-23,28
2014-11-30,40
2014-12-07,36
2014-12-14,31
2014-12-21,20
2014-12-28,29
2015-01-04,35
2015-01-11,30
2015-01-18,40
2015-01-25,45
2015-02-01,44
2015-02-08,53
2015-02-15,36
2015-02-22,33
2015-03-01,24
2015-03-08,44
2015-03-15,31
2015-03-22,46
2015-03-29,39
2015-04-05,45
2015-04-12,40
2015-04-19,44
2015-04-26,34
2015-05-03,42
2015-05-10,52
2015-05-17,44
2015-05-24,73
2015-05-31,42
2015-06-07,40
2015-06-14,31
2015-06-21,58
2015-06-28,41
2015-07-05,38
2015-07-12,54
2015-07-19,41
2015-07-26,42
2015-08-02,40
2015-08-09,27
2015-08-16,51
2015-08-23,42
2015-08-30,47
2015-09-06,43
2015-09-13,32
2015-09-20,34
2015-09-27,42
2015-10-04,37
2015-10-11,35
2015-10-18,31
2015-10-25,35
2015-11-01,35
2015-11-08,41
2015-11-15,39
2015-11-22,39
2015-11-29,24
2015-12-06,35
2015-12-13,40
2015-12-20,42
2015-12-27,25
