Category: All categories

Week,Petticoat: (Worldwide)
2012-01-01,72
2012-01-08,74
2012-01-15,79
2012-01-22,81
2012-01-29,81
2012-02-05,73
2012-02-12,75
2012-02-19,63
2012-02-26,72
2012-03-04,69
2012-03-11,69
2012-03-18,62
2012-03-25,62
2012-04-01,64
2012-04-08,66
2012-04-15,69
2012-04-22,64
2012-04-29,72
2012-05-06,67
2012-05-13,64
2012-05-20,63
2012-05-27,68
2012-06-03,62
2012-06-10,74
2012-06-17,65
2012-06-24,65
2012-07-01,77
2012-07-08,72
2012-07-15,88
2012-07-22,69
2012-07-29,73
2012-08-05,63
2012-08-12,69
2012-08-19,69
2012-08-26,65
2012-09-02,70
2012-09-09,59
2012-09-16,65
2012-09-23,70
2012-09-30,76
2012-10-07,68
2012-10-14,75
2012-10-21,83
2012-10-28,65
2012-11-04,64
2012-11-11,57
2012-11-18,60
2012-11-25,63
2012-12-02,59
2012-12-09,55
2012-12-16,56
2012-12-23,57
2012-12-30,65
2013-01-06,75
2013-01-13,78
2013-01-20,80
2013-01-27,86
2013-02-03,67
2013-02-10,66
2013-02-17,61
2013-02-24,64
2013-03-03,66
2013-03-10,65
2013-03-17,62
2013-03-24,62
2013-03-31,68
2013-04-07,62
2013-04-14,62
2013-04-21,62
2013-04-28,70
2013-05-05,67
2013-05-12,67
2013-05-19,66
2013-05-26,67
2013-06-02,63
2013-06-09,58
2013-06-16,56
2013-06-23,59
2013-06-30,63
2013-07-07,68
2013-07-14,71
2013-07-21,61
2013-07-28,70
2013-08-04,65
2013-08-11,62
2013-08-18,60
2013-08-25,59
2013-09-01,62
2013-09-08,60
2013-09-15,62
2013-09-22,65
2013-09-29,70
2013-10-06,73
2013-10-13,74
2013-10-20,82
2013-10-27,73
2013-11-03,66
2013-11-10,68
2013-11-17,65
2013-11-24,61
2013-12-01,62
2013-12-08,58
2013-12-15,54
2013-12-22,57
2013-12-29,72
2014-01-05,66
2014-01-12,72
2014-01-19,75
2014-01-26,79
2014-02-02,80
2014-02-09,85
2014-02-16,80
2014-02-23,78
2014-03-02,74
2014-03-09,69
2014-03-16,61
2014-03-23,65
2014-03-30,67
2014-04-06,64
2014-04-13,70
2014-04-20,68
2014-04-27,69
2014-05-04,65
2014-05-11,69
2014-05-18,66
2014-05-25,65
2014-06-01,66
2014-06-08,65
2014-06-15,64
2014-06-22,61
2014-06-29,73
2014-07-06,61
2014-07-13,61
2014-07-20,66
2014-07-27,70
2014-08-03,66
2014-08-10,67
2014-08-17,62
2014-08-24,61
2014-08-31,62
2014-09-07,59
2014-09-14,61
2014-09-21,63
2014-09-28,66
2014-10-05,70
2014-10-12,73
2014-10-19,70
2014-10-26,71
2014-11-02,59
2014-11-09,61
2014-11-16,56
2014-11-23,56
2014-11-30,62
2014-12-07,60
2014-12-14,54
2014-12-21,56
2014-12-28,71
2015-01-04,71
2015-01-11,74
2015-01-18,72
2015-01-25,77
2015-02-01,77
2015-02-08,74
2015-02-15,62
2015-02-22,62
2015-03-01,69
2015-03-08,60
2015-03-15,59
2015-03-22,66
2015-03-29,68
2015-04-05,63
2015-04-12,59
2015-04-19,60
2015-04-26,61
2015-05-03,62
2015-05-10,64
2015-05-17,64
2015-05-24,66
2015-05-31,63
2015-06-07,66
2015-06-14,57
2015-06-21,56
2015-06-28,64
2015-07-05,62
2015-07-12,65
2015-07-19,66
2015-07-26,70
2015-08-02,65
2015-08-09,63
2015-08-16,62
2015-08-23,62
2015-08-30,63
2015-09-06,59
2015-09-13,56
2015-09-20,58
2015-09-27,62
2015-10-04,59
2015-10-11,65
2015-10-18,100
2015-10-25,72
2015-11-01,63
2015-11-08,56
2015-11-15,57
2015-11-22,55
2015-11-29,67
2015-12-06,57
2015-12-13,54
2015-12-20,57
2015-12-27,68
