Category: All categories

Week,Platform shoe: (Worldwide)
2012-01-01,79
2012-01-08,63
2012-01-15,62
2012-01-22,77
2012-01-29,76
2012-02-05,78
2012-02-12,72
2012-02-19,81
2012-02-26,73
2012-03-04,58
2012-03-11,52
2012-03-18,83
2012-03-25,73
2012-04-01,67
2012-04-08,75
2012-04-15,100
2012-04-22,91
2012-04-29,90
2012-05-06,77
2012-05-13,91
2012-05-20,59
2012-05-27,54
2012-06-03,54
2012-06-10,75
2012-06-17,60
2012-06-24,60
2012-07-01,69
2012-07-08,77
2012-07-15,77
2012-07-22,56
2012-07-29,66
2012-08-05,69
2012-08-12,52
2012-08-19,77
2012-08-26,73
2012-09-02,78
2012-09-09,71
2012-09-16,61
2012-09-23,69
2012-09-30,77
2012-10-07,59
2012-10-14,88
2012-10-21,66
2012-10-28,57
2012-11-04,51
2012-11-11,58
2012-11-18,75
2012-11-25,58
2012-12-02,49
2012-12-09,52
2012-12-16,51
2012-12-23,66
2012-12-30,77
2013-01-06,56
2013-01-13,54
2013-01-20,64
2013-01-27,61
2013-02-03,56
2013-02-10,53
2013-02-17,64
2013-02-24,71
2013-03-03,60
2013-03-10,67
2013-03-17,64
2013-03-24,68
2013-03-31,69
2013-04-07,56
2013-04-14,61
2013-04-21,63
2013-04-28,74
2013-05-05,51
2013-05-12,76
2013-05-19,57
2013-05-26,54
2013-06-02,47
2013-06-09,42
2013-06-16,61
2013-06-23,63
2013-06-30,44
2013-07-07,41
2013-07-14,65
2013-07-21,53
2013-07-28,51
2013-08-04,53
2013-08-11,58
2013-08-18,63
2013-08-25,50
2013-09-01,40
2013-09-08,44
2013-09-15,47
2013-09-22,54
2013-09-29,53
2013-10-06,52
2013-10-13,57
2013-10-20,65
2013-10-27,40
2013-11-03,56
2013-11-10,59
2013-11-17,33
2013-11-24,41
2013-12-01,60
2013-12-08,41
2013-12-15,51
2013-12-22,43
2013-12-29,50
2014-01-05,55
2014-01-12,45
2014-01-19,42
2014-01-26,46
2014-02-02,58
2014-02-09,60
2014-02-16,43
2014-02-23,64
2014-03-02,57
2014-03-09,57
2014-03-16,56
2014-03-23,53
2014-03-30,60
2014-04-06,59
2014-04-13,59
2014-04-20,50
2014-04-27,50
2014-05-04,52
2014-05-11,53
2014-05-18,67
2014-05-25,54
2014-06-01,67
2014-06-08,42
2014-06-15,47
2014-06-22,45
2014-06-29,52
2014-07-06,68
2014-07-13,51
2014-07-20,47
2014-07-27,36
2014-08-03,47
2014-08-10,47
2014-08-17,60
2014-08-24,40
2014-08-31,56
2014-09-07,47
2014-09-14,43
2014-09-21,56
2014-09-28,44
2014-10-05,38
2014-10-12,50
2014-10-19,45
2014-10-26,42
2014-11-02,50
2014-11-09,48
2014-11-16,37
2014-11-23,50
2014-11-30,48
2014-12-07,53
2014-12-14,45
2014-12-21,43
2014-12-28,63
2015-01-04,48
2015-01-11,39
2015-01-18,43
2015-01-25,40
2015-02-01,50
2015-02-08,41
2015-02-15,43
2015-02-22,60
2015-03-01,52
2015-03-08,50
2015-03-15,45
2015-03-22,58
2015-03-29,47
2015-04-05,55
2015-04-12,49
2015-04-19,46
2015-04-26,42
2015-05-03,44
2015-05-10,45
2015-05-17,46
2015-05-24,35
2015-05-31,47
2015-06-07,39
2015-06-14,43
2015-06-21,32
2015-06-28,39
2015-07-05,42
2015-07-12,39
2015-07-19,47
2015-07-26,38
2015-08-02,36
2015-08-09,31
2015-08-16,42
2015-08-23,40
2015-08-30,35
2015-09-06,42
2015-09-13,48
2015-09-20,51
2015-09-27,37
2015-10-04,46
2015-10-11,43
2015-10-18,40
2015-10-25,35
2015-11-01,41
2015-11-08,33
2015-11-15,31
2015-11-22,31
2015-11-29,33
2015-12-06,35
2015-12-13,38
2015-12-20,28
2015-12-27,27
