Category: All categories

Week,Pleat: (Worldwide)
2012-01-01,70
2012-01-08,85
2012-01-15,89
2012-01-22,82
2012-01-29,83
2012-02-05,83
2012-02-12,70
2012-02-19,82
2012-02-26,87
2012-03-04,76
2012-03-11,93
2012-03-18,81
2012-03-25,82
2012-04-01,91
2012-04-08,76
2012-04-15,89
2012-04-22,80
2012-04-29,88
2012-05-06,87
2012-05-13,78
2012-05-20,76
2012-05-27,72
2012-06-03,78
2012-06-10,81
2012-06-17,75
2012-06-24,85
2012-07-01,78
2012-07-08,80
2012-07-15,87
2012-07-22,86
2012-07-29,73
2012-08-05,78
2012-08-12,81
2012-08-19,76
2012-08-26,88
2012-09-02,78
2012-09-09,85
2012-09-16,80
2012-09-23,95
2012-09-30,75
2012-10-07,80
2012-10-14,80
2012-10-21,77
2012-10-28,76
2012-11-04,69
2012-11-11,84
2012-11-18,83
2012-11-25,78
2012-12-02,77
2012-12-09,61
2012-12-16,65
2012-12-23,66
2012-12-30,78
2013-01-06,77
2013-01-13,90
2013-01-20,90
2013-01-27,91
2013-02-03,88
2013-02-10,77
2013-02-17,86
2013-02-24,74
2013-03-03,83
2013-03-10,79
2013-03-17,83
2013-03-24,84
2013-03-31,89
2013-04-07,89
2013-04-14,84
2013-04-21,89
2013-04-28,82
2013-05-05,73
2013-05-12,76
2013-05-19,78
2013-05-26,82
2013-06-02,74
2013-06-09,84
2013-06-16,81
2013-06-23,89
2013-06-30,75
2013-07-07,82
2013-07-14,79
2013-07-21,76
2013-07-28,89
2013-08-04,79
2013-08-11,90
2013-08-18,83
2013-08-25,85
2013-09-01,81
2013-09-08,81
2013-09-15,83
2013-09-22,93
2013-09-29,85
2013-10-06,85
2013-10-13,92
2013-10-20,89
2013-10-27,85
2013-11-03,93
2013-11-10,88
2013-11-17,85
2013-11-24,77
2013-12-01,84
2013-12-08,68
2013-12-15,71
2013-12-22,68
2013-12-29,79
2014-01-05,84
2014-01-12,85
2014-01-19,85
2014-01-26,85
2014-02-02,86
2014-02-09,85
2014-02-16,91
2014-02-23,87
2014-03-02,87
2014-03-09,89
2014-03-16,92
2014-03-23,89
2014-03-30,87
2014-04-06,94
2014-04-13,88
2014-04-20,94
2014-04-27,87
2014-05-04,82
2014-05-11,89
2014-05-18,81
2014-05-25,85
2014-06-01,89
2014-06-08,85
2014-06-15,76
2014-06-22,76
2014-06-29,91
2014-07-06,88
2014-07-13,89
2014-07-20,94
2014-07-27,84
2014-08-03,89
2014-08-10,92
2014-08-17,96
2014-08-24,90
2014-08-31,79
2014-09-07,95
2014-09-14,89
2014-09-21,88
2014-09-28,90
2014-10-05,93
2014-10-12,85
2014-10-19,95
2014-10-26,89
2014-11-02,100
2014-11-09,96
2014-11-16,88
2014-11-23,89
2014-11-30,88
2014-12-07,78
2014-12-14,61
2014-12-21,66
2014-12-28,95
2015-01-04,86
2015-01-11,90
2015-01-18,92
2015-01-25,89
2015-02-01,93
2015-02-08,85
2015-02-15,89
2015-02-22,91
2015-03-01,80
2015-03-08,93
2015-03-15,89
2015-03-22,81
2015-03-29,87
2015-04-05,88
2015-04-12,81
2015-04-19,86
2015-04-26,86
2015-05-03,95
2015-05-10,84
2015-05-17,78
2015-05-24,91
2015-05-31,87
2015-06-07,80
2015-06-14,80
2015-06-21,84
2015-06-28,83
2015-07-05,80
2015-07-12,90
2015-07-19,98
2015-07-26,92
2015-08-02,99
2015-08-09,85
2015-08-16,87
2015-08-23,94
2015-08-30,95
2015-09-06,90
2015-09-13,83
2015-09-20,88
2015-09-27,87
2015-10-04,88
2015-10-11,85
2015-10-18,91
2015-10-25,88
2015-11-01,97
2015-11-08,92
2015-11-15,83
2015-11-22,91
2015-11-29,90
2015-12-06,77
2015-12-13,80
2015-12-20,64
2015-12-27,93
