Category: All categories

Week,Pocket: (Worldwide)
2012-01-01,72
2012-01-08,69
2012-01-15,70
2012-01-22,69
2012-01-29,68
2012-02-05,70
2012-02-12,69
2012-02-19,69
2012-02-26,67
2012-03-04,66
2012-03-11,65
2012-03-18,66
2012-03-25,65
2012-04-01,69
2012-04-08,68
2012-04-15,71
2012-04-22,76
2012-04-29,73
2012-05-06,72
2012-05-13,77
2012-05-20,72
2012-05-27,74
2012-06-03,75
2012-06-10,77
2012-06-17,86
2012-06-24,83
2012-07-01,84
2012-07-08,84
2012-07-15,90
2012-07-22,88
2012-07-29,86
2012-08-05,85
2012-08-12,87
2012-08-19,85
2012-08-26,84
2012-09-02,84
2012-09-09,82
2012-09-16,81
2012-09-23,81
2012-09-30,80
2012-10-07,77
2012-10-14,76
2012-10-21,79
2012-10-28,77
2012-11-04,77
2012-11-11,83
2012-11-18,87
2012-11-25,86
2012-12-02,86
2012-12-09,88
2012-12-16,90
2012-12-23,100
2012-12-30,95
2013-01-06,84
2013-01-13,84
2013-01-20,85
2013-01-27,87
2013-02-03,88
2013-02-10,88
2013-02-17,89
2013-02-24,88
2013-03-03,86
2013-03-10,86
2013-03-17,87
2013-03-24,88
2013-03-31,88
2013-04-07,87
2013-04-14,84
2013-04-21,86
2013-04-28,90
2013-05-05,85
2013-05-12,83
2013-05-19,83
2013-05-26,84
2013-06-02,89
2013-06-09,86
2013-06-16,82
2013-06-23,83
2013-06-30,85
2013-07-07,85
2013-07-14,86
2013-07-21,87
2013-07-28,87
2013-08-04,89
2013-08-11,90
2013-08-18,87
2013-08-25,84
2013-09-01,83
2013-09-08,80
2013-09-15,82
2013-09-22,79
2013-09-29,81
2013-10-06,80
2013-10-13,81
2013-10-20,79
2013-10-27,78
2013-11-03,80
2013-11-10,81
2013-11-17,82
2013-11-24,87
2013-12-01,87
2013-12-08,89
2013-12-15,90
2013-12-22,98
2013-12-29,93
2014-01-05,83
2014-01-12,80
2014-01-19,82
2014-01-26,82
2014-02-02,80
2014-02-09,78
2014-02-16,82
2014-02-23,82
2014-03-02,82
2014-03-09,77
2014-03-16,78
2014-03-23,79
2014-03-30,78
2014-04-06,79
2014-04-13,82
2014-04-20,81
2014-04-27,79
2014-05-04,79
2014-05-11,76
2014-05-18,76
2014-05-25,76
2014-06-01,75
2014-06-08,75
2014-06-15,74
2014-06-22,75
2014-06-29,74
2014-07-06,81
2014-07-13,85
2014-07-20,85
2014-07-27,83
2014-08-03,82
2014-08-10,79
2014-08-17,78
2014-08-24,75
2014-08-31,74
2014-09-07,74
2014-09-14,74
2014-09-21,75
2014-09-28,75
2014-10-05,75
2014-10-12,74
2014-10-19,74
2014-10-26,73
2014-11-02,73
2014-11-09,74
2014-11-16,75
2014-11-23,79
2014-11-30,82
2014-12-07,82
2014-12-14,81
2014-12-21,86
2014-12-28,85
2015-01-04,77
2015-01-11,75
2015-01-18,74
2015-01-25,75
2015-02-01,74
2015-02-08,72
2015-02-15,74
2015-02-22,73
2015-03-01,72
2015-03-08,72
2015-03-15,72
2015-03-22,72
2015-03-29,74
2015-04-05,74
2015-04-12,72
2015-04-19,74
2015-04-26,75
2015-05-03,72
2015-05-10,72
2015-05-17,70
2015-05-24,73
2015-05-31,79
2015-06-07,77
2015-06-14,75
2015-06-21,75
2015-06-28,74
2015-07-05,75
2015-07-12,76
2015-07-19,79
2015-07-26,78
2015-08-02,80
2015-08-09,79
2015-08-16,78
2015-08-23,76
2015-08-30,74
2015-09-06,77
2015-09-13,73
2015-09-20,72
2015-09-27,71
2015-10-04,71
2015-10-11,71
2015-10-18,71
2015-10-25,71
2015-11-01,77
2015-11-08,75
2015-11-15,75
2015-11-22,79
2015-11-29,79
2015-12-06,78
2015-12-13,81
2015-12-20,87
2015-12-27,86
