Category: All categories

Week,Poncho: (Worldwide)
2012-01-01,58
2012-01-08,56
2012-01-15,51
2012-01-22,50
2012-01-29,46
2012-02-05,45
2012-02-12,44
2012-02-19,41
2012-02-26,39
2012-03-04,37
2012-03-11,36
2012-03-18,36
2012-03-25,35
2012-04-01,38
2012-04-08,39
2012-04-15,40
2012-04-22,40
2012-04-29,41
2012-05-06,36
2012-05-13,36
2012-05-20,33
2012-05-27,34
2012-06-03,39
2012-06-10,38
2012-06-17,38
2012-06-24,38
2012-07-01,40
2012-07-08,43
2012-07-15,43
2012-07-22,36
2012-07-29,37
2012-08-05,36
2012-08-12,33
2012-08-19,40
2012-08-26,41
2012-09-02,42
2012-09-09,42
2012-09-16,45
2012-09-23,48
2012-09-30,48
2012-10-07,46
2012-10-14,46
2012-10-21,48
2012-10-28,45
2012-11-04,44
2012-11-11,45
2012-11-18,43
2012-11-25,45
2012-12-02,44
2012-12-09,44
2012-12-16,40
2012-12-23,39
2012-12-30,36
2013-01-06,36
2013-01-13,36
2013-01-20,37
2013-01-27,34
2013-02-03,33
2013-02-10,31
2013-02-17,32
2013-02-24,32
2013-03-03,30
2013-03-10,30
2013-03-17,31
2013-03-24,33
2013-03-31,31
2013-04-07,31
2013-04-14,31
2013-04-21,31
2013-04-28,32
2013-05-05,33
2013-05-12,34
2013-05-19,35
2013-05-26,37
2013-06-02,34
2013-06-09,34
2013-06-16,34
2013-06-23,35
2013-06-30,35
2013-07-07,37
2013-07-14,36
2013-07-21,34
2013-07-28,34
2013-08-04,36
2013-08-11,35
2013-08-18,41
2013-08-25,39
2013-09-01,37
2013-09-08,45
2013-09-15,49
2013-09-22,44
2013-09-29,47
2013-10-06,48
2013-10-13,50
2013-10-20,49
2013-10-27,49
2013-11-03,49
2013-11-10,49
2013-11-17,51
2013-11-24,49
2013-12-01,47
2013-12-08,50
2013-12-15,43
2013-12-22,43
2013-12-29,44
2014-01-05,42
2014-01-12,40
2014-01-19,39
2014-01-26,41
2014-02-02,38
2014-02-09,36
2014-02-16,36
2014-02-23,36
2014-03-02,35
2014-03-09,37
2014-03-16,35
2014-03-23,34
2014-03-30,36
2014-04-06,35
2014-04-13,34
2014-04-20,35
2014-04-27,39
2014-05-04,39
2014-05-11,37
2014-05-18,36
2014-05-25,41
2014-06-01,40
2014-06-08,37
2014-06-15,38
2014-06-22,40
2014-06-29,44
2014-07-06,49
2014-07-13,45
2014-07-20,40
2014-07-27,44
2014-08-03,44
2014-08-10,47
2014-08-17,50
2014-08-24,53
2014-08-31,50
2014-09-07,51
2014-09-14,56
2014-09-21,57
2014-09-28,59
2014-10-05,66
2014-10-12,68
2014-10-19,67
2014-10-26,69
2014-11-02,70
2014-11-09,70
2014-11-16,68
2014-11-23,65
2014-11-30,70
2014-12-07,68
2014-12-14,62
2014-12-21,57
2014-12-28,59
2015-01-04,55
2015-01-11,54
2015-01-18,51
2015-01-25,47
2015-02-01,47
2015-02-08,45
2015-02-15,42
2015-02-22,42
2015-03-01,43
2015-03-08,42
2015-03-15,41
2015-03-22,40
2015-03-29,42
2015-04-05,42
2015-04-12,39
2015-04-19,39
2015-04-26,42
2015-05-03,43
2015-05-10,43
2015-05-17,44
2015-05-24,43
2015-05-31,46
2015-06-07,51
2015-06-14,49
2015-06-21,49
2015-06-28,45
2015-07-05,64
2015-07-12,51
2015-07-19,50
2015-07-26,50
2015-08-02,52
2015-08-09,50
2015-08-16,56
2015-08-23,59
2015-08-30,64
2015-09-06,77
2015-09-13,84
2015-09-20,86
2015-09-27,93
2015-10-04,95
2015-10-11,100
2015-10-18,93
2015-10-25,91
2015-11-01,88
2015-11-08,86
2015-11-15,83
2015-11-22,90
2015-11-29,86
2015-12-06,81
2015-12-13,79
2015-12-20,72
2015-12-27,72
