Category: All categories

Week,Power dressing: (Worldwide)
2012-01-01,58
2012-01-08,55
2012-01-15,67
2012-01-22,47
2012-01-29,42
2012-02-05,54
2012-02-12,65
2012-02-19,80
2012-02-26,77
2012-03-04,54
2012-03-11,60
2012-03-18,50
2012-03-25,50
2012-04-01,68
2012-04-08,40
2012-04-15,68
2012-04-22,53
2012-04-29,50
2012-05-06,53
2012-05-13,57
2012-05-20,60
2012-05-27,57
2012-06-03,75
2012-06-10,49
2012-06-17,37
2012-06-24,23
2012-07-01,80
2012-07-08,34
2012-07-15,88
2012-07-22,43
2012-07-29,54
2012-08-05,46
2012-08-12,50
2012-08-19,73
2012-08-26,67
2012-09-02,96
2012-09-09,54
2012-09-16,69
2012-09-23,68
2012-09-30,57
2012-10-07,86
2012-10-14,72
2012-10-21,100
2012-10-28,58
2012-11-04,71
2012-11-11,54
2012-11-18,64
2012-11-25,69
2012-12-02,59
2012-12-09,64
2012-12-16,68
2012-12-23,30
2012-12-30,60
2013-01-06,60
2013-01-13,56
2013-01-20,66
2013-01-27,84
2013-02-03,38
2013-02-10,54
2013-02-17,34
2013-02-24,46
2013-03-03,73
2013-03-10,72
2013-03-17,51
2013-03-24,47
2013-03-31,68
2013-04-07,45
2013-04-14,58
2013-04-21,37
2013-04-28,47
2013-05-05,52
2013-05-12,60
2013-05-19,57
2013-05-26,42
2013-06-02,61
2013-06-09,57
2013-06-16,64
2013-06-23,55
2013-06-30,60
2013-07-07,68
2013-07-14,50
2013-07-21,78
2013-07-28,49
2013-08-04,66
2013-08-11,89
2013-08-18,61
2013-08-25,45
2013-09-01,38
2013-09-08,37
2013-09-15,55
2013-09-22,43
2013-09-29,89
2013-10-06,54
2013-10-13,69
2013-10-20,39
2013-10-27,31
2013-11-03,84
2013-11-10,61
2013-11-17,53
2013-11-24,73
2013-12-01,39
2013-12-08,37
2013-12-15,34
2013-12-22,54
2013-12-29,46
2014-01-05,44
2014-01-12,56
2014-01-19,61
2014-01-26,59
2014-02-02,67
2014-02-09,65
2014-02-16,74
2014-02-23,78
2014-03-02,50
2014-03-09,64
2014-03-16,57
2014-03-23,52
2014-03-30,74
2014-04-06,40
2014-04-13,52
2014-04-20,63
2014-04-27,64
2014-05-04,66
2014-05-11,47
2014-05-18,59
2014-05-25,50
2014-06-01,50
2014-06-08,33
2014-06-15,57
2014-06-22,48
2014-06-29,48
2014-07-06,54
2014-07-13,57
2014-07-20,52
2014-07-27,58
2014-08-03,50
2014-08-10,36
2014-08-17,38
2014-08-24,55
2014-08-31,43
2014-09-07,61
2014-09-14,39
2014-09-21,69
2014-09-28,77
2014-10-05,72
2014-10-12,79
2014-10-19,81
2014-10-26,60
2014-11-02,46
2014-11-09,61
2014-11-16,86
2014-11-23,83
2014-11-30,69
2014-12-07,62
2014-12-14,76
2014-12-21,30
2014-12-28,47
2015-01-04,76
2015-01-11,67
2015-01-18,38
2015-01-25,51
2015-02-01,40
2015-02-08,30
2015-02-15,67
2015-02-22,62
2015-03-01,55
2015-03-08,38
2015-03-15,57
2015-03-22,68
2015-03-29,46
2015-04-05,82
2015-04-12,82
2015-04-19,67
2015-04-26,84
2015-05-03,55
2015-05-10,41
2015-05-17,53
2015-05-24,50
2015-05-31,51
2015-06-07,58
2015-06-14,93
2015-06-21,85
2015-06-28,64
2015-07-05,59
2015-07-12,72
2015-07-19,36
2015-07-26,60
2015-08-02,64
2015-08-09,48
2015-08-16,62
2015-08-23,44
2015-08-30,68
2015-09-06,46
2015-09-13,79
2015-09-20,34
2015-09-27,78
2015-10-04,61
2015-10-11,61
2015-10-18,72
2015-10-25,61
2015-11-01,72
2015-11-08,54
2015-11-15,60
2015-11-22,72
2015-11-29,50
2015-12-06,58
2015-12-13,36
2015-12-20,39
2015-12-27,52
