Category: All categories

Week,Revers: (Worldwide)
2012-01-01,77
2012-01-08,68
2012-01-15,77
2012-01-22,77
2012-01-29,74
2012-02-05,75
2012-02-12,79
2012-02-19,76
2012-02-26,75
2012-03-04,80
2012-03-11,72
2012-03-18,71
2012-03-25,82
2012-04-01,73
2012-04-08,64
2012-04-15,67
2012-04-22,76
2012-04-29,75
2012-05-06,74
2012-05-13,72
2012-05-20,80
2012-05-27,76
2012-06-03,75
2012-06-10,75
2012-06-17,61
2012-06-24,67
2012-07-01,64
2012-07-08,60
2012-07-15,62
2012-07-22,61
2012-07-29,59
2012-08-05,54
2012-08-12,62
2012-08-19,59
2012-08-26,62
2012-09-02,70
2012-09-09,75
2012-09-16,75
2012-09-23,77
2012-09-30,74
2012-10-07,76
2012-10-14,68
2012-10-21,74
2012-10-28,65
2012-11-04,75
2012-11-11,76
2012-11-18,70
2012-11-25,68
2012-12-02,69
2012-12-09,64
2012-12-16,67
2012-12-23,52
2012-12-30,56
2013-01-06,76
2013-01-13,72
2013-01-20,65
2013-01-27,63
2013-02-03,66
2013-02-10,56
2013-02-17,64
2013-02-24,67
2013-03-03,64
2013-03-10,67
2013-03-17,58
2013-03-24,61
2013-03-31,62
2013-04-07,68
2013-04-14,66
2013-04-21,62
2013-04-28,60
2013-05-05,63
2013-05-12,62
2013-05-19,70
2013-05-26,68
2013-06-02,71
2013-06-09,59
2013-06-16,59
2013-06-23,64
2013-06-30,58
2013-07-07,56
2013-07-14,56
2013-07-21,59
2013-07-28,55
2013-08-04,55
2013-08-11,54
2013-08-18,53
2013-08-25,63
2013-09-01,61
2013-09-08,64
2013-09-15,65
2013-09-22,71
2013-09-29,69
2013-10-06,69
2013-10-13,68
2013-10-20,72
2013-10-27,64
2013-11-03,71
2013-11-10,64
2013-11-17,68
2013-11-24,63
2013-12-01,70
2013-12-08,64
2013-12-15,60
2013-12-22,53
2013-12-29,53
2014-01-05,71
2014-01-12,65
2014-01-19,68
2014-01-26,68
2014-02-02,69
2014-02-09,69
2014-02-16,71
2014-02-23,66
2014-03-02,100
2014-03-09,74
2014-03-16,66
2014-03-23,67
2014-03-30,67
2014-04-06,68
2014-04-13,66
2014-04-20,68
2014-04-27,63
2014-05-04,68
2014-05-11,64
2014-05-18,68
2014-05-25,64
2014-06-01,66
2014-06-08,69
2014-06-15,66
2014-06-22,66
2014-06-29,65
2014-07-06,61
2014-07-13,59
2014-07-20,60
2014-07-27,68
2014-08-03,55
2014-08-10,59
2014-08-17,57
2014-08-24,68
2014-08-31,79
2014-09-07,66
2014-09-14,66
2014-09-21,70
2014-09-28,69
2014-10-05,67
2014-10-12,73
2014-10-19,68
2014-10-26,70
2014-11-02,71
2014-11-09,74
2014-11-16,74
2014-11-23,70
2014-11-30,71
2014-12-07,76
2014-12-14,72
2014-12-21,62
2014-12-28,66
2015-01-04,69
2015-01-11,73
2015-01-18,75
2015-01-25,72
2015-02-01,73
2015-02-08,69
2015-02-15,76
2015-02-22,76
2015-03-01,70
2015-03-08,74
2015-03-15,70
2015-03-22,66
2015-03-29,73
2015-04-05,67
2015-04-12,72
2015-04-19,76
2015-04-26,77
2015-05-03,70
2015-05-10,68
2015-05-17,72
2015-05-24,74
2015-05-31,77
2015-06-07,75
2015-06-14,74
2015-06-21,68
2015-06-28,59
2015-07-05,70
2015-07-12,64
2015-07-19,68
2015-07-26,59
2015-08-02,64
2015-08-09,60
2015-08-16,63
2015-08-23,67
2015-08-30,69
2015-09-06,74
2015-09-13,71
2015-09-20,71
2015-09-27,68
2015-10-04,74
2015-10-11,77
2015-10-18,70
2015-10-25,81
2015-11-01,81
2015-11-08,77
2015-11-15,73
2015-11-22,71
2015-11-29,70
2015-12-06,74
2015-12-13,73
2015-12-20,63
2015-12-27,63
