Category: All categories

Week,Robe: (Worldwide)
2012-01-01,38
2012-01-08,39
2012-01-15,41
2012-01-22,43
2012-01-29,43
2012-02-05,40
2012-02-12,41
2012-02-19,44
2012-02-26,45
2012-03-04,49
2012-03-11,47
2012-03-18,48
2012-03-25,47
2012-04-01,49
2012-04-08,52
2012-04-15,51
2012-04-22,50
2012-04-29,50
2012-05-06,49
2012-05-13,48
2012-05-20,49
2012-05-27,48
2012-06-03,47
2012-06-10,46
2012-06-17,42
2012-06-24,45
2012-07-01,45
2012-07-08,42
2012-07-15,42
2012-07-22,40
2012-07-29,37
2012-08-05,36
2012-08-12,35
2012-08-19,36
2012-08-26,38
2012-09-02,38
2012-09-09,39
2012-09-16,41
2012-09-23,42
2012-09-30,41
2012-10-07,40
2012-10-14,41
2012-10-21,42
2012-10-28,41
2012-11-04,42
2012-11-11,42
2012-11-18,46
2012-11-25,47
2012-12-02,48
2012-12-09,52
2012-12-16,47
2012-12-23,43
2012-12-30,39
2013-01-06,40
2013-01-13,42
2013-01-20,41
2013-01-27,42
2013-02-03,41
2013-02-10,42
2013-02-17,42
2013-02-24,45
2013-03-03,44
2013-03-10,47
2013-03-17,47
2013-03-24,50
2013-03-31,48
2013-04-07,47
2013-04-14,47
2013-04-21,48
2013-04-28,50
2013-05-05,49
2013-05-12,49
2013-05-19,51
2013-05-26,50
2013-06-02,48
2013-06-09,47
2013-06-16,46
2013-06-23,49
2013-06-30,46
2013-07-07,43
2013-07-14,45
2013-07-21,45
2013-07-28,42
2013-08-04,41
2013-08-11,37
2013-08-18,40
2013-08-25,40
2013-09-01,39
2013-09-08,40
2013-09-15,40
2013-09-22,40
2013-09-29,41
2013-10-06,40
2013-10-13,40
2013-10-20,45
2013-10-27,44
2013-11-03,42
2013-11-10,45
2013-11-17,47
2013-11-24,51
2013-12-01,54
2013-12-08,55
2013-12-15,54
2013-12-22,49
2013-12-29,45
2014-01-05,46
2014-01-12,48
2014-01-19,48
2014-01-26,49
2014-02-02,50
2014-02-09,48
2014-02-16,49
2014-02-23,51
2014-03-02,52
2014-03-09,52
2014-03-16,53
2014-03-23,53
2014-03-30,54
2014-04-06,53
2014-04-13,55
2014-04-20,57
2014-04-27,59
2014-05-04,59
2014-05-11,58
2014-05-18,59
2014-05-25,58
2014-06-01,60
2014-06-08,59
2014-06-15,56
2014-06-22,59
2014-06-29,55
2014-07-06,53
2014-07-13,51
2014-07-20,51
2014-07-27,49
2014-08-03,47
2014-08-10,45
2014-08-17,44
2014-08-24,46
2014-08-31,44
2014-09-07,44
2014-09-14,45
2014-09-21,46
2014-09-28,48
2014-10-05,46
2014-10-12,47
2014-10-19,48
2014-10-26,51
2014-11-02,48
2014-11-09,52
2014-11-16,54
2014-11-23,58
2014-11-30,59
2014-12-07,61
2014-12-14,59
2014-12-21,55
2014-12-28,51
2015-01-04,45
2015-01-11,48
2015-01-18,49
2015-01-25,50
2015-02-01,48
2015-02-08,51
2015-02-15,54
2015-02-22,100
2015-03-01,94
2015-03-08,62
2015-03-15,58
2015-03-22,59
2015-03-29,60
2015-04-05,60
2015-04-12,57
2015-04-19,58
2015-04-26,64
2015-05-03,65
2015-05-10,64
2015-05-17,63
2015-05-24,61
2015-05-31,63
2015-06-07,63
2015-06-14,58
2015-06-21,61
2015-06-28,65
2015-07-05,59
2015-07-12,54
2015-07-19,55
2015-07-26,52
2015-08-02,50
2015-08-09,49
2015-08-16,47
2015-08-23,49
2015-08-30,45
2015-09-06,46
2015-09-13,47
2015-09-20,46
2015-09-27,48
2015-10-04,50
2015-10-11,50
2015-10-18,49
2015-10-25,54
2015-11-01,49
2015-11-08,51
2015-11-15,49
2015-11-22,55
2015-11-29,60
2015-12-06,61
2015-12-13,66
2015-12-20,60
2015-12-27,55
