Category: All categories

Week,Rubber glove: (Worldwide)
2012-01-01,62
2012-01-08,74
2012-01-15,59
2012-01-22,54
2012-01-29,76
2012-02-05,71
2012-02-12,59
2012-02-19,57
2012-02-26,68
2012-03-04,64
2012-03-11,60
2012-03-18,60
2012-03-25,85
2012-04-01,53
2012-04-08,86
2012-04-15,54
2012-04-22,71
2012-04-29,95
2012-05-06,63
2012-05-13,89
2012-05-20,70
2012-05-27,52
2012-06-03,51
2012-06-10,75
2012-06-17,73
2012-06-24,53
2012-07-01,66
2012-07-08,43
2012-07-15,66
2012-07-22,59
2012-07-29,73
2012-08-05,66
2012-08-12,63
2012-08-19,63
2012-08-26,78
2012-09-02,53
2012-09-09,59
2012-09-16,52
2012-09-23,70
2012-09-30,59
2012-10-07,59
2012-10-14,53
2012-10-21,53
2012-10-28,59
2012-11-04,60
2012-11-11,56
2012-11-18,51
2012-11-25,65
2012-12-02,67
2012-12-09,71
2012-12-16,69
2012-12-23,42
2012-12-30,54
2013-01-06,57
2013-01-13,63
2013-01-20,74
2013-01-27,39
2013-02-03,57
2013-02-10,60
2013-02-17,58
2013-02-24,100
2013-03-03,84
2013-03-10,78
2013-03-17,64
2013-03-24,74
2013-03-31,70
2013-04-07,68
2013-04-14,43
2013-04-21,70
2013-04-28,67
2013-05-05,74
2013-05-12,59
2013-05-19,58
2013-05-26,53
2013-06-02,63
2013-06-09,53
2013-06-16,54
2013-06-23,54
2013-06-30,61
2013-07-07,59
2013-07-14,58
2013-07-21,54
2013-07-28,63
2013-08-04,46
2013-08-11,57
2013-08-18,47
2013-08-25,63
2013-09-01,64
2013-09-08,79
2013-09-15,55
2013-09-22,67
2013-09-29,55
2013-10-06,64
2013-10-13,67
2013-10-20,51
2013-10-27,81
2013-11-03,65
2013-11-10,68
2013-11-17,60
2013-11-24,76
2013-12-01,94
2013-12-08,75
2013-12-15,64
2013-12-22,55
2013-12-29,64
2014-01-05,81
2014-01-12,67
2014-01-19,57
2014-01-26,75
2014-02-02,73
2014-02-09,60
2014-02-16,78
2014-02-23,68
2014-03-02,82
2014-03-09,75
2014-03-16,65
2014-03-23,74
2014-03-30,75
2014-04-06,54
2014-04-13,65
2014-04-20,76
2014-04-27,64
2014-05-04,67
2014-05-11,68
2014-05-18,73
2014-05-25,78
2014-06-01,56
2014-06-08,65
2014-06-15,61
2014-06-22,84
2014-06-29,68
2014-07-06,77
2014-07-13,72
2014-07-20,76
2014-07-27,70
2014-08-03,70
2014-08-10,66
2014-08-17,84
2014-08-24,73
2014-08-31,64
2014-09-07,76
2014-09-14,57
2014-09-21,63
2014-09-28,56
2014-10-05,72
2014-10-12,68
2014-10-19,77
2014-10-26,84
2014-11-02,76
2014-11-09,65
2014-11-16,75
2014-11-23,86
2014-11-30,79
2014-12-07,66
2014-12-14,66
2014-12-21,53
2014-12-28,56
2015-01-04,61
2015-01-11,68
2015-01-18,75
2015-01-25,86
2015-02-01,71
2015-02-08,58
2015-02-15,69
2015-02-22,62
2015-03-01,63
2015-03-08,62
2015-03-15,73
2015-03-22,68
2015-03-29,58
2015-04-05,47
2015-04-12,65
2015-04-19,62
2015-04-26,58
2015-05-03,75
2015-05-10,61
2015-05-17,72
2015-05-24,53
2015-05-31,66
2015-06-07,60
2015-06-14,72
2015-06-21,64
2015-06-28,71
2015-07-05,64
2015-07-12,60
2015-07-19,70
2015-07-26,55
2015-08-02,53
2015-08-09,58
2015-08-16,63
2015-08-23,47
2015-08-30,45
2015-09-06,51
2015-09-13,52
2015-09-20,68
2015-09-27,65
2015-10-04,57
2015-10-11,65
2015-10-18,74
2015-10-25,69
2015-11-01,70
2015-11-08,74
2015-11-15,80
2015-11-22,61
2015-11-29,63
2015-12-06,67
2015-12-13,87
2015-12-20,73
2015-12-27,54
