Category: All categories

Week,Jeans: (Worldwide)
2012-01-01,79
2012-01-08,79
2012-01-15,77
2012-01-22,76
2012-01-29,76
2012-02-05,76
2012-02-12,74
2012-02-19,77
2012-02-26,78
2012-03-04,77
2012-03-11,77
2012-03-18,81
2012-03-25,80
2012-04-01,80
2012-04-08,80
2012-04-15,79
2012-04-22,80
2012-04-29,79
2012-05-06,78
2012-05-13,76
2012-05-20,73
2012-05-27,70
2012-06-03,72
2012-06-10,72
2012-06-17,70
2012-06-24,71
2012-07-01,70
2012-07-08,73
2012-07-15,75
2012-07-22,74
2012-07-29,77
2012-08-05,77
2012-08-12,80
2012-08-19,80
2012-08-26,80
2012-09-02,82
2012-09-09,81
2012-09-16,86
2012-09-23,87
2012-09-30,84
2012-10-07,83
2012-10-14,83
2012-10-21,84
2012-10-28,78
2012-11-04,78
2012-11-11,81
2012-11-18,86
2012-11-25,87
2012-12-02,84
2012-12-09,86
2012-12-16,80
2012-12-23,87
2012-12-30,82
2013-01-06,79
2013-01-13,77
2013-01-20,77
2013-01-27,76
2013-02-03,74
2013-02-10,74
2013-02-17,76
2013-02-24,76
2013-03-03,77
2013-03-10,77
2013-03-17,81
2013-03-24,81
2013-03-31,81
2013-04-07,80
2013-04-14,79
2013-04-21,81
2013-04-28,79
2013-05-05,76
2013-05-12,73
2013-05-19,73
2013-05-26,72
2013-06-02,69
2013-06-09,69
2013-06-16,67
2013-06-23,72
2013-06-30,71
2013-07-07,68
2013-07-14,68
2013-07-21,70
2013-07-28,75
2013-08-04,76
2013-08-11,75
2013-08-18,77
2013-08-25,76
2013-09-01,76
2013-09-08,78
2013-09-15,82
2013-09-22,79
2013-09-29,81
2013-10-06,82
2013-10-13,83
2013-10-20,81
2013-10-27,79
2013-11-03,80
2013-11-10,79
2013-11-17,80
2013-11-24,86
2013-12-01,84
2013-12-08,85
2013-12-15,81
2013-12-22,86
2013-12-29,84
2014-01-05,78
2014-01-12,76
2014-01-19,76
2014-01-26,76
2014-02-02,76
2014-02-09,75
2014-02-16,79
2014-02-23,79
2014-03-02,77
2014-03-09,80
2014-03-16,80
2014-03-23,82
2014-03-30,80
2014-04-06,85
2014-04-13,84
2014-04-20,86
2014-04-27,86
2014-05-04,86
2014-05-11,80
2014-05-18,79
2014-05-25,76
2014-06-01,76
2014-06-08,71
2014-06-15,71
2014-06-22,74
2014-06-29,75
2014-07-06,75
2014-07-13,76
2014-07-20,79
2014-07-27,79
2014-08-03,78
2014-08-10,80
2014-08-17,84
2014-08-24,84
2014-08-31,81
2014-09-07,82
2014-09-14,87
2014-09-21,85
2014-09-28,86
2014-10-05,86
2014-10-12,84
2014-10-19,84
2014-10-26,82
2014-11-02,84
2014-11-09,86
2014-11-16,86
2014-11-23,90
2014-11-30,91
2014-12-07,89
2014-12-14,88
2014-12-21,90
2014-12-28,91
2015-01-04,82
2015-01-11,82
2015-01-18,79
2015-01-25,80
2015-02-01,80
2015-02-08,78
2015-02-15,82
2015-02-22,82
2015-03-01,83
2015-03-08,86
2015-03-15,85
2015-03-22,85
2015-03-29,87
2015-04-05,88
2015-04-12,87
2015-04-19,85
2015-04-26,88
2015-05-03,84
2015-05-10,82
2015-05-17,83
2015-05-24,84
2015-05-31,82
2015-06-07,77
2015-06-14,78
2015-06-21,84
2015-06-28,81
2015-07-05,81
2015-07-12,81
2015-07-19,82
2015-07-26,83
2015-08-02,85
2015-08-09,83
2015-08-16,85
2015-08-23,86
2015-08-30,85
2015-09-06,88
2015-09-13,90
2015-09-20,91
2015-09-27,91
2015-10-04,91
2015-10-11,90
2015-10-18,90
2015-10-25,89
2015-11-01,88
2015-11-08,89
2015-11-15,88
2015-11-22,98
2015-11-29,96
2015-12-06,94
2015-12-13,96
2015-12-20,95
2015-12-27,100
