Category: All categories

Week,Ruffle: (Worldwide)
2012-01-01,76
2012-01-08,85
2012-01-15,89
2012-01-22,91
2012-01-29,91
2012-02-05,91
2012-02-12,88
2012-02-19,91
2012-02-26,97
2012-03-04,95
2012-03-11,92
2012-03-18,96
2012-03-25,92
2012-04-01,90
2012-04-08,87
2012-04-15,94
2012-04-22,91
2012-04-29,95
2012-05-06,92
2012-05-13,95
2012-05-20,87
2012-05-27,88
2012-06-03,90
2012-06-10,88
2012-06-17,90
2012-06-24,86
2012-07-01,89
2012-07-08,98
2012-07-15,90
2012-07-22,89
2012-07-29,94
2012-08-05,93
2012-08-12,88
2012-08-19,85
2012-08-26,77
2012-09-02,88
2012-09-09,81
2012-09-16,80
2012-09-23,84
2012-09-30,77
2012-10-07,81
2012-10-14,86
2012-10-21,77
2012-10-28,64
2012-11-04,77
2012-11-11,83
2012-11-18,81
2012-11-25,90
2012-12-02,83
2012-12-09,81
2012-12-16,71
2012-12-23,74
2012-12-30,92
2013-01-06,94
2013-01-13,97
2013-01-20,100
2013-01-27,98
2013-02-03,97
2013-02-10,92
2013-02-17,100
2013-02-24,98
2013-03-03,99
2013-03-10,93
2013-03-17,100
2013-03-24,88
2013-03-31,86
2013-04-07,88
2013-04-14,87
2013-04-21,87
2013-04-28,90
2013-05-05,83
2013-05-12,80
2013-05-19,83
2013-05-26,80
2013-06-02,79
2013-06-09,83
2013-06-16,81
2013-06-23,83
2013-06-30,79
2013-07-07,81
2013-07-14,85
2013-07-21,85
2013-07-28,89
2013-08-04,85
2013-08-11,81
2013-08-18,81
2013-08-25,73
2013-09-01,77
2013-09-08,71
2013-09-15,80
2013-09-22,82
2013-09-29,77
2013-10-06,81
2013-10-13,94
2013-10-20,92
2013-10-27,74
2013-11-03,84
2013-11-10,89
2013-11-17,83
2013-11-24,81
2013-12-01,82
2013-12-08,83
2013-12-15,72
2013-12-22,73
2013-12-29,86
2014-01-05,86
2014-01-12,90
2014-01-19,91
2014-01-26,87
2014-02-02,90
2014-02-09,83
2014-02-16,88
2014-02-23,88
2014-03-02,87
2014-03-09,87
2014-03-16,83
2014-03-23,84
2014-03-30,80
2014-04-06,87
2014-04-13,87
2014-04-20,79
2014-04-27,84
2014-05-04,77
2014-05-11,80
2014-05-18,79
2014-05-25,82
2014-06-01,78
2014-06-08,77
2014-06-15,73
2014-06-22,77
2014-06-29,74
2014-07-06,79
2014-07-13,85
2014-07-20,84
2014-07-27,77
2014-08-03,78
2014-08-10,72
2014-08-17,74
2014-08-24,76
2014-08-31,72
2014-09-07,73
2014-09-14,77
2014-09-21,69
2014-09-28,73
2014-10-05,73
2014-10-12,74
2014-10-19,71
2014-10-26,70
2014-11-02,66
2014-11-09,69
2014-11-16,69
2014-11-23,67
2014-11-30,70
2014-12-07,67
2014-12-14,62
2014-12-21,57
2014-12-28,69
2015-01-04,66
2015-01-11,70
2015-01-18,72
2015-01-25,69
2015-02-01,70
2015-02-08,66
2015-02-15,76
2015-02-22,73
2015-03-01,72
2015-03-08,76
2015-03-15,70
2015-03-22,72
2015-03-29,69
2015-04-05,69
2015-04-12,63
2015-04-19,70
2015-04-26,65
2015-05-03,67
2015-05-10,67
2015-05-17,68
2015-05-24,66
2015-05-31,66
2015-06-07,68
2015-06-14,68
2015-06-21,70
2015-06-28,66
2015-07-05,71
2015-07-12,71
2015-07-19,69
2015-07-26,69
2015-08-02,70
2015-08-09,63
2015-08-16,69
2015-08-23,68
2015-08-30,66
2015-09-06,64
2015-09-13,64
2015-09-20,62
2015-09-27,64
2015-10-04,67
2015-10-11,66
2015-10-18,65
2015-10-25,68
2015-11-01,59
2015-11-08,64
2015-11-15,60
2015-11-22,57
2015-11-29,62
2015-12-06,61
2015-12-13,52
2015-12-20,47
2015-12-27,61
