Category: All categories

Week,Sash: (Worldwide)
2012-01-01,16
2012-01-08,17
2012-01-15,18
2012-01-22,19
2012-01-29,18
2012-02-05,19
2012-02-12,17
2012-02-19,17
2012-02-26,18
2012-03-04,19
2012-03-11,18
2012-03-18,18
2012-03-25,16
2012-04-01,17
2012-04-08,18
2012-04-15,19
2012-04-22,20
2012-04-29,19
2012-05-06,19
2012-05-13,18
2012-05-20,18
2012-05-27,18
2012-06-03,18
2012-06-10,17
2012-06-17,18
2012-06-24,18
2012-07-01,17
2012-07-08,18
2012-07-15,18
2012-07-22,17
2012-07-29,20
2012-08-05,18
2012-08-12,19
2012-08-19,17
2012-08-26,18
2012-09-02,18
2012-09-09,19
2012-09-16,17
2012-09-23,20
2012-09-30,18
2012-10-07,19
2012-10-14,18
2012-10-21,21
2012-10-28,18
2012-11-04,16
2012-11-11,16
2012-11-18,15
2012-11-25,15
2012-12-02,16
2012-12-09,15
2012-12-16,13
2012-12-23,12
2012-12-30,15
2013-01-06,17
2013-01-13,17
2013-01-20,18
2013-01-27,18
2013-02-03,17
2013-02-10,16
2013-02-17,18
2013-02-24,18
2013-03-03,18
2013-03-10,18
2013-03-17,17
2013-03-24,17
2013-03-31,16
2013-04-07,18
2013-04-14,18
2013-04-21,18
2013-04-28,19
2013-05-05,19
2013-05-12,20
2013-05-19,19
2013-05-26,18
2013-06-02,18
2013-06-09,18
2013-06-16,17
2013-06-23,18
2013-06-30,17
2013-07-07,20
2013-07-14,19
2013-07-21,19
2013-07-28,21
2013-08-04,20
2013-08-11,18
2013-08-18,18
2013-08-25,17
2013-09-01,19
2013-09-08,19
2013-09-15,19
2013-09-22,18
2013-09-29,19
2013-10-06,20
2013-10-13,20
2013-10-20,21
2013-10-27,20
2013-11-03,19
2013-11-10,18
2013-11-17,17
2013-11-24,15
2013-12-01,18
2013-12-08,15
2013-12-15,15
2013-12-22,12
2013-12-29,16
2014-01-05,18
2014-01-12,18
2014-01-19,19
2014-01-26,18
2014-02-02,18
2014-02-09,19
2014-02-16,18
2014-02-23,19
2014-03-02,18
2014-03-09,18
2014-03-16,17
2014-03-23,18
2014-03-30,18
2014-04-06,19
2014-04-13,19
2014-04-20,19
2014-04-27,18
2014-05-04,19
2014-05-11,22
2014-05-18,20
2014-05-25,18
2014-06-01,19
2014-06-08,18
2014-06-15,19
2014-06-22,19
2014-06-29,17
2014-07-06,20
2014-07-13,19
2014-07-20,19
2014-07-27,19
2014-08-03,19
2014-08-10,19
2014-08-17,18
2014-08-24,19
2014-08-31,18
2014-09-07,18
2014-09-14,19
2014-09-21,18
2014-09-28,19
2014-10-05,20
2014-10-12,19
2014-10-19,23
2014-10-26,20
2014-11-02,19
2014-11-09,18
2014-11-16,16
2014-11-23,15
2014-11-30,16
2014-12-07,16
2014-12-14,15
2014-12-21,13
2014-12-28,16
2015-01-04,19
2015-01-11,19
2015-01-18,20
2015-01-25,19
2015-02-01,18
2015-02-08,18
2015-02-15,19
2015-02-22,18
2015-03-01,19
2015-03-08,18
2015-03-15,18
2015-03-22,18
2015-03-29,18
2015-04-05,18
2015-04-12,19
2015-04-19,18
2015-04-26,19
2015-05-03,19
2015-05-10,20
2015-05-17,19
2015-05-24,19
2015-05-31,20
2015-06-07,19
2015-06-14,18
2015-06-21,18
2015-06-28,18
2015-07-05,17
2015-07-12,19
2015-07-19,18
2015-07-26,18
2015-08-02,18
2015-08-09,18
2015-08-16,18
2015-08-23,18
2015-08-30,17
2015-09-06,100
2015-09-13,29
2015-09-20,23
2015-09-27,20
2015-10-04,19
2015-10-11,23
2015-10-18,22
2015-10-25,21
2015-11-01,18
2015-11-08,18
2015-11-15,17
2015-11-22,15
2015-11-29,17
2015-12-06,17
2015-12-13,17
2015-12-20,15
2015-12-27,15
