Category: All categories

Week,Sequin: (Worldwide)
2012-01-01,54
2012-01-08,47
2012-01-15,52
2012-01-22,48
2012-01-29,46
2012-02-05,47
2012-02-12,42
2012-02-19,47
2012-02-26,45
2012-03-04,46
2012-03-11,41
2012-03-18,42
2012-03-25,37
2012-04-01,40
2012-04-08,39
2012-04-15,39
2012-04-22,41
2012-04-29,43
2012-05-06,39
2012-05-13,36
2012-05-20,32
2012-05-27,31
2012-06-03,33
2012-06-10,32
2012-06-17,33
2012-06-24,33
2012-07-01,32
2012-07-08,34
2012-07-15,38
2012-07-22,35
2012-07-29,35
2012-08-05,37
2012-08-12,41
2012-08-19,39
2012-08-26,38
2012-09-02,40
2012-09-09,45
2012-09-16,48
2012-09-23,47
2012-09-30,49
2012-10-07,50
2012-10-14,51
2012-10-21,55
2012-10-28,51
2012-11-04,59
2012-11-11,70
2012-11-18,80
2012-11-25,91
2012-12-02,100
2012-12-09,95
2012-12-16,84
2012-12-23,80
2012-12-30,67
2013-01-06,52
2013-01-13,52
2013-01-20,48
2013-01-27,47
2013-02-03,44
2013-02-10,41
2013-02-17,42
2013-02-24,44
2013-03-03,41
2013-03-10,41
2013-03-17,41
2013-03-24,38
2013-03-31,37
2013-04-07,36
2013-04-14,37
2013-04-21,37
2013-04-28,37
2013-05-05,35
2013-05-12,33
2013-05-19,31
2013-05-26,31
2013-06-02,31
2013-06-09,30
2013-06-16,32
2013-06-23,30
2013-06-30,30
2013-07-07,31
2013-07-14,30
2013-07-21,30
2013-07-28,33
2013-08-04,32
2013-08-11,34
2013-08-18,34
2013-08-25,32
2013-09-01,35
2013-09-08,36
2013-09-15,40
2013-09-22,40
2013-09-29,43
2013-10-06,43
2013-10-13,44
2013-10-20,46
2013-10-27,45
2013-11-03,53
2013-11-10,66
2013-11-17,68
2013-11-24,75
2013-12-01,85
2013-12-08,88
2013-12-15,77
2013-12-22,66
2013-12-29,63
2014-01-05,45
2014-01-12,46
2014-01-19,45
2014-01-26,44
2014-02-02,41
2014-02-09,38
2014-02-16,41
2014-02-23,39
2014-03-02,41
2014-03-09,38
2014-03-16,37
2014-03-23,37
2014-03-30,37
2014-04-06,36
2014-04-13,34
2014-04-20,34
2014-04-27,34
2014-05-04,33
2014-05-11,31
2014-05-18,31
2014-05-25,28
2014-06-01,30
2014-06-08,29
2014-06-15,27
2014-06-22,27
2014-06-29,27
2014-07-06,29
2014-07-13,29
2014-07-20,28
2014-07-27,28
2014-08-03,31
2014-08-10,31
2014-08-17,33
2014-08-24,34
2014-08-31,32
2014-09-07,34
2014-09-14,38
2014-09-21,38
2014-09-28,40
2014-10-05,42
2014-10-12,42
2014-10-19,44
2014-10-26,46
2014-11-02,53
2014-11-09,65
2014-11-16,71
2014-11-23,74
2014-11-30,82
2014-12-07,86
2014-12-14,75
2014-12-21,62
2014-12-28,72
2015-01-04,42
2015-01-11,42
2015-01-18,40
2015-01-25,39
2015-02-01,37
2015-02-08,37
2015-02-15,36
2015-02-22,36
2015-03-01,36
2015-03-08,35
2015-03-15,33
2015-03-22,31
2015-03-29,31
2015-04-05,31
2015-04-12,30
2015-04-19,30
2015-04-26,30
2015-05-03,29
2015-05-10,28
2015-05-17,28
2015-05-24,27
2015-05-31,27
2015-06-07,25
2015-06-14,26
2015-06-21,25
2015-06-28,25
2015-07-05,26
2015-07-12,28
2015-07-19,28
2015-07-26,28
2015-08-02,28
2015-08-09,28
2015-08-16,29
2015-08-23,30
2015-08-30,29
2015-09-06,30
2015-09-13,31
2015-09-20,33
2015-09-27,35
2015-10-04,36
2015-10-11,39
2015-10-18,42
2015-10-25,41
2015-11-01,47
2015-11-08,55
2015-11-15,63
2015-11-22,66
2015-11-29,74
2015-12-06,77
2015-12-13,74
2015-12-20,62
2015-12-27,75
