Category: All categories

Week,Shirt: (Worldwide)
2012-01-01,55
2012-01-08,57
2012-01-15,58
2012-01-22,60
2012-01-29,60
2012-02-05,61
2012-02-12,59
2012-02-19,62
2012-02-26,64
2012-03-04,63
2012-03-11,63
2012-03-18,65
2012-03-25,66
2012-04-01,68
2012-04-08,66
2012-04-15,70
2012-04-22,71
2012-04-29,74
2012-05-06,74
2012-05-13,73
2012-05-20,73
2012-05-27,75
2012-06-03,76
2012-06-10,77
2012-06-17,75
2012-06-24,78
2012-07-01,77
2012-07-08,76
2012-07-15,79
2012-07-22,78
2012-07-29,80
2012-08-05,80
2012-08-12,80
2012-08-19,79
2012-08-26,77
2012-09-02,77
2012-09-09,75
2012-09-16,75
2012-09-23,72
2012-09-30,73
2012-10-07,70
2012-10-14,70
2012-10-21,73
2012-10-28,64
2012-11-04,63
2012-11-11,65
2012-11-18,67
2012-11-25,74
2012-12-02,77
2012-12-09,78
2012-12-16,70
2012-12-23,63
2012-12-30,62
2013-01-06,62
2013-01-13,61
2013-01-20,63
2013-01-27,65
2013-02-03,66
2013-02-10,64
2013-02-17,65
2013-02-24,67
2013-03-03,69
2013-03-10,70
2013-03-17,70
2013-03-24,71
2013-03-31,69
2013-04-07,73
2013-04-14,75
2013-04-21,78
2013-04-28,78
2013-05-05,77
2013-05-12,75
2013-05-19,76
2013-05-26,76
2013-06-02,78
2013-06-09,78
2013-06-16,79
2013-06-23,79
2013-06-30,79
2013-07-07,78
2013-07-14,81
2013-07-21,82
2013-07-28,83
2013-08-04,82
2013-08-11,79
2013-08-18,80
2013-08-25,78
2013-09-01,81
2013-09-08,77
2013-09-15,73
2013-09-22,73
2013-09-29,75
2013-10-06,74
2013-10-13,77
2013-10-20,77
2013-10-27,74
2013-11-03,68
2013-11-10,72
2013-11-17,72
2013-11-24,75
2013-12-01,83
2013-12-08,86
2013-12-15,79
2013-12-22,70
2013-12-29,67
2014-01-05,67
2014-01-12,68
2014-01-19,70
2014-01-26,70
2014-02-02,69
2014-02-09,69
2014-02-16,71
2014-02-23,74
2014-03-02,75
2014-03-09,73
2014-03-16,74
2014-03-23,76
2014-03-30,80
2014-04-06,79
2014-04-13,82
2014-04-20,81
2014-04-27,82
2014-05-04,82
2014-05-11,83
2014-05-18,85
2014-05-25,85
2014-06-01,89
2014-06-08,94
2014-06-15,90
2014-06-22,89
2014-06-29,86
2014-07-06,89
2014-07-13,92
2014-07-20,90
2014-07-27,88
2014-08-03,88
2014-08-10,85
2014-08-17,85
2014-08-24,86
2014-08-31,84
2014-09-07,82
2014-09-14,84
2014-09-21,81
2014-09-28,83
2014-10-05,80
2014-10-12,82
2014-10-19,82
2014-10-26,84
2014-11-02,72
2014-11-09,78
2014-11-16,83
2014-11-23,82
2014-11-30,89
2014-12-07,94
2014-12-14,88
2014-12-21,76
2014-12-28,73
2015-01-04,71
2015-01-11,73
2015-01-18,73
2015-01-25,73
2015-02-01,74
2015-02-08,74
2015-02-15,73
2015-02-22,76
2015-03-01,76
2015-03-08,78
2015-03-15,78
2015-03-22,78
2015-03-29,80
2015-04-05,81
2015-04-12,85
2015-04-19,86
2015-04-26,87
2015-05-03,85
2015-05-10,87
2015-05-17,87
2015-05-24,89
2015-05-31,89
2015-06-07,91
2015-06-14,90
2015-06-21,90
2015-06-28,90
2015-07-05,91
2015-07-12,92
2015-07-19,91
2015-07-26,89
2015-08-02,91
2015-08-09,90
2015-08-16,90
2015-08-23,89
2015-08-30,90
2015-09-06,89
2015-09-13,91
2015-09-20,89
2015-09-27,87
2015-10-04,87
2015-10-11,87
2015-10-18,87
2015-10-25,90
2015-11-01,80
2015-11-08,81
2015-11-15,81
2015-11-22,87
2015-11-29,94
2015-12-06,99
2015-12-13,100
2015-12-20,86
2015-12-27,80
