Category: All categories

Week,Shoe tree: (Worldwide)
2012-01-01,69
2012-01-08,57
2012-01-15,50
2012-01-22,54
2012-01-29,51
2012-02-05,49
2012-02-12,61
2012-02-19,59
2012-02-26,57
2012-03-04,59
2012-03-11,50
2012-03-18,60
2012-03-25,53
2012-04-01,56
2012-04-08,49
2012-04-15,53
2012-04-22,61
2012-04-29,63
2012-05-06,58
2012-05-13,62
2012-05-20,49
2012-05-27,57
2012-06-03,53
2012-06-10,51
2012-06-17,51
2012-06-24,59
2012-07-01,50
2012-07-08,52
2012-07-15,57
2012-07-22,64
2012-07-29,59
2012-08-05,61
2012-08-12,52
2012-08-19,51
2012-08-26,57
2012-09-02,55
2012-09-09,59
2012-09-16,55
2012-09-23,61
2012-09-30,60
2012-10-07,54
2012-10-14,59
2012-10-21,55
2012-10-28,53
2012-11-04,59
2012-11-11,63
2012-11-18,74
2012-11-25,91
2012-12-02,90
2012-12-09,76
2012-12-16,73
2012-12-23,73
2012-12-30,68
2013-01-06,57
2013-01-13,56
2013-01-20,52
2013-01-27,51
2013-02-03,48
2013-02-10,51
2013-02-17,59
2013-02-24,59
2013-03-03,44
2013-03-10,51
2013-03-17,55
2013-03-24,52
2013-03-31,49
2013-04-07,55
2013-04-14,53
2013-04-21,64
2013-04-28,56
2013-05-05,55
2013-05-12,45
2013-05-19,56
2013-05-26,55
2013-06-02,68
2013-06-09,53
2013-06-16,59
2013-06-23,48
2013-06-30,57
2013-07-07,58
2013-07-14,59
2013-07-21,67
2013-07-28,62
2013-08-04,65
2013-08-11,56
2013-08-18,57
2013-08-25,65
2013-09-01,58
2013-09-08,66
2013-09-15,64
2013-09-22,60
2013-09-29,48
2013-10-06,60
2013-10-13,61
2013-10-20,54
2013-10-27,55
2013-11-03,71
2013-11-10,63
2013-11-17,73
2013-11-24,73
2013-12-01,69
2013-12-08,80
2013-12-15,68
2013-12-22,80
2013-12-29,87
2014-01-05,69
2014-01-12,60
2014-01-19,56
2014-01-26,60
2014-02-02,75
2014-02-09,72
2014-02-16,60
2014-02-23,62
2014-03-02,67
2014-03-09,68
2014-03-16,66
2014-03-23,57
2014-03-30,61
2014-04-06,67
2014-04-13,78
2014-04-20,61
2014-04-27,59
2014-05-04,71
2014-05-11,64
2014-05-18,66
2014-05-25,62
2014-06-01,48
2014-06-08,65
2014-06-15,61
2014-06-22,63
2014-06-29,55
2014-07-06,64
2014-07-13,70
2014-07-20,66
2014-07-27,71
2014-08-03,63
2014-08-10,73
2014-08-17,70
2014-08-24,67
2014-08-31,59
2014-09-07,57
2014-09-14,65
2014-09-21,61
2014-09-28,63
2014-10-05,63
2014-10-12,55
2014-10-19,63
2014-10-26,61
2014-11-02,66
2014-11-09,76
2014-11-16,68
2014-11-23,77
2014-11-30,95
2014-12-07,82
2014-12-14,76
2014-12-21,84
2014-12-28,79
2015-01-04,82
2015-01-11,66
2015-01-18,50
2015-01-25,53
2015-02-01,61
2015-02-08,59
2015-02-15,68
2015-02-22,61
2015-03-01,63
2015-03-08,70
2015-03-15,60
2015-03-22,62
2015-03-29,68
2015-04-05,63
2015-04-12,66
2015-04-19,77
2015-04-26,60
2015-05-03,61
2015-05-10,62
2015-05-17,55
2015-05-24,59
2015-05-31,57
2015-06-07,58
2015-06-14,64
2015-06-21,60
2015-06-28,55
2015-07-05,64
2015-07-12,64
2015-07-19,67
2015-07-26,61
2015-08-02,64
2015-08-09,70
2015-08-16,62
2015-08-23,72
2015-08-30,64
2015-09-06,60
2015-09-13,63
2015-09-20,69
2015-09-27,54
2015-10-04,69
2015-10-11,61
2015-10-18,61
2015-10-25,59
2015-11-01,66
2015-11-08,70
2015-11-15,75
2015-11-22,72
2015-11-29,86
2015-12-06,94
2015-12-13,84
2015-12-20,86
2015-12-27,100
