Category: All categories

Week,Skirt: (Worldwide)
2012-01-01,58
2012-01-08,58
2012-01-15,60
2012-01-22,61
2012-01-29,59
2012-02-05,62
2012-02-12,60
2012-02-19,62
2012-02-26,62
2012-03-04,63
2012-03-11,65
2012-03-18,66
2012-03-25,67
2012-04-01,67
2012-04-08,68
2012-04-15,68
2012-04-22,68
2012-04-29,70
2012-05-06,69
2012-05-13,72
2012-05-20,74
2012-05-27,72
2012-06-03,73
2012-06-10,72
2012-06-17,74
2012-06-24,73
2012-07-01,73
2012-07-08,75
2012-07-15,76
2012-07-22,77
2012-07-29,75
2012-08-05,76
2012-08-12,76
2012-08-19,76
2012-08-26,75
2012-09-02,78
2012-09-09,77
2012-09-16,78
2012-09-23,77
2012-09-30,77
2012-10-07,76
2012-10-14,80
2012-10-21,81
2012-10-28,70
2012-11-04,69
2012-11-11,72
2012-11-18,74
2012-11-25,79
2012-12-02,79
2012-12-09,91
2012-12-16,72
2012-12-23,73
2012-12-30,76
2013-01-06,69
2013-01-13,72
2013-01-20,72
2013-01-27,73
2013-02-03,73
2013-02-10,72
2013-02-17,73
2013-02-24,73
2013-03-03,75
2013-03-10,75
2013-03-17,76
2013-03-24,77
2013-03-31,76
2013-04-07,80
2013-04-14,80
2013-04-21,81
2013-04-28,84
2013-05-05,83
2013-05-12,81
2013-05-19,81
2013-05-26,81
2013-06-02,85
2013-06-09,82
2013-06-16,82
2013-06-23,81
2013-06-30,84
2013-07-07,86
2013-07-14,86
2013-07-21,87
2013-07-28,85
2013-08-04,84
2013-08-11,84
2013-08-18,84
2013-08-25,83
2013-09-01,82
2013-09-08,82
2013-09-15,81
2013-09-22,82
2013-09-29,84
2013-10-06,86
2013-10-13,88
2013-10-20,87
2013-10-27,83
2013-11-03,80
2013-11-10,84
2013-11-17,84
2013-11-24,85
2013-12-01,89
2013-12-08,88
2013-12-15,80
2013-12-22,80
2013-12-29,85
2014-01-05,77
2014-01-12,80
2014-01-19,81
2014-01-26,80
2014-02-02,80
2014-02-09,80
2014-02-16,85
2014-02-23,85
2014-03-02,89
2014-03-09,91
2014-03-16,91
2014-03-23,90
2014-03-30,91
2014-04-06,95
2014-04-13,96
2014-04-20,95
2014-04-27,96
2014-05-04,94
2014-05-11,94
2014-05-18,96
2014-05-25,98
2014-06-01,96
2014-06-08,93
2014-06-15,92
2014-06-22,92
2014-06-29,91
2014-07-06,91
2014-07-13,92
2014-07-20,92
2014-07-27,93
2014-08-03,94
2014-08-10,92
2014-08-17,91
2014-08-24,89
2014-08-31,89
2014-09-07,87
2014-09-14,92
2014-09-21,92
2014-09-28,93
2014-10-05,92
2014-10-12,95
2014-10-19,96
2014-10-26,98
2014-11-02,87
2014-11-09,90
2014-11-16,90
2014-11-23,91
2014-11-30,95
2014-12-07,94
2014-12-14,86
2014-12-21,83
2014-12-28,90
2015-01-04,79
2015-01-11,81
2015-01-18,82
2015-01-25,84
2015-02-01,82
2015-02-08,83
2015-02-15,85
2015-02-22,86
2015-03-01,87
2015-03-08,90
2015-03-15,91
2015-03-22,89
2015-03-29,91
2015-04-05,93
2015-04-12,92
2015-04-19,91
2015-04-26,93
2015-05-03,93
2015-05-10,93
2015-05-17,92
2015-05-24,91
2015-05-31,92
2015-06-07,91
2015-06-14,89
2015-06-21,88
2015-06-28,93
2015-07-05,93
2015-07-12,91
2015-07-19,92
2015-07-26,90
2015-08-02,91
2015-08-09,93
2015-08-16,91
2015-08-23,88
2015-08-30,87
2015-09-06,89
2015-09-13,89
2015-09-20,92
2015-09-27,92
2015-10-04,93
2015-10-11,94
2015-10-18,97
2015-10-25,100
2015-11-01,85
2015-11-08,90
2015-11-15,88
2015-11-22,92
2015-11-29,99
2015-12-06,96
2015-12-13,90
2015-12-20,85
2015-12-27,93
