Category: All categories

Week,Sleeve: (Worldwide)
2012-01-01,56
2012-01-08,56
2012-01-15,58
2012-01-22,57
2012-01-29,58
2012-02-05,58
2012-02-12,56
2012-02-19,59
2012-02-26,57
2012-03-04,57
2012-03-11,57
2012-03-18,57
2012-03-25,58
2012-04-01,57
2012-04-08,58
2012-04-15,57
2012-04-22,59
2012-04-29,59
2012-05-06,57
2012-05-13,59
2012-05-20,57
2012-05-27,57
2012-06-03,58
2012-06-10,61
2012-06-17,60
2012-06-24,60
2012-07-01,58
2012-07-08,60
2012-07-15,61
2012-07-22,61
2012-07-29,62
2012-08-05,63
2012-08-12,68
2012-08-19,65
2012-08-26,63
2012-09-02,65
2012-09-09,65
2012-09-16,68
2012-09-23,69
2012-09-30,69
2012-10-07,68
2012-10-14,68
2012-10-21,68
2012-10-28,61
2012-11-04,64
2012-11-11,66
2012-11-18,70
2012-11-25,75
2012-12-02,76
2012-12-09,77
2012-12-16,68
2012-12-23,67
2012-12-30,67
2013-01-06,66
2013-01-13,66
2013-01-20,65
2013-01-27,66
2013-02-03,65
2013-02-10,68
2013-02-17,66
2013-02-24,66
2013-03-03,66
2013-03-10,66
2013-03-17,67
2013-03-24,68
2013-03-31,64
2013-04-07,65
2013-04-14,68
2013-04-21,67
2013-04-28,66
2013-05-05,66
2013-05-12,63
2013-05-19,65
2013-05-26,64
2013-06-02,63
2013-06-09,65
2013-06-16,67
2013-06-23,67
2013-06-30,63
2013-07-07,65
2013-07-14,68
2013-07-21,69
2013-07-28,70
2013-08-04,72
2013-08-11,71
2013-08-18,73
2013-08-25,69
2013-09-01,70
2013-09-08,71
2013-09-15,73
2013-09-22,73
2013-09-29,74
2013-10-06,75
2013-10-13,77
2013-10-20,78
2013-10-27,73
2013-11-03,75
2013-11-10,76
2013-11-17,79
2013-11-24,80
2013-12-01,86
2013-12-08,86
2013-12-15,79
2013-12-22,74
2013-12-29,75
2014-01-05,76
2014-01-12,75
2014-01-19,77
2014-01-26,75
2014-02-02,74
2014-02-09,75
2014-02-16,75
2014-02-23,76
2014-03-02,76
2014-03-09,74
2014-03-16,72
2014-03-23,74
2014-03-30,75
2014-04-06,75
2014-04-13,75
2014-04-20,76
2014-04-27,76
2014-05-04,75
2014-05-11,74
2014-05-18,73
2014-05-25,74
2014-06-01,76
2014-06-08,73
2014-06-15,74
2014-06-22,75
2014-06-29,74
2014-07-06,74
2014-07-13,75
2014-07-20,76
2014-07-27,77
2014-08-03,77
2014-08-10,77
2014-08-17,78
2014-08-24,76
2014-08-31,76
2014-09-07,78
2014-09-14,82
2014-09-21,80
2014-09-28,82
2014-10-05,83
2014-10-12,87
2014-10-19,83
2014-10-26,82
2014-11-02,80
2014-11-09,82
2014-11-16,84
2014-11-23,85
2014-11-30,92
2014-12-07,91
2014-12-14,83
2014-12-21,76
2014-12-28,79
2015-01-04,80
2015-01-11,80
2015-01-18,80
2015-01-25,81
2015-02-01,78
2015-02-08,78
2015-02-15,78
2015-02-22,79
2015-03-01,78
2015-03-08,79
2015-03-15,78
2015-03-22,78
2015-03-29,79
2015-04-05,76
2015-04-12,78
2015-04-19,77
2015-04-26,77
2015-05-03,77
2015-05-10,82
2015-05-17,80
2015-05-24,78
2015-05-31,80
2015-06-07,79
2015-06-14,78
2015-06-21,78
2015-06-28,77
2015-07-05,79
2015-07-12,81
2015-07-19,81
2015-07-26,81
2015-08-02,81
2015-08-09,84
2015-08-16,83
2015-08-23,82
2015-08-30,82
2015-09-06,84
2015-09-13,85
2015-09-20,87
2015-09-27,89
2015-10-04,90
2015-10-11,89
2015-10-18,92
2015-10-25,89
2015-11-01,84
2015-11-08,86
2015-11-15,88
2015-11-22,92
2015-11-29,100
2015-12-06,98
2015-12-13,97
2015-12-20,83
2015-12-27,90
