Category: All categories

Week,Sombrero: (Worldwide)
2012-01-01,38
2012-01-08,39
2012-01-15,40
2012-01-22,40
2012-01-29,42
2012-02-05,43
2012-02-12,48
2012-02-19,47
2012-02-26,49
2012-03-04,51
2012-03-11,56
2012-03-18,54
2012-03-25,64
2012-04-01,52
2012-04-08,54
2012-04-15,56
2012-04-22,64
2012-04-29,73
2012-05-06,57
2012-05-13,55
2012-05-20,54
2012-05-27,53
2012-06-03,50
2012-06-10,55
2012-06-17,53
2012-06-24,48
2012-07-01,47
2012-07-08,48
2012-07-15,47
2012-07-22,52
2012-07-29,45
2012-08-05,46
2012-08-12,50
2012-08-19,46
2012-08-26,46
2012-09-02,50
2012-09-09,55
2012-09-16,49
2012-09-23,48
2012-09-30,47
2012-10-07,49
2012-10-14,52
2012-10-21,60
2012-10-28,62
2012-11-04,48
2012-11-11,46
2012-11-18,46
2012-11-25,45
2012-12-02,47
2012-12-09,45
2012-12-16,42
2012-12-23,41
2012-12-30,41
2013-01-06,44
2013-01-13,45
2013-01-20,48
2013-01-27,46
2013-02-03,47
2013-02-10,47
2013-02-17,42
2013-02-24,45
2013-03-03,44
2013-03-10,47
2013-03-17,45
2013-03-24,42
2013-03-31,43
2013-04-07,49
2013-04-14,51
2013-04-21,57
2013-04-28,62
2013-05-05,65
2013-05-12,49
2013-05-19,55
2013-05-26,51
2013-06-02,49
2013-06-09,50
2013-06-16,49
2013-06-23,49
2013-06-30,49
2013-07-07,50
2013-07-14,49
2013-07-21,50
2013-07-28,47
2013-08-04,51
2013-08-11,53
2013-08-18,50
2013-08-25,48
2013-09-01,49
2013-09-08,51
2013-09-15,48
2013-09-22,47
2013-09-29,48
2013-10-06,51
2013-10-13,53
2013-10-20,58
2013-10-27,72
2013-11-03,48
2013-11-10,49
2013-11-17,49
2013-11-24,50
2013-12-01,46
2013-12-08,46
2013-12-15,46
2013-12-22,43
2013-12-29,42
2014-01-05,43
2014-01-12,46
2014-01-19,46
2014-01-26,47
2014-02-02,45
2014-02-09,50
2014-02-16,49
2014-02-23,56
2014-03-02,49
2014-03-09,50
2014-03-16,48
2014-03-23,52
2014-03-30,50
2014-04-06,53
2014-04-13,49
2014-04-20,57
2014-04-27,62
2014-05-04,69
2014-05-11,52
2014-05-18,56
2014-05-25,53
2014-06-01,56
2014-06-08,55
2014-06-15,57
2014-06-22,56
2014-06-29,54
2014-07-06,52
2014-07-13,52
2014-07-20,52
2014-07-27,49
2014-08-03,51
2014-08-10,52
2014-08-17,50
2014-08-24,54
2014-08-31,51
2014-09-07,57
2014-09-14,55
2014-09-21,51
2014-09-28,54
2014-10-05,55
2014-10-12,60
2014-10-19,67
2014-10-26,90
2014-11-02,57
2014-11-09,57
2014-11-16,57
2014-11-23,56
2014-11-30,58
2014-12-07,57
2014-12-14,55
2014-12-21,54
2014-12-28,54
2015-01-04,54
2015-01-11,56
2015-01-18,59
2015-01-25,58
2015-02-01,62
2015-02-08,64
2015-02-15,60
2015-02-22,60
2015-03-01,59
2015-03-08,60
2015-03-15,62
2015-03-22,58
2015-03-29,53
2015-04-05,61
2015-04-12,62
2015-04-19,67
2015-04-26,76
2015-05-03,83
2015-05-10,65
2015-05-17,61
2015-05-24,67
2015-05-31,64
2015-06-07,64
2015-06-14,67
2015-06-21,63
2015-06-28,62
2015-07-05,61
2015-07-12,59
2015-07-19,63
2015-07-26,62
2015-08-02,63
2015-08-09,65
2015-08-16,64
2015-08-23,61
2015-08-30,68
2015-09-06,67
2015-09-13,68
2015-09-20,75
2015-09-27,69
2015-10-04,67
2015-10-11,71
2015-10-18,77
2015-10-25,100
2015-11-01,66
2015-11-08,63
2015-11-15,64
2015-11-22,62
2015-11-29,58
2015-12-06,64
2015-12-13,61
2015-12-20,55
2015-12-27,54
