Category: All categories

Week,Spandex: (Worldwide)
2012-01-01,77
2012-01-08,73
2012-01-15,69
2012-01-22,71
2012-01-29,71
2012-02-05,75
2012-02-12,74
2012-02-19,79
2012-02-26,70
2012-03-04,75
2012-03-11,80
2012-03-18,77
2012-03-25,80
2012-04-01,78
2012-04-08,79
2012-04-15,81
2012-04-22,75
2012-04-29,79
2012-05-06,73
2012-05-13,76
2012-05-20,74
2012-05-27,73
2012-06-03,74
2012-06-10,75
2012-06-17,74
2012-06-24,75
2012-07-01,79
2012-07-08,87
2012-07-15,88
2012-07-22,87
2012-07-29,95
2012-08-05,86
2012-08-12,91
2012-08-19,85
2012-08-26,84
2012-09-02,83
2012-09-09,83
2012-09-16,87
2012-09-23,90
2012-09-30,89
2012-10-07,89
2012-10-14,93
2012-10-21,100
2012-10-28,86
2012-11-04,75
2012-11-11,83
2012-11-18,80
2012-11-25,85
2012-12-02,84
2012-12-09,83
2012-12-16,77
2012-12-23,80
2012-12-30,84
2013-01-06,82
2013-01-13,82
2013-01-20,84
2013-01-27,82
2013-02-03,83
2013-02-10,82
2013-02-17,81
2013-02-24,83
2013-03-03,83
2013-03-10,84
2013-03-17,86
2013-03-24,84
2013-03-31,82
2013-04-07,91
2013-04-14,83
2013-04-21,85
2013-04-28,84
2013-05-05,85
2013-05-12,83
2013-05-19,80
2013-05-26,83
2013-06-02,85
2013-06-09,83
2013-06-16,85
2013-06-23,80
2013-06-30,80
2013-07-07,85
2013-07-14,82
2013-07-21,86
2013-07-28,83
2013-08-04,84
2013-08-11,85
2013-08-18,88
2013-08-25,85
2013-09-01,85
2013-09-08,87
2013-09-15,91
2013-09-22,88
2013-09-29,92
2013-10-06,96
2013-10-13,94
2013-10-20,95
2013-10-27,91
2013-11-03,83
2013-11-10,83
2013-11-17,82
2013-11-24,82
2013-12-01,85
2013-12-08,82
2013-12-15,78
2013-12-22,79
2013-12-29,87
2014-01-05,84
2014-01-12,79
2014-01-19,83
2014-01-26,81
2014-02-02,83
2014-02-09,88
2014-02-16,85
2014-02-23,80
2014-03-02,83
2014-03-09,82
2014-03-16,82
2014-03-23,79
2014-03-30,81
2014-04-06,86
2014-04-13,86
2014-04-20,88
2014-04-27,88
2014-05-04,89
2014-05-11,84
2014-05-18,84
2014-05-25,84
2014-06-01,87
2014-06-08,81
2014-06-15,86
2014-06-22,84
2014-06-29,80
2014-07-06,86
2014-07-13,87
2014-07-20,87
2014-07-27,87
2014-08-03,82
2014-08-10,88
2014-08-17,89
2014-08-24,85
2014-08-31,82
2014-09-07,83
2014-09-14,89
2014-09-21,83
2014-09-28,87
2014-10-05,91
2014-10-12,91
2014-10-19,89
2014-10-26,90
2014-11-02,81
2014-11-09,76
2014-11-16,76
2014-11-23,78
2014-11-30,79
2014-12-07,76
2014-12-14,79
2014-12-21,72
2014-12-28,77
2015-01-04,80
2015-01-11,75
2015-01-18,78
2015-01-25,78
2015-02-01,77
2015-02-08,77
2015-02-15,80
2015-02-22,77
2015-03-01,81
2015-03-08,80
2015-03-15,86
2015-03-22,78
2015-03-29,77
2015-04-05,81
2015-04-12,79
2015-04-19,77
2015-04-26,76
2015-05-03,81
2015-05-10,80
2015-05-17,80
2015-05-24,78
2015-05-31,76
2015-06-07,74
2015-06-14,74
2015-06-21,77
2015-06-28,77
2015-07-05,74
2015-07-12,77
2015-07-19,79
2015-07-26,75
2015-08-02,76
2015-08-09,79
2015-08-16,77
2015-08-23,78
2015-08-30,76
2015-09-06,75
2015-09-13,77
2015-09-20,79
2015-09-27,77
2015-10-04,82
2015-10-11,83
2015-10-18,82
2015-10-25,86
2015-11-01,73
2015-11-08,81
2015-11-15,74
2015-11-22,70
2015-11-29,73
2015-12-06,70
2015-12-13,74
2015-12-20,71
2015-12-27,73
