Category: All categories

Week,Jewellery: (Worldwide)
2012-01-01,73
2012-01-08,72
2012-01-15,73
2012-01-22,71
2012-01-29,72
2012-02-05,76
2012-02-12,75
2012-02-19,71
2012-02-26,70
2012-03-04,70
2012-03-11,69
2012-03-18,66
2012-03-25,65
2012-04-01,66
2012-04-08,67
2012-04-15,73
2012-04-22,77
2012-04-29,76
2012-05-06,74
2012-05-13,74
2012-05-20,69
2012-05-27,68
2012-06-03,68
2012-06-10,71
2012-06-17,70
2012-06-24,69
2012-07-01,71
2012-07-08,73
2012-07-15,73
2012-07-22,71
2012-07-29,71
2012-08-05,71
2012-08-12,72
2012-08-19,74
2012-08-26,72
2012-09-02,73
2012-09-09,75
2012-09-16,74
2012-09-23,72
2012-09-30,74
2012-10-07,73
2012-10-14,73
2012-10-21,74
2012-10-28,75
2012-11-04,80
2012-11-11,78
2012-11-18,83
2012-11-25,84
2012-12-02,87
2012-12-09,88
2012-12-16,82
2012-12-23,76
2012-12-30,70
2013-01-06,69
2013-01-13,68
2013-01-20,68
2013-01-27,69
2013-02-03,72
2013-02-10,76
2013-02-17,72
2013-02-24,72
2013-03-03,71
2013-03-10,70
2013-03-17,68
2013-03-24,65
2013-03-31,67
2013-04-07,71
2013-04-14,83
2013-04-21,75
2013-04-28,72
2013-05-05,73
2013-05-12,75
2013-05-19,69
2013-05-26,67
2013-06-02,64
2013-06-09,68
2013-06-16,67
2013-06-23,72
2013-06-30,70
2013-07-07,66
2013-07-14,70
2013-07-21,72
2013-07-28,75
2013-08-04,76
2013-08-11,75
2013-08-18,74
2013-08-25,72
2013-09-01,73
2013-09-08,70
2013-09-15,74
2013-09-22,71
2013-09-29,73
2013-10-06,72
2013-10-13,73
2013-10-20,77
2013-10-27,75
2013-11-03,76
2013-11-10,83
2013-11-17,85
2013-11-24,91
2013-12-01,95
2013-12-08,96
2013-12-15,91
2013-12-22,85
2013-12-29,79
2014-01-05,76
2014-01-12,72
2014-01-19,74
2014-01-26,76
2014-02-02,79
2014-02-09,82
2014-02-16,75
2014-02-23,74
2014-03-02,73
2014-03-09,71
2014-03-16,71
2014-03-23,74
2014-03-30,71
2014-04-06,71
2014-04-13,70
2014-04-20,75
2014-04-27,79
2014-05-04,75
2014-05-11,72
2014-05-18,72
2014-05-25,74
2014-06-01,76
2014-06-08,73
2014-06-15,72
2014-06-22,74
2014-06-29,74
2014-07-06,75
2014-07-13,77
2014-07-20,77
2014-07-27,78
2014-08-03,79
2014-08-10,78
2014-08-17,77
2014-08-24,77
2014-08-31,76
2014-09-07,76
2014-09-14,80
2014-09-21,78
2014-09-28,79
2014-10-05,82
2014-10-12,84
2014-10-19,81
2014-10-26,82
2014-11-02,89
2014-11-09,90
2014-11-16,94
2014-11-23,100
2014-11-30,99
2014-12-07,100
2014-12-14,97
2014-12-21,92
2014-12-28,83
2015-01-04,79
2015-01-11,77
2015-01-18,77
2015-01-25,80
2015-02-01,81
2015-02-08,85
2015-02-15,80
2015-02-22,76
2015-03-01,75
2015-03-08,78
2015-03-15,75
2015-03-22,74
2015-03-29,70
2015-04-05,73
2015-04-12,74
2015-04-19,78
2015-04-26,76
2015-05-03,76
2015-05-10,73
2015-05-17,73
2015-05-24,71
2015-05-31,71
2015-06-07,71
2015-06-14,70
2015-06-21,71
2015-06-28,72
2015-07-05,75
2015-07-12,75
2015-07-19,83
2015-07-26,82
2015-08-02,82
2015-08-09,80
2015-08-16,79
2015-08-23,78
2015-08-30,77
2015-09-06,77
2015-09-13,76
2015-09-20,77
2015-09-27,75
2015-10-04,77
2015-10-11,77
2015-10-18,79
2015-10-25,80
2015-11-01,85
2015-11-08,85
2015-11-15,88
2015-11-22,97
2015-11-29,97
2015-12-06,97
2015-12-13,100
2015-12-20,93
2015-12-27,81
