Category: All categories

Week,Straw hat: (Worldwide)
2012-01-01,47
2012-01-08,45
2012-01-15,43
2012-01-22,49
2012-01-29,52
2012-02-05,43
2012-02-12,51
2012-02-19,55
2012-02-26,57
2012-03-04,51
2012-03-11,57
2012-03-18,59
2012-03-25,62
2012-04-01,64
2012-04-08,61
2012-04-15,59
2012-04-22,61
2012-04-29,62
2012-05-06,65
2012-05-13,64
2012-05-20,73
2012-05-27,72
2012-06-03,77
2012-06-10,74
2012-06-17,80
2012-06-24,77
2012-07-01,73
2012-07-08,76
2012-07-15,73
2012-07-22,77
2012-07-29,72
2012-08-05,60
2012-08-12,70
2012-08-19,65
2012-08-26,56
2012-09-02,53
2012-09-09,44
2012-09-16,47
2012-09-23,53
2012-09-30,51
2012-10-07,49
2012-10-14,57
2012-10-21,52
2012-10-28,51
2012-11-04,44
2012-11-11,46
2012-11-18,46
2012-11-25,45
2012-12-02,51
2012-12-09,46
2012-12-16,49
2012-12-23,50
2012-12-30,58
2013-01-06,46
2013-01-13,54
2013-01-20,49
2013-01-27,40
2013-02-03,46
2013-02-10,49
2013-02-17,58
2013-02-24,52
2013-03-03,53
2013-03-10,63
2013-03-17,61
2013-03-24,57
2013-03-31,61
2013-04-07,65
2013-04-14,62
2013-04-21,68
2013-04-28,77
2013-05-05,77
2013-05-12,75
2013-05-19,67
2013-05-26,75
2013-06-02,76
2013-06-09,79
2013-06-16,75
2013-06-23,77
2013-06-30,78
2013-07-07,95
2013-07-14,88
2013-07-21,75
2013-07-28,71
2013-08-04,66
2013-08-11,68
2013-08-18,59
2013-08-25,56
2013-09-01,54
2013-09-08,53
2013-09-15,47
2013-09-22,50
2013-09-29,46
2013-10-06,53
2013-10-13,51
2013-10-20,55
2013-10-27,53
2013-11-03,43
2013-11-10,46
2013-11-17,48
2013-11-24,45
2013-12-01,47
2013-12-08,47
2013-12-15,47
2013-12-22,46
2013-12-29,48
2014-01-05,46
2014-01-12,49
2014-01-19,47
2014-01-26,51
2014-02-02,51
2014-02-09,49
2014-02-16,49
2014-02-23,52
2014-03-02,57
2014-03-09,59
2014-03-16,59
2014-03-23,67
2014-03-30,66
2014-04-06,70
2014-04-13,74
2014-04-20,70
2014-04-27,72
2014-05-04,70
2014-05-11,71
2014-05-18,76
2014-05-25,79
2014-06-01,86
2014-06-08,80
2014-06-15,78
2014-06-22,79
2014-06-29,81
2014-07-06,77
2014-07-13,78
2014-07-20,85
2014-07-27,77
2014-08-03,73
2014-08-10,65
2014-08-17,59
2014-08-24,58
2014-08-31,54
2014-09-07,50
2014-09-14,48
2014-09-21,50
2014-09-28,72
2014-10-05,53
2014-10-12,50
2014-10-19,54
2014-10-26,66
2014-11-02,48
2014-11-09,46
2014-11-16,44
2014-11-23,41
2014-11-30,46
2014-12-07,48
2014-12-14,47
2014-12-21,47
2014-12-28,52
2015-01-04,47
2015-01-11,46
2015-01-18,52
2015-01-25,55
2015-02-01,51
2015-02-08,50
2015-02-15,54
2015-02-22,54
2015-03-01,55
2015-03-08,60
2015-03-15,67
2015-03-22,67
2015-03-29,66
2015-04-05,73
2015-04-12,77
2015-04-19,77
2015-04-26,78
2015-05-03,79
2015-05-10,79
2015-05-17,75
2015-05-24,81
2015-05-31,79
2015-06-07,88
2015-06-14,85
2015-06-21,88
2015-06-28,100
2015-07-05,88
2015-07-12,84
2015-07-19,82
2015-07-26,77
2015-08-02,77
2015-08-09,75
2015-08-16,69
2015-08-23,68
2015-08-30,73
2015-09-06,68
2015-09-13,84
2015-09-20,78
2015-09-27,60
2015-10-04,61
2015-10-11,60
2015-10-18,65
2015-10-25,71
2015-11-01,53
2015-11-08,49
2015-11-15,47
2015-11-22,45
2015-11-29,45
2015-12-06,47
2015-12-13,51
2015-12-20,57
2015-12-27,63
