Category: All categories

Week,Style line: (Worldwide)
2012-01-01,51
2012-01-08,66
2012-01-15,62
2012-01-22,63
2012-01-29,77
2012-02-05,77
2012-02-12,70
2012-02-19,64
2012-02-26,72
2012-03-04,68
2012-03-11,68
2012-03-18,68
2012-03-25,68
2012-04-01,65
2012-04-08,64
2012-04-15,71
2012-04-22,72
2012-04-29,77
2012-05-06,69
2012-05-13,68
2012-05-20,66
2012-05-27,66
2012-06-03,65
2012-06-10,64
2012-06-17,60
2012-06-24,67
2012-07-01,62
2012-07-08,63
2012-07-15,68
2012-07-22,65
2012-07-29,65
2012-08-05,67
2012-08-12,69
2012-08-19,69
2012-08-26,75
2012-09-02,71
2012-09-09,89
2012-09-16,99
2012-09-23,96
2012-09-30,92
2012-10-07,93
2012-10-14,100
2012-10-21,90
2012-10-28,91
2012-11-04,84
2012-11-11,87
2012-11-18,81
2012-11-25,90
2012-12-02,86
2012-12-09,88
2012-12-16,79
2012-12-23,84
2012-12-30,76
2013-01-06,77
2013-01-13,76
2013-01-20,76
2013-01-27,80
2013-02-03,82
2013-02-10,84
2013-02-17,86
2013-02-24,82
2013-03-03,84
2013-03-10,83
2013-03-17,83
2013-03-24,79
2013-03-31,81
2013-04-07,79
2013-04-14,82
2013-04-21,88
2013-04-28,82
2013-05-05,76
2013-05-12,75
2013-05-19,74
2013-05-26,71
2013-06-02,73
2013-06-09,74
2013-06-16,69
2013-06-23,67
2013-06-30,71
2013-07-07,68
2013-07-14,67
2013-07-21,74
2013-07-28,68
2013-08-04,74
2013-08-11,64
2013-08-18,72
2013-08-25,68
2013-09-01,72
2013-09-08,77
2013-09-15,83
2013-09-22,79
2013-09-29,77
2013-10-06,78
2013-10-13,82
2013-10-20,82
2013-10-27,76
2013-11-03,79
2013-11-10,87
2013-11-17,79
2013-11-24,72
2013-12-01,79
2013-12-08,75
2013-12-15,62
2013-12-22,53
2013-12-29,63
2014-01-05,73
2014-01-12,76
2014-01-19,76
2014-01-26,74
2014-02-02,82
2014-02-09,72
2014-02-16,84
2014-02-23,84
2014-03-02,80
2014-03-09,78
2014-03-16,84
2014-03-23,79
2014-03-30,79
2014-04-06,82
2014-04-13,78
2014-04-20,71
2014-04-27,77
2014-05-04,77
2014-05-11,73
2014-05-18,72
2014-05-25,68
2014-06-01,76
2014-06-08,74
2014-06-15,63
2014-06-22,71
2014-06-29,75
2014-07-06,72
2014-07-13,70
2014-07-20,76
2014-07-27,74
2014-08-03,68
2014-08-10,75
2014-08-17,77
2014-08-24,74
2014-08-31,69
2014-09-07,79
2014-09-14,78
2014-09-21,80
2014-09-28,80
2014-10-05,78
2014-10-12,77
2014-10-19,72
2014-10-26,76
2014-11-02,75
2014-11-09,76
2014-11-16,72
2014-11-23,76
2014-11-30,69
2014-12-07,74
2014-12-14,70
2014-12-21,51
2014-12-28,50
2015-01-04,71
2015-01-11,78
2015-01-18,78
2015-01-25,76
2015-02-01,78
2015-02-08,81
2015-02-15,80
2015-02-22,86
2015-03-01,78
2015-03-08,74
2015-03-15,82
2015-03-22,85
2015-03-29,78
2015-04-05,78
2015-04-12,84
2015-04-19,80
2015-04-26,79
2015-05-03,74
2015-05-10,73
2015-05-17,78
2015-05-24,77
2015-05-31,68
2015-06-07,72
2015-06-14,74
2015-06-21,76
2015-06-28,78
2015-07-05,69
2015-07-12,72
2015-07-19,77
2015-07-26,75
2015-08-02,71
2015-08-09,70
2015-08-16,76
2015-08-23,72
2015-08-30,75
2015-09-06,78
2015-09-13,81
2015-09-20,96
2015-09-27,82
2015-10-04,81
2015-10-11,83
2015-10-18,78
2015-10-25,72
2015-11-01,84
2015-11-08,81
2015-11-15,78
2015-11-22,71
2015-11-29,80
2015-12-06,78
2015-12-13,78
2015-12-20,50
2015-12-27,58
