Category: All categories

Week,Sun hat: (Worldwide)
2012-01-01,8
2012-01-08,8
2012-01-15,7
2012-01-22,9
2012-01-29,10
2012-02-05,9
2012-02-12,8
2012-02-19,10
2012-02-26,11
2012-03-04,12
2012-03-11,13
2012-03-18,14
2012-03-25,16
2012-04-01,12
2012-04-08,13
2012-04-15,14
2012-04-22,14
2012-04-29,14
2012-05-06,14
2012-05-13,17
2012-05-20,20
2012-05-27,20
2012-06-03,16
2012-06-10,17
2012-06-17,15
2012-06-24,15
2012-07-01,17
2012-07-08,17
2012-07-15,13
2012-07-22,16
2012-07-29,12
2012-08-05,12
2012-08-12,12
2012-08-19,10
2012-08-26,10
2012-09-02,10
2012-09-09,9
2012-09-16,7
2012-09-23,8
2012-09-30,7
2012-10-07,7
2012-10-14,7
2012-10-21,7
2012-10-28,6
2012-11-04,7
2012-11-11,7
2012-11-18,6
2012-11-25,7
2012-12-02,7
2012-12-09,7
2012-12-16,7
2012-12-23,6
2012-12-30,8
2013-01-06,8
2013-01-13,8
2013-01-20,9
2013-01-27,9
2013-02-03,9
2013-02-10,8
2013-02-17,9
2013-02-24,9
2013-03-03,10
2013-03-10,11
2013-03-17,12
2013-03-24,11
2013-03-31,12
2013-04-07,14
2013-04-14,15
2013-04-21,16
2013-04-28,18
2013-05-05,20
2013-05-12,16
2013-05-19,16
2013-05-26,16
2013-06-02,20
2013-06-09,18
2013-06-16,17
2013-06-23,17
2013-06-30,18
2013-07-07,21
2013-07-14,21
2013-07-21,16
2013-07-28,14
2013-08-04,11
2013-08-11,11
2013-08-18,11
2013-08-25,9
2013-09-01,9
2013-09-08,8
2013-09-15,8
2013-09-22,7
2013-09-29,6
2013-10-06,6
2013-10-13,7
2013-10-20,7
2013-10-27,6
2013-11-03,7
2013-11-10,7
2013-11-17,6
2013-11-24,7
2013-12-01,7
2013-12-08,7
2013-12-15,7
2013-12-22,6
2013-12-29,7
2014-01-05,9
2014-01-12,9
2014-01-19,9
2014-01-26,10
2014-02-02,9
2014-02-09,10
2014-02-16,12
2014-02-23,12
2014-03-02,12
2014-03-09,16
2014-03-16,16
2014-03-23,14
2014-03-30,16
2014-04-06,17
2014-04-13,19
2014-04-20,19
2014-04-27,19
2014-05-04,22
2014-05-11,100
2014-05-18,31
2014-05-25,20
2014-06-01,23
2014-06-08,25
2014-06-15,24
2014-06-22,23
2014-06-29,24
2014-07-06,24
2014-07-13,21
2014-07-20,21
2014-07-27,17
2014-08-03,15
2014-08-10,13
2014-08-17,11
2014-08-24,11
2014-08-31,10
2014-09-07,9
2014-09-14,8
2014-09-21,8
2014-09-28,9
2014-10-05,11
2014-10-12,10
2014-10-19,8
2014-10-26,9
2014-11-02,7
2014-11-09,8
2014-11-16,7
2014-11-23,6
2014-11-30,7
2014-12-07,8
2014-12-14,6
2014-12-21,7
2014-12-28,8
2015-01-04,9
2015-01-11,9
2015-01-18,10
2015-01-25,8
2015-02-01,9
2015-02-08,10
2015-02-15,10
2015-02-22,11
2015-03-01,13
2015-03-08,15
2015-03-15,14
2015-03-22,15
2015-03-29,15
2015-04-05,18
2015-04-12,21
2015-04-19,20
2015-04-26,18
2015-05-03,20
2015-05-10,19
2015-05-17,18
2015-05-24,20
2015-05-31,20
2015-06-07,23
2015-06-14,22
2015-06-21,20
2015-06-28,26
2015-07-05,20
2015-07-12,18
2015-07-19,19
2015-07-26,17
2015-08-02,16
2015-08-09,14
2015-08-16,13
2015-08-23,12
2015-08-30,11
2015-09-06,11
2015-09-13,9
2015-09-20,9
2015-09-27,9
2015-10-04,9
2015-10-11,8
2015-10-18,8
2015-10-25,7
2015-11-01,7
2015-11-08,7
2015-11-15,7
2015-11-22,7
2015-11-29,8
2015-12-06,8
2015-12-13,7
2015-12-20,7
2015-12-27,8
