Category: All categories

Week,Supermodel: (Worldwide)
2012-01-01,79
2012-01-08,70
2012-01-15,72
2012-01-22,73
2012-01-29,74
2012-02-05,83
2012-02-12,77
2012-02-19,86
2012-02-26,85
2012-03-04,84
2012-03-11,83
2012-03-18,86
2012-03-25,78
2012-04-01,98
2012-04-08,86
2012-04-15,90
2012-04-22,72
2012-04-29,85
2012-05-06,73
2012-05-13,71
2012-05-20,71
2012-05-27,73
2012-06-03,71
2012-06-10,69
2012-06-17,71
2012-06-24,68
2012-07-01,64
2012-07-08,68
2012-07-15,68
2012-07-22,66
2012-07-29,69
2012-08-05,65
2012-08-12,76
2012-08-19,62
2012-08-26,61
2012-09-02,65
2012-09-09,65
2012-09-16,61
2012-09-23,61
2012-09-30,52
2012-10-07,52
2012-10-14,58
2012-10-21,58
2012-10-28,59
2012-11-04,55
2012-11-11,57
2012-11-18,58
2012-11-25,59
2012-12-02,61
2012-12-09,69
2012-12-16,65
2012-12-23,60
2012-12-30,70
2013-01-06,57
2013-01-13,56
2013-01-20,58
2013-01-27,61
2013-02-03,63
2013-02-10,64
2013-02-17,61
2013-02-24,54
2013-03-03,52
2013-03-10,52
2013-03-17,58
2013-03-24,63
2013-03-31,62
2013-04-07,55
2013-04-14,52
2013-04-21,50
2013-04-28,50
2013-05-05,58
2013-05-12,50
2013-05-19,53
2013-05-26,52
2013-06-02,54
2013-06-09,52
2013-06-16,49
2013-06-23,50
2013-06-30,51
2013-07-07,51
2013-07-14,53
2013-07-21,49
2013-07-28,54
2013-08-04,51
2013-08-11,54
2013-08-18,59
2013-08-25,51
2013-09-01,55
2013-09-08,58
2013-09-15,61
2013-09-22,80
2013-09-29,98
2013-10-06,62
2013-10-13,61
2013-10-20,55
2013-10-27,53
2013-11-03,55
2013-11-10,59
2013-11-17,55
2013-11-24,59
2013-12-01,51
2013-12-08,55
2013-12-15,51
2013-12-22,59
2013-12-29,61
2014-01-05,50
2014-01-12,72
2014-01-19,58
2014-01-26,53
2014-02-02,60
2014-02-09,57
2014-02-16,55
2014-02-23,59
2014-03-02,70
2014-03-09,81
2014-03-16,100
2014-03-23,76
2014-03-30,67
2014-04-06,63
2014-04-13,62
2014-04-20,68
2014-04-27,55
2014-05-04,54
2014-05-11,52
2014-05-18,50
2014-05-25,61
2014-06-01,58
2014-06-08,52
2014-06-15,58
2014-06-22,54
2014-06-29,56
2014-07-06,60
2014-07-13,63
2014-07-20,59
2014-07-27,58
2014-08-03,55
2014-08-10,55
2014-08-17,53
2014-08-24,48
2014-08-31,49
2014-09-07,44
2014-09-14,46
2014-09-21,49
2014-09-28,49
2014-10-05,49
2014-10-12,63
2014-10-19,46
2014-10-26,49
2014-11-02,47
2014-11-09,55
2014-11-16,60
2014-11-23,51
2014-11-30,61
2014-12-07,63
2014-12-14,55
2014-12-21,61
2014-12-28,59
2015-01-04,54
2015-01-11,50
2015-01-18,52
2015-01-25,51
2015-02-01,60
2015-02-08,53
2015-02-15,54
2015-02-22,48
2015-03-01,57
2015-03-08,51
2015-03-15,49
2015-03-22,48
2015-03-29,48
2015-04-05,51
2015-04-12,50
2015-04-19,48
2015-04-26,48
2015-05-03,49
2015-05-10,50
2015-05-17,53
2015-05-24,52
2015-05-31,57
2015-06-07,50
2015-06-14,46
2015-06-21,48
2015-06-28,46
2015-07-05,47
2015-07-12,48
2015-07-19,50
2015-07-26,47
2015-08-02,46
2015-08-09,46
2015-08-16,46
2015-08-23,45
2015-08-30,54
2015-09-06,55
2015-09-13,55
2015-09-20,56
2015-09-27,53
2015-10-04,50
2015-10-11,48
2015-10-18,43
2015-10-25,48
2015-11-01,43
2015-11-08,42
2015-11-15,41
2015-11-22,45
2015-11-29,42
2015-12-06,63
2015-12-13,46
2015-12-20,47
2015-12-27,49
