Category: All categories

Week,Surtout: (Worldwide)
2012-01-01,45
2012-01-08,42
2012-01-15,34
2012-01-22,37
2012-01-29,41
2012-02-05,38
2012-02-12,38
2012-02-19,42
2012-02-26,33
2012-03-04,38
2012-03-11,35
2012-03-18,34
2012-03-25,35
2012-04-01,38
2012-04-08,34
2012-04-15,51
2012-04-22,36
2012-04-29,51
2012-05-06,35
2012-05-13,36
2012-05-20,34
2012-05-27,32
2012-06-03,36
2012-06-10,39
2012-06-17,43
2012-06-24,28
2012-07-01,31
2012-07-08,35
2012-07-15,23
2012-07-22,31
2012-07-29,24
2012-08-05,27
2012-08-12,28
2012-08-19,30
2012-08-26,32
2012-09-02,35
2012-09-09,30
2012-09-16,32
2012-09-23,35
2012-09-30,38
2012-10-07,33
2012-10-14,39
2012-10-21,41
2012-10-28,33
2012-11-04,33
2012-11-11,36
2012-11-18,39
2012-11-25,42
2012-12-02,34
2012-12-09,35
2012-12-16,35
2012-12-23,28
2012-12-30,42
2013-01-06,31
2013-01-13,36
2013-01-20,36
2013-01-27,33
2013-02-03,30
2013-02-10,37
2013-02-17,27
2013-02-24,30
2013-03-03,37
2013-03-10,34
2013-03-17,33
2013-03-24,38
2013-03-31,31
2013-04-07,36
2013-04-14,33
2013-04-21,31
2013-04-28,34
2013-05-05,100
2013-05-12,32
2013-05-19,30
2013-05-26,35
2013-06-02,34
2013-06-09,31
2013-06-16,29
2013-06-23,28
2013-06-30,28
2013-07-07,27
2013-07-14,21
2013-07-21,22
2013-07-28,28
2013-08-04,22
2013-08-11,19
2013-08-18,21
2013-08-25,28
2013-09-01,27
2013-09-08,28
2013-09-15,27
2013-09-22,28
2013-09-29,30
2013-10-06,28
2013-10-13,28
2013-10-20,26
2013-10-27,28
2013-11-03,28
2013-11-10,31
2013-11-17,26
2013-11-24,28
2013-12-01,35
2013-12-08,29
2013-12-15,34
2013-12-22,23
2013-12-29,36
2014-01-05,35
2014-01-12,33
2014-01-19,30
2014-01-26,35
2014-02-02,34
2014-02-09,31
2014-02-16,29
2014-02-23,30
2014-03-02,26
2014-03-09,33
2014-03-16,31
2014-03-23,29
2014-03-30,34
2014-04-06,28
2014-04-13,27
2014-04-20,27
2014-04-27,29
2014-05-04,29
2014-05-11,29
2014-05-18,30
2014-05-25,30
2014-06-01,32
2014-06-08,26
2014-06-15,23
2014-06-22,28
2014-06-29,29
2014-07-06,27
2014-07-13,27
2014-07-20,21
2014-07-27,24
2014-08-03,22
2014-08-10,23
2014-08-17,24
2014-08-24,28
2014-08-31,30
2014-09-07,25
2014-09-14,34
2014-09-21,42
2014-09-28,33
2014-10-05,37
2014-10-12,25
2014-10-19,28
2014-10-26,31
2014-11-02,34
2014-11-09,31
2014-11-16,34
2014-11-23,37
2014-11-30,30
2014-12-07,30
2014-12-14,38
2014-12-21,33
2014-12-28,39
2015-01-04,99
2015-01-11,37
2015-01-18,39
2015-01-25,30
2015-02-01,37
2015-02-08,30
2015-02-15,33
2015-02-22,34
2015-03-01,27
2015-03-08,33
2015-03-15,32
2015-03-22,28
2015-03-29,31
2015-04-05,27
2015-04-12,35
2015-04-19,30
2015-04-26,32
2015-05-03,30
2015-05-10,32
2015-05-17,25
2015-05-24,30
2015-05-31,31
2015-06-07,29
2015-06-14,33
2015-06-21,28
2015-06-28,27
2015-07-05,26
2015-07-12,23
2015-07-19,24
2015-07-26,21
2015-08-02,22
2015-08-09,21
2015-08-16,24
2015-08-23,24
2015-08-30,29
2015-09-06,30
2015-09-13,30
2015-09-20,27
2015-09-27,30
2015-10-04,33
2015-10-11,34
2015-10-18,30
2015-10-25,33
2015-11-01,33
2015-11-08,37
2015-11-15,39
2015-11-22,34
2015-11-29,39
2015-12-06,33
2015-12-13,36
2015-12-20,27
2015-12-27,38
