Category: All categories

Week,Sweater: (Worldwide)
2012-01-01,22
2012-01-08,20
2012-01-15,20
2012-01-22,18
2012-01-29,17
2012-02-05,17
2012-02-12,16
2012-02-19,16
2012-02-26,15
2012-03-04,14
2012-03-11,13
2012-03-18,12
2012-03-25,12
2012-04-01,12
2012-04-08,12
2012-04-15,11
2012-04-22,12
2012-04-29,11
2012-05-06,10
2012-05-13,10
2012-05-20,9
2012-05-27,9
2012-06-03,10
2012-06-10,10
2012-06-17,10
2012-06-24,9
2012-07-01,9
2012-07-08,10
2012-07-15,11
2012-07-22,11
2012-07-29,11
2012-08-05,12
2012-08-12,13
2012-08-19,14
2012-08-26,15
2012-09-02,16
2012-09-09,18
2012-09-16,21
2012-09-23,22
2012-09-30,23
2012-10-07,27
2012-10-14,26
2012-10-21,27
2012-10-28,27
2012-11-04,30
2012-11-11,35
2012-11-18,38
2012-11-25,46
2012-12-02,49
2012-12-09,51
2012-12-16,43
2012-12-23,37
2012-12-30,30
2013-01-06,25
2013-01-13,24
2013-01-20,24
2013-01-27,23
2013-02-03,21
2013-02-10,20
2013-02-17,19
2013-02-24,19
2013-03-03,18
2013-03-10,17
2013-03-17,17
2013-03-24,16
2013-03-31,16
2013-04-07,15
2013-04-14,15
2013-04-21,15
2013-04-28,14
2013-05-05,13
2013-05-12,13
2013-05-19,13
2013-05-26,13
2013-06-02,12
2013-06-09,12
2013-06-16,12
2013-06-23,12
2013-06-30,12
2013-07-07,13
2013-07-14,13
2013-07-21,14
2013-07-28,16
2013-08-04,17
2013-08-11,17
2013-08-18,19
2013-08-25,18
2013-09-01,20
2013-09-08,21
2013-09-15,25
2013-09-22,27
2013-09-29,28
2013-10-06,31
2013-10-13,33
2013-10-20,35
2013-10-27,36
2013-11-03,41
2013-11-10,47
2013-11-17,51
2013-11-24,57
2013-12-01,66
2013-12-08,75
2013-12-15,66
2013-12-22,51
2013-12-29,39
2014-01-05,35
2014-01-12,32
2014-01-19,32
2014-01-26,31
2014-02-02,32
2014-02-09,29
2014-02-16,25
2014-02-23,24
2014-03-02,23
2014-03-09,21
2014-03-16,20
2014-03-23,21
2014-03-30,19
2014-04-06,18
2014-04-13,18
2014-04-20,17
2014-04-27,17
2014-05-04,16
2014-05-11,15
2014-05-18,15
2014-05-25,14
2014-06-01,14
2014-06-08,13
2014-06-15,13
2014-06-22,13
2014-06-29,13
2014-07-06,14
2014-07-13,14
2014-07-20,16
2014-07-27,16
2014-08-03,16
2014-08-10,17
2014-08-17,19
2014-08-24,19
2014-08-31,19
2014-09-07,22
2014-09-14,26
2014-09-21,27
2014-09-28,29
2014-10-05,31
2014-10-12,32
2014-10-19,34
2014-10-26,34
2014-11-02,42
2014-11-09,52
2014-11-16,61
2014-11-23,63
2014-11-30,83
2014-12-07,94
2014-12-14,86
2014-12-21,62
2014-12-28,41
2015-01-04,34
2015-01-11,31
2015-01-18,28
2015-01-25,27
2015-02-01,26
2015-02-08,24
2015-02-15,24
2015-02-22,23
2015-03-01,22
2015-03-08,19
2015-03-15,18
2015-03-22,18
2015-03-29,18
2015-04-05,17
2015-04-12,15
2015-04-19,16
2015-04-26,15
2015-05-03,15
2015-05-10,15
2015-05-17,15
2015-05-24,15
2015-05-31,15
2015-06-07,14
2015-06-14,13
2015-06-21,13
2015-06-28,13
2015-07-05,14
2015-07-12,14
2015-07-19,15
2015-07-26,15
2015-08-02,16
2015-08-09,17
2015-08-16,17
2015-08-23,18
2015-08-30,19
2015-09-06,21
2015-09-13,24
2015-09-20,26
2015-09-27,30
2015-10-04,32
2015-10-11,34
2015-10-18,37
2015-10-25,38
2015-11-01,45
2015-11-08,57
2015-11-15,61
2015-11-22,72
2015-11-29,90
2015-12-06,96
2015-12-13,100
2015-12-20,71
2015-12-27,43
