Category: All categories

Week,Fishnet: (Worldwide)
2012-01-01,71
2012-01-08,64
2012-01-15,66
2012-01-22,72
2012-01-29,75
2012-02-05,74
2012-02-12,74
2012-02-19,77
2012-02-26,75
2012-03-04,68
2012-03-11,69
2012-03-18,64
2012-03-25,69
2012-04-01,72
2012-04-08,71
2012-04-15,77
2012-04-22,67
2012-04-29,72
2012-05-06,74
2012-05-13,69
2012-05-20,73
2012-05-27,70
2012-06-03,73
2012-06-10,71
2012-06-17,70
2012-06-24,70
2012-07-01,68
2012-07-08,74
2012-07-15,70
2012-07-22,69
2012-07-29,69
2012-08-05,66
2012-08-12,70
2012-08-19,73
2012-08-26,67
2012-09-02,74
2012-09-09,71
2012-09-16,74
2012-09-23,78
2012-09-30,74
2012-10-07,73
2012-10-14,80
2012-10-21,94
2012-10-28,79
2012-11-04,67
2012-11-11,68
2012-11-18,71
2012-11-25,73
2012-12-02,68
2012-12-09,75
2012-12-16,72
2012-12-23,74
2012-12-30,75
2013-01-06,73
2013-01-13,66
2013-01-20,71
2013-01-27,72
2013-02-03,73
2013-02-10,69
2013-02-17,65
2013-02-24,63
2013-03-03,65
2013-03-10,63
2013-03-17,67
2013-03-24,71
2013-03-31,65
2013-04-07,71
2013-04-14,70
2013-04-21,70
2013-04-28,65
2013-05-05,71
2013-05-12,64
2013-05-19,69
2013-05-26,68
2013-06-02,65
2013-06-09,64
2013-06-16,66
2013-06-23,65
2013-06-30,62
2013-07-07,71
2013-07-14,59
2013-07-21,80
2013-07-28,73
2013-08-04,69
2013-08-11,65
2013-08-18,61
2013-08-25,70
2013-09-01,66
2013-09-08,69
2013-09-15,68
2013-09-22,91
2013-09-29,73
2013-10-06,67
2013-10-13,83
2013-10-20,85
2013-10-27,87
2013-11-03,69
2013-11-10,67
2013-11-17,70
2013-11-24,69
2013-12-01,71
2013-12-08,70
2013-12-15,65
2013-12-22,69
2013-12-29,72
2014-01-05,74
2014-01-12,65
2014-01-19,70
2014-01-26,68
2014-02-02,71
2014-02-09,70
2014-02-16,74
2014-02-23,94
2014-03-02,84
2014-03-09,79
2014-03-16,69
2014-03-23,68
2014-03-30,76
2014-04-06,72
2014-04-13,77
2014-04-20,69
2014-04-27,70
2014-05-04,73
2014-05-11,71
2014-05-18,64
2014-05-25,68
2014-06-01,88
2014-06-08,79
2014-06-15,69
2014-06-22,72
2014-06-29,71
2014-07-06,71
2014-07-13,75
2014-07-20,69
2014-07-27,67
2014-08-03,72
2014-08-10,69
2014-08-17,76
2014-08-24,70
2014-08-31,69
2014-09-07,66
2014-09-14,73
2014-09-21,73
2014-09-28,78
2014-10-05,75
2014-10-12,77
2014-10-19,86
2014-10-26,93
2014-11-02,80
2014-11-09,74
2014-11-16,71
2014-11-23,73
2014-11-30,73
2014-12-07,69
2014-12-14,73
2014-12-21,73
2014-12-28,79
2015-01-04,75
2015-01-11,69
2015-01-18,72
2015-01-25,72
2015-02-01,75
2015-02-08,70
2015-02-15,71
2015-02-22,74
2015-03-01,73
2015-03-08,65
2015-03-15,72
2015-03-22,65
2015-03-29,73
2015-04-05,66
2015-04-12,66
2015-04-19,67
2015-04-26,71
2015-05-03,72
2015-05-10,67
2015-05-17,67
2015-05-24,67
2015-05-31,68
2015-06-07,67
2015-06-14,64
2015-06-21,66
2015-06-28,64
2015-07-05,60
2015-07-12,68
2015-07-19,64
2015-07-26,71
2015-08-02,67
2015-08-09,67
2015-08-16,66
2015-08-23,68
2015-08-30,64
2015-09-06,66
2015-09-13,67
2015-09-20,70
2015-09-27,67
2015-10-04,73
2015-10-11,72
2015-10-18,80
2015-10-25,100
2015-11-01,71
2015-11-08,69
2015-11-15,71
2015-11-22,68
2015-11-29,67
2015-12-06,73
2015-12-13,73
2015-12-20,70
2015-12-27,82
