Category: All categories

Week,Flannel: (Worldwide)
2012-01-01,37
2012-01-08,32
2012-01-15,31
2012-01-22,28
2012-01-29,29
2012-02-05,27
2012-02-12,23
2012-02-19,23
2012-02-26,22
2012-03-04,21
2012-03-11,18
2012-03-18,19
2012-03-25,19
2012-04-01,16
2012-04-08,17
2012-04-15,18
2012-04-22,19
2012-04-29,18
2012-05-06,15
2012-05-13,17
2012-05-20,16
2012-05-27,15
2012-06-03,16
2012-06-10,15
2012-06-17,16
2012-06-24,15
2012-07-01,14
2012-07-08,17
2012-07-15,19
2012-07-22,18
2012-07-29,18
2012-08-05,19
2012-08-12,21
2012-08-19,22
2012-08-26,21
2012-09-02,24
2012-09-09,26
2012-09-16,30
2012-09-23,35
2012-09-30,37
2012-10-07,43
2012-10-14,38
2012-10-21,41
2012-10-28,40
2012-11-04,45
2012-11-11,49
2012-11-18,56
2012-11-25,62
2012-12-02,57
2012-12-09,62
2012-12-16,53
2012-12-23,45
2012-12-30,43
2013-01-06,34
2013-01-13,32
2013-01-20,31
2013-01-27,26
2013-02-03,26
2013-02-10,25
2013-02-17,24
2013-02-24,24
2013-03-03,23
2013-03-10,20
2013-03-17,21
2013-03-24,20
2013-03-31,19
2013-04-07,19
2013-04-14,19
2013-04-21,18
2013-04-28,22
2013-05-05,17
2013-05-12,18
2013-05-19,16
2013-05-26,17
2013-06-02,16
2013-06-09,16
2013-06-16,16
2013-06-23,15
2013-06-30,15
2013-07-07,17
2013-07-14,16
2013-07-21,18
2013-07-28,20
2013-08-04,21
2013-08-11,24
2013-08-18,25
2013-08-25,25
2013-09-01,26
2013-09-08,28
2013-09-15,33
2013-09-22,39
2013-09-29,36
2013-10-06,41
2013-10-13,45
2013-10-20,51
2013-10-27,52
2013-11-03,55
2013-11-10,58
2013-11-17,60
2013-11-24,77
2013-12-01,78
2013-12-08,85
2013-12-15,70
2013-12-22,51
2013-12-29,52
2014-01-05,43
2014-01-12,34
2014-01-19,36
2014-01-26,36
2014-02-02,33
2014-02-09,30
2014-02-16,29
2014-02-23,29
2014-03-02,27
2014-03-09,25
2014-03-16,24
2014-03-23,26
2014-03-30,25
2014-04-06,23
2014-04-13,26
2014-04-20,21
2014-04-27,24
2014-05-04,22
2014-05-11,21
2014-05-18,21
2014-05-25,21
2014-06-01,20
2014-06-08,20
2014-06-15,19
2014-06-22,20
2014-06-29,20
2014-07-06,22
2014-07-13,23
2014-07-20,26
2014-07-27,30
2014-08-03,31
2014-08-10,32
2014-08-17,33
2014-08-24,33
2014-08-31,34
2014-09-07,41
2014-09-14,47
2014-09-21,48
2014-09-28,51
2014-10-05,54
2014-10-12,56
2014-10-19,59
2014-10-26,61
2014-11-02,70
2014-11-09,77
2014-11-16,88
2014-11-23,85
2014-11-30,97
2014-12-07,93
2014-12-14,82
2014-12-21,64
2014-12-28,62
2015-01-04,53
2015-01-11,49
2015-01-18,42
2015-01-25,40
2015-02-01,38
2015-02-08,38
2015-02-15,39
2015-02-22,37
2015-03-01,34
2015-03-08,32
2015-03-15,29
2015-03-22,29
2015-03-29,27
2015-04-05,28
2015-04-12,26
2015-04-19,27
2015-04-26,26
2015-05-03,26
2015-05-10,24
2015-05-17,25
2015-05-24,25
2015-05-31,25
2015-06-07,24
2015-06-14,23
2015-06-21,24
2015-06-28,27
2015-07-05,26
2015-07-12,27
2015-07-19,27
2015-07-26,29
2015-08-02,33
2015-08-09,34
2015-08-16,36
2015-08-23,38
2015-08-30,38
2015-09-06,42
2015-09-13,46
2015-09-20,49
2015-09-27,60
2015-10-04,61
2015-10-11,62
2015-10-18,71
2015-10-25,71
2015-11-01,66
2015-11-08,73
2015-11-15,77
2015-11-22,89
2015-11-29,100
2015-12-06,89
2015-12-13,89
2015-12-20,73
2015-12-27,68
