Category: All categories

Week,Flip-flops: (Worldwide)
2012-01-01,43
2012-01-08,33
2012-01-15,35
2012-01-22,34
2012-01-29,47
2012-02-05,43
2012-02-12,41
2012-02-19,52
2012-02-26,42
2012-03-04,49
2012-03-11,53
2012-03-18,74
2012-03-25,61
2012-04-01,59
2012-04-08,59
2012-04-15,99
2012-04-22,66
2012-04-29,98
2012-05-06,85
2012-05-13,67
2012-05-20,86
2012-05-27,100
2012-06-03,65
2012-06-10,66
2012-06-17,68
2012-06-24,67
2012-07-01,84
2012-07-08,66
2012-07-15,64
2012-07-22,67
2012-07-29,68
2012-08-05,79
2012-08-12,67
2012-08-19,56
2012-08-26,44
2012-09-02,48
2012-09-09,40
2012-09-16,40
2012-09-23,43
2012-09-30,49
2012-10-07,34
2012-10-14,58
2012-10-21,47
2012-10-28,30
2012-11-04,39
2012-11-11,44
2012-11-18,37
2012-11-25,37
2012-12-02,44
2012-12-09,46
2012-12-16,38
2012-12-23,25
2012-12-30,41
2013-01-06,32
2013-01-13,32
2013-01-20,34
2013-01-27,32
2013-02-03,25
2013-02-10,28
2013-02-17,34
2013-02-24,34
2013-03-03,34
2013-03-10,32
2013-03-17,39
2013-03-24,44
2013-03-31,43
2013-04-07,47
2013-04-14,48
2013-04-21,59
2013-04-28,48
2013-05-05,62
2013-05-12,52
2013-05-19,53
2013-05-26,45
2013-06-02,68
2013-06-09,53
2013-06-16,52
2013-06-23,53
2013-06-30,68
2013-07-07,53
2013-07-14,63
2013-07-21,58
2013-07-28,52
2013-08-04,44
2013-08-11,45
2013-08-18,48
2013-08-25,35
2013-09-01,33
2013-09-08,28
2013-09-15,36
2013-09-22,36
2013-09-29,49
2013-10-06,41
2013-10-13,33
2013-10-20,34
2013-10-27,33
2013-11-03,36
2013-11-10,38
2013-11-17,35
2013-11-24,26
2013-12-01,36
2013-12-08,32
2013-12-15,34
2013-12-22,13
2013-12-29,27
2014-01-05,29
2014-01-12,24
2014-01-19,25
2014-01-26,23
2014-02-02,28
2014-02-09,21
2014-02-16,24
2014-02-23,35
2014-03-02,23
2014-03-09,40
2014-03-16,32
2014-03-23,33
2014-03-30,44
2014-04-06,40
2014-04-13,38
2014-04-20,40
2014-04-27,42
2014-05-04,49
2014-05-11,43
2014-05-18,54
2014-05-25,61
2014-06-01,61
2014-06-08,65
2014-06-15,41
2014-06-22,49
2014-06-29,47
2014-07-06,54
2014-07-13,47
2014-07-20,45
2014-07-27,39
2014-08-03,42
2014-08-10,51
2014-08-17,32
2014-08-24,35
2014-08-31,28
2014-09-07,35
2014-09-14,36
2014-09-21,32
2014-09-28,27
2014-10-05,34
2014-10-12,31
2014-10-19,34
2014-10-26,34
2014-11-02,27
2014-11-09,30
2014-11-16,36
2014-11-23,31
2014-11-30,33
2014-12-07,47
2014-12-14,50
2014-12-21,25
2014-12-28,22
2015-01-04,36
2015-01-11,30
2015-01-18,28
2015-01-25,26
2015-02-01,35
2015-02-08,33
2015-02-15,25
2015-02-22,22
2015-03-01,37
2015-03-08,37
2015-03-15,37
2015-03-22,40
2015-03-29,37
2015-04-05,46
2015-04-12,38
2015-04-19,41
2015-04-26,53
2015-05-03,52
2015-05-10,42
2015-05-17,54
2015-05-24,49
2015-05-31,47
2015-06-07,52
2015-06-14,48
2015-06-21,44
2015-06-28,49
2015-07-05,39
2015-07-12,61
2015-07-19,56
2015-07-26,50
2015-08-02,48
2015-08-09,55
2015-08-16,43
2015-08-23,43
2015-08-30,34
2015-09-06,43
2015-09-13,42
2015-09-20,35
2015-09-27,30
2015-10-04,32
2015-10-11,39
2015-10-18,35
2015-10-25,39
2015-11-01,37
2015-11-08,35
2015-11-15,42
2015-11-22,47
2015-11-29,45
2015-12-06,40
2015-12-13,38
2015-12-20,27
2015-12-27,35
