Category: All categories

Week,Handbag: (Worldwide)
2012-01-01,82
2012-01-08,79
2012-01-15,79
2012-01-22,77
2012-01-29,79
2012-02-05,80
2012-02-12,80
2012-02-19,82
2012-02-26,81
2012-03-04,79
2012-03-11,78
2012-03-18,78
2012-03-25,77
2012-04-01,79
2012-04-08,78
2012-04-15,80
2012-04-22,81
2012-04-29,81
2012-05-06,82
2012-05-13,77
2012-05-20,75
2012-05-27,75
2012-06-03,77
2012-06-10,78
2012-06-17,78
2012-06-24,79
2012-07-01,75
2012-07-08,81
2012-07-15,82
2012-07-22,84
2012-07-29,81
2012-08-05,84
2012-08-12,82
2012-08-19,79
2012-08-26,78
2012-09-02,80
2012-09-09,81
2012-09-16,82
2012-09-23,81
2012-09-30,76
2012-10-07,74
2012-10-14,75
2012-10-21,75
2012-10-28,68
2012-11-04,70
2012-11-11,80
2012-11-18,85
2012-11-25,88
2012-12-02,89
2012-12-09,90
2012-12-16,82
2012-12-23,97
2012-12-30,84
2013-01-06,75
2013-01-13,73
2013-01-20,77
2013-01-27,73
2013-02-03,72
2013-02-10,75
2013-02-17,76
2013-02-24,77
2013-03-03,78
2013-03-10,79
2013-03-17,76
2013-03-24,79
2013-03-31,79
2013-04-07,77
2013-04-14,76
2013-04-21,78
2013-04-28,80
2013-05-05,77
2013-05-12,78
2013-05-19,72
2013-05-26,70
2013-06-02,73
2013-06-09,72
2013-06-16,73
2013-06-23,73
2013-06-30,72
2013-07-07,72
2013-07-14,75
2013-07-21,77
2013-07-28,79
2013-08-04,91
2013-08-11,93
2013-08-18,80
2013-08-25,74
2013-09-01,77
2013-09-08,76
2013-09-15,78
2013-09-22,74
2013-09-29,74
2013-10-06,74
2013-10-13,76
2013-10-20,74
2013-10-27,71
2013-11-03,77
2013-11-10,78
2013-11-17,80
2013-11-24,89
2013-12-01,94
2013-12-08,94
2013-12-15,90
2013-12-22,100
2013-12-29,94
2014-01-05,81
2014-01-12,75
2014-01-19,75
2014-01-26,71
2014-02-02,73
2014-02-09,78
2014-02-16,78
2014-02-23,77
2014-03-02,75
2014-03-09,76
2014-03-16,75
2014-03-23,76
2014-03-30,77
2014-04-06,76
2014-04-13,75
2014-04-20,76
2014-04-27,76
2014-05-04,79
2014-05-11,74
2014-05-18,73
2014-05-25,75
2014-06-01,75
2014-06-08,72
2014-06-15,71
2014-06-22,75
2014-06-29,71
2014-07-06,75
2014-07-13,77
2014-07-20,76
2014-07-27,74
2014-08-03,77
2014-08-10,79
2014-08-17,78
2014-08-24,76
2014-08-31,75
2014-09-07,72
2014-09-14,73
2014-09-21,71
2014-09-28,73
2014-10-05,73
2014-10-12,74
2014-10-19,71
2014-10-26,71
2014-11-02,74
2014-11-09,77
2014-11-16,79
2014-11-23,89
2014-11-30,95
2014-12-07,91
2014-12-14,88
2014-12-21,98
2014-12-28,94
2015-01-04,78
2015-01-11,75
2015-01-18,72
2015-01-25,72
2015-02-01,69
2015-02-08,71
2015-02-15,71
2015-02-22,71
2015-03-01,71
2015-03-08,74
2015-03-15,74
2015-03-22,71
2015-03-29,69
2015-04-05,71
2015-04-12,69
2015-04-19,69
2015-04-26,73
2015-05-03,74
2015-05-10,73
2015-05-17,69
2015-05-24,71
2015-05-31,69
2015-06-07,71
2015-06-14,73
2015-06-21,72
2015-06-28,72
2015-07-05,73
2015-07-12,72
2015-07-19,73
2015-07-26,80
2015-08-02,73
2015-08-09,72
2015-08-16,74
2015-08-23,72
2015-08-30,69
2015-09-06,70
2015-09-13,74
2015-09-20,69
2015-09-27,69
2015-10-04,70
2015-10-11,71
2015-10-18,68
2015-10-25,67
2015-11-01,67
2015-11-08,70
2015-11-15,72
2015-11-22,87
2015-11-29,89
2015-12-06,87
2015-12-13,87
2015-12-20,94
2015-12-27,95
