Category: All categories

Week,Handkerchief: (Worldwide)
2012-01-01,71
2012-01-08,67
2012-01-15,64
2012-01-22,71
2012-01-29,55
2012-02-05,73
2012-02-12,76
2012-02-19,82
2012-02-26,82
2012-03-04,77
2012-03-11,83
2012-03-18,72
2012-03-25,76
2012-04-01,74
2012-04-08,86
2012-04-15,82
2012-04-22,84
2012-04-29,90
2012-05-06,91
2012-05-13,94
2012-05-20,84
2012-05-27,85
2012-06-03,93
2012-06-10,87
2012-06-17,85
2012-06-24,86
2012-07-01,77
2012-07-08,81
2012-07-15,82
2012-07-22,80
2012-07-29,75
2012-08-05,69
2012-08-12,83
2012-08-19,79
2012-08-26,78
2012-09-02,83
2012-09-09,83
2012-09-16,81
2012-09-23,83
2012-09-30,89
2012-10-07,76
2012-10-14,80
2012-10-21,88
2012-10-28,76
2012-11-04,77
2012-11-11,76
2012-11-18,75
2012-11-25,77
2012-12-02,88
2012-12-09,100
2012-12-16,90
2012-12-23,81
2012-12-30,88
2013-01-06,83
2013-01-13,79
2013-01-20,81
2013-01-27,80
2013-02-03,78
2013-02-10,86
2013-02-17,80
2013-02-24,88
2013-03-03,81
2013-03-10,86
2013-03-17,82
2013-03-24,80
2013-03-31,92
2013-04-07,89
2013-04-14,89
2013-04-21,94
2013-04-28,94
2013-05-05,91
2013-05-12,90
2013-05-19,94
2013-05-26,95
2013-06-02,90
2013-06-09,92
2013-06-16,96
2013-06-23,78
2013-06-30,84
2013-07-07,78
2013-07-14,83
2013-07-21,75
2013-07-28,76
2013-08-04,76
2013-08-11,84
2013-08-18,85
2013-08-25,76
2013-09-01,80
2013-09-08,76
2013-09-15,81
2013-09-22,69
2013-09-29,71
2013-10-06,74
2013-10-13,84
2013-10-20,71
2013-10-27,78
2013-11-03,76
2013-11-10,76
2013-11-17,79
2013-11-24,77
2013-12-01,92
2013-12-08,96
2013-12-15,87
2013-12-22,73
2013-12-29,84
2014-01-05,69
2014-01-12,81
2014-01-19,76
2014-01-26,71
2014-02-02,76
2014-02-09,76
2014-02-16,77
2014-02-23,80
2014-03-02,76
2014-03-09,83
2014-03-16,80
2014-03-23,84
2014-03-30,89
2014-04-06,77
2014-04-13,80
2014-04-20,98
2014-04-27,92
2014-05-04,87
2014-05-11,91
2014-05-18,88
2014-05-25,84
2014-06-01,80
2014-06-08,77
2014-06-15,80
2014-06-22,81
2014-06-29,68
2014-07-06,69
2014-07-13,70
2014-07-20,74
2014-07-27,69
2014-08-03,79
2014-08-10,73
2014-08-17,68
2014-08-24,71
2014-08-31,72
2014-09-07,70
2014-09-14,80
2014-09-21,73
2014-09-28,77
2014-10-05,79
2014-10-12,73
2014-10-19,80
2014-10-26,84
2014-11-02,75
2014-11-09,74
2014-11-16,75
2014-11-23,76
2014-11-30,93
2014-12-07,88
2014-12-14,90
2014-12-21,72
2014-12-28,83
2015-01-04,75
2015-01-11,75
2015-01-18,72
2015-01-25,75
2015-02-01,73
2015-02-08,73
2015-02-15,70
2015-02-22,81
2015-03-01,78
2015-03-08,75
2015-03-15,74
2015-03-22,82
2015-03-29,76
2015-04-05,87
2015-04-12,90
2015-04-19,91
2015-04-26,91
2015-05-03,92
2015-05-10,88
2015-05-17,90
2015-05-24,90
2015-05-31,86
2015-06-07,79
2015-06-14,88
2015-06-21,82
2015-06-28,79
2015-07-05,78
2015-07-12,89
2015-07-19,81
2015-07-26,78
2015-08-02,80
2015-08-09,71
2015-08-16,81
2015-08-23,78
2015-08-30,69
2015-09-06,75
2015-09-13,88
2015-09-20,76
2015-09-27,77
2015-10-04,72
2015-10-11,74
2015-10-18,82
2015-10-25,87
2015-11-01,85
2015-11-08,76
2015-11-15,82
2015-11-22,83
2015-11-29,85
2015-12-06,92
2015-12-13,92
2015-12-20,80
2015-12-27,77
