Category: All categories

Week,Haute couture: (Worldwide)
2012-01-01,52
2012-01-08,49
2012-01-15,53
2012-01-22,96
2012-01-29,71
2012-02-05,62
2012-02-12,57
2012-02-19,53
2012-02-26,59
2012-03-04,57
2012-03-11,54
2012-03-18,51
2012-03-25,46
2012-04-01,56
2012-04-08,51
2012-04-15,54
2012-04-22,52
2012-04-29,53
2012-05-06,56
2012-05-13,61
2012-05-20,58
2012-05-27,54
2012-06-03,54
2012-06-10,46
2012-06-17,44
2012-06-24,48
2012-07-01,92
2012-07-08,67
2012-07-15,53
2012-07-22,49
2012-07-29,46
2012-08-05,44
2012-08-12,45
2012-08-19,45
2012-08-26,46
2012-09-02,47
2012-09-09,51
2012-09-16,49
2012-09-23,50
2012-09-30,51
2012-10-07,45
2012-10-14,45
2012-10-21,44
2012-10-28,43
2012-11-04,46
2012-11-11,49
2012-11-18,46
2012-11-25,52
2012-12-02,48
2012-12-09,44
2012-12-16,40
2012-12-23,44
2012-12-30,45
2013-01-06,49
2013-01-13,59
2013-01-20,99
2013-01-27,71
2013-02-03,58
2013-02-10,57
2013-02-17,58
2013-02-24,80
2013-03-03,70
2013-03-10,61
2013-03-17,57
2013-03-24,57
2013-03-31,58
2013-04-07,57
2013-04-14,52
2013-04-21,49
2013-04-28,51
2013-05-05,58
2013-05-12,50
2013-05-19,54
2013-05-26,52
2013-06-02,45
2013-06-09,50
2013-06-16,42
2013-06-23,44
2013-06-30,87
2013-07-07,56
2013-07-14,44
2013-07-21,41
2013-07-28,39
2013-08-04,36
2013-08-11,40
2013-08-18,41
2013-08-25,43
2013-09-01,47
2013-09-08,47
2013-09-15,44
2013-09-22,46
2013-09-29,45
2013-10-06,44
2013-10-13,43
2013-10-20,44
2013-10-27,43
2013-11-03,48
2013-11-10,43
2013-11-17,45
2013-11-24,46
2013-12-01,48
2013-12-08,47
2013-12-15,48
2013-12-22,41
2013-12-29,46
2014-01-05,50
2014-01-12,54
2014-01-19,100
2014-01-26,73
2014-02-02,60
2014-02-09,56
2014-02-16,58
2014-02-23,58
2014-03-02,56
2014-03-09,51
2014-03-16,49
2014-03-23,50
2014-03-30,52
2014-04-06,50
2014-04-13,45
2014-04-20,49
2014-04-27,47
2014-05-04,51
2014-05-11,46
2014-05-18,47
2014-05-25,50
2014-06-01,42
2014-06-08,41
2014-06-15,38
2014-06-22,40
2014-06-29,42
2014-07-06,87
2014-07-13,59
2014-07-20,47
2014-07-27,42
2014-08-03,41
2014-08-10,40
2014-08-17,41
2014-08-24,41
2014-08-31,47
2014-09-07,43
2014-09-14,51
2014-09-21,45
2014-09-28,48
2014-10-05,46
2014-10-12,47
2014-10-19,47
2014-10-26,41
2014-11-02,42
2014-11-09,44
2014-11-16,45
2014-11-23,42
2014-11-30,44
2014-12-07,48
2014-12-14,42
2014-12-21,37
2014-12-28,48
2015-01-04,42
2015-01-11,47
2015-01-18,52
2015-01-25,100
2015-02-01,63
2015-02-08,56
2015-02-15,49
2015-02-22,53
2015-03-01,51
2015-03-08,51
2015-03-15,52
2015-03-22,48
2015-03-29,44
2015-04-05,43
2015-04-12,54
2015-04-19,40
2015-04-26,41
2015-05-03,50
2015-05-10,47
2015-05-17,43
2015-05-24,41
2015-05-31,37
2015-06-07,41
2015-06-14,43
2015-06-21,39
2015-06-28,37
2015-07-05,75
2015-07-12,48
2015-07-19,45
2015-07-26,41
2015-08-02,40
2015-08-09,36
2015-08-16,40
2015-08-23,36
2015-08-30,38
2015-09-06,40
2015-09-13,42
2015-09-20,40
2015-09-27,41
2015-10-04,40
2015-10-11,39
2015-10-18,40
2015-10-25,42
2015-11-01,42
2015-11-08,38
2015-11-15,41
2015-11-22,42
2015-11-29,42
2015-12-06,38
2015-12-13,38
2015-12-20,36
2015-12-27,39
