Category: All categories

Week,Headband: (Worldwide)
2012-01-01,37
2012-01-08,39
2012-01-15,42
2012-01-22,44
2012-01-29,42
2012-02-05,42
2012-02-12,42
2012-02-19,38
2012-02-26,44
2012-03-04,40
2012-03-11,38
2012-03-18,40
2012-03-25,40
2012-04-01,42
2012-04-08,43
2012-04-15,43
2012-04-22,46
2012-04-29,49
2012-05-06,41
2012-05-13,42
2012-05-20,42
2012-05-27,43
2012-06-03,46
2012-06-10,44
2012-06-17,47
2012-06-24,47
2012-07-01,44
2012-07-08,46
2012-07-15,44
2012-07-22,46
2012-07-29,50
2012-08-05,51
2012-08-12,48
2012-08-19,47
2012-08-26,47
2012-09-02,48
2012-09-09,45
2012-09-16,48
2012-09-23,52
2012-09-30,52
2012-10-07,54
2012-10-14,59
2012-10-21,66
2012-10-28,58
2012-11-04,51
2012-11-11,57
2012-11-18,57
2012-11-25,57
2012-12-02,60
2012-12-09,63
2012-12-16,59
2012-12-23,54
2012-12-30,55
2013-01-06,49
2013-01-13,50
2013-01-20,52
2013-01-27,51
2013-02-03,45
2013-02-10,47
2013-02-17,45
2013-02-24,46
2013-03-03,47
2013-03-10,46
2013-03-17,47
2013-03-24,50
2013-03-31,47
2013-04-07,47
2013-04-14,51
2013-04-21,49
2013-04-28,60
2013-05-05,52
2013-05-12,52
2013-05-19,60
2013-05-26,58
2013-06-02,55
2013-06-09,58
2013-06-16,99
2013-06-23,60
2013-06-30,68
2013-07-07,67
2013-07-14,65
2013-07-21,67
2013-07-28,69
2013-08-04,71
2013-08-11,71
2013-08-18,68
2013-08-25,69
2013-09-01,68
2013-09-08,65
2013-09-15,66
2013-09-22,66
2013-09-29,66
2013-10-06,71
2013-10-13,77
2013-10-20,84
2013-10-27,84
2013-11-03,68
2013-11-10,71
2013-11-17,74
2013-11-24,79
2013-12-01,80
2013-12-08,86
2013-12-15,85
2013-12-22,78
2013-12-29,77
2014-01-05,69
2014-01-12,68
2014-01-19,70
2014-01-26,70
2014-02-02,65
2014-02-09,64
2014-02-16,64
2014-02-23,63
2014-03-02,65
2014-03-09,69
2014-03-16,65
2014-03-23,64
2014-03-30,64
2014-04-06,64
2014-04-13,67
2014-04-20,64
2014-04-27,65
2014-05-04,62
2014-05-11,62
2014-05-18,61
2014-05-25,62
2014-06-01,60
2014-06-08,60
2014-06-15,60
2014-06-22,60
2014-06-29,65
2014-07-06,66
2014-07-13,65
2014-07-20,66
2014-07-27,64
2014-08-03,63
2014-08-10,59
2014-08-17,58
2014-08-24,59
2014-08-31,57
2014-09-07,58
2014-09-14,58
2014-09-21,61
2014-09-28,64
2014-10-05,68
2014-10-12,76
2014-10-19,80
2014-10-26,99
2014-11-02,63
2014-11-09,75
2014-11-16,82
2014-11-23,73
2014-11-30,75
2014-12-07,80
2014-12-14,74
2014-12-21,73
2014-12-28,70
2015-01-04,61
2015-01-11,62
2015-01-18,62
2015-01-25,61
2015-02-01,61
2015-02-08,59
2015-02-15,59
2015-02-22,58
2015-03-01,59
2015-03-08,70
2015-03-15,67
2015-03-22,61
2015-03-29,60
2015-04-05,58
2015-04-12,59
2015-04-19,63
2015-04-26,59
2015-05-03,62
2015-05-10,61
2015-05-17,54
2015-05-24,56
2015-05-31,57
2015-06-07,59
2015-06-14,58
2015-06-21,57
2015-06-28,62
2015-07-05,59
2015-07-12,56
2015-07-19,56
2015-07-26,57
2015-08-02,56
2015-08-09,55
2015-08-16,54
2015-08-23,54
2015-08-30,55
2015-09-06,56
2015-09-13,57
2015-09-20,60
2015-09-27,61
2015-10-04,65
2015-10-11,67
2015-10-18,78
2015-10-25,100
2015-11-01,56
2015-11-08,59
2015-11-15,60
2015-11-22,64
2015-11-29,67
2015-12-06,67
2015-12-13,67
2015-12-20,63
2015-12-27,65
