Category: All categories

Week,Headpiece: (Worldwide)
2012-01-01,27
2012-01-08,26
2012-01-15,27
2012-01-22,32
2012-01-29,26
2012-02-05,32
2012-02-12,26
2012-02-19,28
2012-02-26,31
2012-03-04,32
2012-03-11,27
2012-03-18,31
2012-03-25,27
2012-04-01,26
2012-04-08,32
2012-04-15,31
2012-04-22,35
2012-04-29,33
2012-05-06,31
2012-05-13,27
2012-05-20,35
2012-05-27,35
2012-06-03,37
2012-06-10,31
2012-06-17,34
2012-06-24,31
2012-07-01,33
2012-07-08,35
2012-07-15,36
2012-07-22,35
2012-07-29,38
2012-08-05,32
2012-08-12,36
2012-08-19,32
2012-08-26,33
2012-09-02,31
2012-09-09,37
2012-09-16,44
2012-09-23,40
2012-09-30,50
2012-10-07,61
2012-10-14,60
2012-10-21,76
2012-10-28,41
2012-11-04,27
2012-11-11,31
2012-11-18,33
2012-11-25,30
2012-12-02,33
2012-12-09,26
2012-12-16,22
2012-12-23,24
2012-12-30,27
2013-01-06,30
2013-01-13,30
2013-01-20,33
2013-01-27,36
2013-02-03,36
2013-02-10,30
2013-02-17,31
2013-02-24,35
2013-03-03,35
2013-03-10,36
2013-03-17,35
2013-03-24,40
2013-03-31,39
2013-04-07,36
2013-04-14,36
2013-04-21,38
2013-04-28,42
2013-05-05,39
2013-05-12,40
2013-05-19,37
2013-05-26,36
2013-06-02,37
2013-06-09,37
2013-06-16,35
2013-06-23,30
2013-06-30,40
2013-07-07,39
2013-07-14,34
2013-07-21,41
2013-07-28,41
2013-08-04,44
2013-08-11,44
2013-08-18,42
2013-08-25,38
2013-09-01,38
2013-09-08,46
2013-09-15,41
2013-09-22,50
2013-09-29,51
2013-10-06,67
2013-10-13,66
2013-10-20,82
2013-10-27,66
2013-11-03,46
2013-11-10,44
2013-11-17,44
2013-11-24,39
2013-12-01,42
2013-12-08,35
2013-12-15,38
2013-12-22,32
2013-12-29,38
2014-01-05,36
2014-01-12,46
2014-01-19,39
2014-01-26,40
2014-02-02,47
2014-02-09,44
2014-02-16,47
2014-02-23,43
2014-03-02,47
2014-03-09,50
2014-03-16,49
2014-03-23,45
2014-03-30,47
2014-04-06,49
2014-04-13,48
2014-04-20,49
2014-04-27,55
2014-05-04,52
2014-05-11,51
2014-05-18,46
2014-05-25,50
2014-06-01,52
2014-06-08,44
2014-06-15,38
2014-06-22,47
2014-06-29,34
2014-07-06,41
2014-07-13,47
2014-07-20,47
2014-07-27,45
2014-08-03,43
2014-08-10,44
2014-08-17,42
2014-08-24,45
2014-08-31,47
2014-09-07,48
2014-09-14,54
2014-09-21,54
2014-09-28,60
2014-10-05,64
2014-10-12,75
2014-10-19,90
2014-10-26,98
2014-11-02,47
2014-11-09,43
2014-11-16,44
2014-11-23,36
2014-11-30,39
2014-12-07,36
2014-12-14,33
2014-12-21,31
2014-12-28,41
2015-01-04,34
2015-01-11,44
2015-01-18,43
2015-01-25,41
2015-02-01,40
2015-02-08,41
2015-02-15,44
2015-02-22,44
2015-03-01,45
2015-03-08,44
2015-03-15,40
2015-03-22,37
2015-03-29,42
2015-04-05,48
2015-04-12,50
2015-04-19,48
2015-04-26,44
2015-05-03,47
2015-05-10,44
2015-05-17,48
2015-05-24,46
2015-05-31,43
2015-06-07,43
2015-06-14,40
2015-06-21,38
2015-06-28,35
2015-07-05,41
2015-07-12,42
2015-07-19,39
2015-07-26,43
2015-08-02,41
2015-08-09,44
2015-08-16,42
2015-08-23,42
2015-08-30,41
2015-09-06,45
2015-09-13,48
2015-09-20,51
2015-09-27,46
2015-10-04,66
2015-10-11,66
2015-10-18,78
2015-10-25,100
2015-11-01,45
2015-11-08,42
2015-11-15,40
2015-11-22,36
2015-11-29,42
2015-12-06,43
2015-12-13,38
2015-12-20,31
2015-12-27,33
