Category: All categories

Week,Tote: (Worldwide)
2012-01-01,68
2012-01-08,69
2012-01-15,67
2012-01-22,69
2012-01-29,68
2012-02-05,69
2012-02-12,67
2012-02-19,68
2012-02-26,69
2012-03-04,68
2012-03-11,71
2012-03-18,67
2012-03-25,67
2012-04-01,66
2012-04-08,72
2012-04-15,72
2012-04-22,74
2012-04-29,79
2012-05-06,76
2012-05-13,74
2012-05-20,72
2012-05-27,70
2012-06-03,81
2012-06-10,75
2012-06-17,76
2012-06-24,74
2012-07-01,76
2012-07-08,75
2012-07-15,78
2012-07-22,78
2012-07-29,76
2012-08-05,79
2012-08-12,77
2012-08-19,82
2012-08-26,77
2012-09-02,76
2012-09-09,73
2012-09-16,72
2012-09-23,74
2012-09-30,70
2012-10-07,68
2012-10-14,70
2012-10-21,77
2012-10-28,71
2012-11-04,73
2012-11-11,80
2012-11-18,87
2012-11-25,90
2012-12-02,90
2012-12-09,91
2012-12-16,85
2012-12-23,87
2012-12-30,82
2013-01-06,76
2013-01-13,74
2013-01-20,72
2013-01-27,72
2013-02-03,72
2013-02-10,72
2013-02-17,73
2013-02-24,72
2013-03-03,74
2013-03-10,77
2013-03-17,76
2013-03-24,73
2013-03-31,75
2013-04-07,79
2013-04-14,76
2013-04-21,79
2013-04-28,78
2013-05-05,79
2013-05-12,73
2013-05-19,76
2013-05-26,77
2013-06-02,79
2013-06-09,81
2013-06-16,79
2013-06-23,81
2013-06-30,77
2013-07-07,80
2013-07-14,81
2013-07-21,79
2013-07-28,82
2013-08-04,86
2013-08-11,86
2013-08-18,87
2013-08-25,83
2013-09-01,82
2013-09-08,76
2013-09-15,75
2013-09-22,72
2013-09-29,70
2013-10-06,74
2013-10-13,71
2013-10-20,69
2013-10-27,70
2013-11-03,72
2013-11-10,76
2013-11-17,79
2013-11-24,87
2013-12-01,95
2013-12-08,95
2013-12-15,87
2013-12-22,88
2013-12-29,86
2014-01-05,80
2014-01-12,80
2014-01-19,76
2014-01-26,75
2014-02-02,77
2014-02-09,78
2014-02-16,78
2014-02-23,80
2014-03-02,80
2014-03-09,79
2014-03-16,82
2014-03-23,80
2014-03-30,79
2014-04-06,80
2014-04-13,80
2014-04-20,79
2014-04-27,82
2014-05-04,88
2014-05-11,80
2014-05-18,77
2014-05-25,77
2014-06-01,82
2014-06-08,82
2014-06-15,78
2014-06-22,81
2014-06-29,77
2014-07-06,82
2014-07-13,81
2014-07-20,86
2014-07-27,85
2014-08-03,88
2014-08-10,87
2014-08-17,85
2014-08-24,84
2014-08-31,82
2014-09-07,77
2014-09-14,76
2014-09-21,76
2014-09-28,78
2014-10-05,75
2014-10-12,74
2014-10-19,72
2014-10-26,72
2014-11-02,78
2014-11-09,78
2014-11-16,85
2014-11-23,93
2014-11-30,99
2014-12-07,98
2014-12-14,94
2014-12-21,90
2014-12-28,92
2015-01-04,85
2015-01-11,84
2015-01-18,82
2015-01-25,79
2015-02-01,77
2015-02-08,79
2015-02-15,80
2015-02-22,79
2015-03-01,80
2015-03-08,80
2015-03-15,78
2015-03-22,85
2015-03-29,78
2015-04-05,77
2015-04-12,75
2015-04-19,81
2015-04-26,84
2015-05-03,81
2015-05-10,81
2015-05-17,83
2015-05-24,79
2015-05-31,80
2015-06-07,81
2015-06-14,82
2015-06-21,81
2015-06-28,81
2015-07-05,82
2015-07-12,82
2015-07-19,84
2015-07-26,86
2015-08-02,86
2015-08-09,90
2015-08-16,91
2015-08-23,96
2015-08-30,87
2015-09-06,80
2015-09-13,77
2015-09-20,81
2015-09-27,81
2015-10-04,80
2015-10-11,74
2015-10-18,74
2015-10-25,75
2015-11-01,80
2015-11-08,91
2015-11-15,88
2015-11-22,95
2015-11-29,100
2015-12-06,98
2015-12-13,96
2015-12-20,93
2015-12-27,96
