Category: All categories

Week,Boat neck: (Worldwide)
2012-01-01,27
2012-01-08,26
2012-01-15,29
2012-01-22,31
2012-01-29,38
2012-02-05,37
2012-02-12,31
2012-02-19,28
2012-02-26,24
2012-03-04,28
2012-03-11,28
2012-03-18,32
2012-03-25,24
2012-04-01,34
2012-04-08,43
2012-04-15,33
2012-04-22,42
2012-04-29,39
2012-05-06,34
2012-05-13,47
2012-05-20,36
2012-05-27,35
2012-06-03,35
2012-06-10,42
2012-06-17,34
2012-06-24,37
2012-07-01,39
2012-07-08,38
2012-07-15,33
2012-07-22,37
2012-07-29,37
2012-08-05,37
2012-08-12,35
2012-08-19,43
2012-08-26,44
2012-09-02,41
2012-09-09,34
2012-09-16,28
2012-09-23,44
2012-09-30,44
2012-10-07,30
2012-10-14,40
2012-10-21,29
2012-10-28,33
2012-11-04,33
2012-11-11,33
2012-11-18,38
2012-11-25,35
2012-12-02,41
2012-12-09,39
2012-12-16,25
2012-12-23,31
2012-12-30,34
2013-01-06,49
2013-01-13,33
2013-01-20,41
2013-01-27,34
2013-02-03,30
2013-02-10,32
2013-02-17,38
2013-02-24,39
2013-03-03,31
2013-03-10,35
2013-03-17,42
2013-03-24,42
2013-03-31,37
2013-04-07,45
2013-04-14,47
2013-04-21,39
2013-04-28,41
2013-05-05,43
2013-05-12,45
2013-05-19,36
2013-05-26,35
2013-06-02,38
2013-06-09,41
2013-06-16,38
2013-06-23,42
2013-06-30,38
2013-07-07,30
2013-07-14,43
2013-07-21,43
2013-07-28,40
2013-08-04,38
2013-08-11,46
2013-08-18,44
2013-08-25,43
2013-09-01,38
2013-09-08,42
2013-09-15,34
2013-09-22,38
2013-09-29,40
2013-10-06,47
2013-10-13,39
2013-10-20,39
2013-10-27,28
2013-11-03,40
2013-11-10,47
2013-11-17,48
2013-11-24,36
2013-12-01,41
2013-12-08,45
2013-12-15,31
2013-12-22,43
2013-12-29,43
2014-01-05,42
2014-01-12,46
2014-01-19,42
2014-01-26,47
2014-02-02,40
2014-02-09,44
2014-02-16,44
2014-02-23,39
2014-03-02,44
2014-03-09,48
2014-03-16,44
2014-03-23,45
2014-03-30,53
2014-04-06,48
2014-04-13,47
2014-04-20,54
2014-04-27,43
2014-05-04,45
2014-05-11,44
2014-05-18,51
2014-05-25,40
2014-06-01,52
2014-06-08,49
2014-06-15,40
2014-06-22,53
2014-06-29,52
2014-07-06,56
2014-07-13,55
2014-07-20,48
2014-07-27,52
2014-08-03,59
2014-08-10,47
2014-08-17,52
2014-08-24,47
2014-08-31,52
2014-09-07,47
2014-09-14,52
2014-09-21,50
2014-09-28,50
2014-10-05,48
2014-10-12,51
2014-10-19,41
2014-10-26,49
2014-11-02,54
2014-11-09,55
2014-11-16,55
2014-11-23,57
2014-11-30,49
2014-12-07,50
2014-12-14,45
2014-12-21,53
2014-12-28,51
2015-01-04,59
2015-01-11,65
2015-01-18,63
2015-01-25,58
2015-02-01,65
2015-02-08,59
2015-02-15,60
2015-02-22,71
2015-03-01,64
2015-03-08,58
2015-03-15,70
2015-03-22,73
2015-03-29,67
2015-04-05,62
2015-04-12,73
2015-04-19,80
2015-04-26,67
2015-05-03,72
2015-05-10,67
2015-05-17,77
2015-05-24,65
2015-05-31,62
2015-06-07,64
2015-06-14,73
2015-06-21,63
2015-06-28,60
2015-07-05,73
2015-07-12,72
2015-07-19,71
2015-07-26,76
2015-08-02,82
2015-08-09,89
2015-08-16,79
2015-08-23,82
2015-08-30,76
2015-09-06,89
2015-09-13,80
2015-09-20,78
2015-09-27,92
2015-10-04,100
2015-10-11,100
2015-10-18,81
2015-10-25,93
2015-11-01,89
2015-11-08,79
2015-11-15,94
2015-11-22,84
2015-11-29,84
2015-12-06,84
2015-12-13,90
2015-12-20,78
2015-12-27,80
