Category: All categories

Week,Kilt: (Worldwide)
2012-01-01,48
2012-01-08,49
2012-01-15,51
2012-01-22,55
2012-01-29,50
2012-02-05,49
2012-02-12,51
2012-02-19,51
2012-02-26,50
2012-03-04,54
2012-03-11,73
2012-03-18,58
2012-03-25,50
2012-04-01,54
2012-04-08,52
2012-04-15,52
2012-04-22,58
2012-04-29,52
2012-05-06,50
2012-05-13,49
2012-05-20,49
2012-05-27,45
2012-06-03,51
2012-06-10,49
2012-06-17,50
2012-06-24,74
2012-07-01,48
2012-07-08,49
2012-07-15,49
2012-07-22,48
2012-07-29,49
2012-08-05,48
2012-08-12,50
2012-08-19,50
2012-08-26,50
2012-09-02,72
2012-09-09,56
2012-09-16,51
2012-09-23,50
2012-09-30,50
2012-10-07,50
2012-10-14,48
2012-10-21,50
2012-10-28,46
2012-11-04,100
2012-11-11,71
2012-11-18,51
2012-11-25,50
2012-12-02,50
2012-12-09,60
2012-12-16,48
2012-12-23,47
2012-12-30,52
2013-01-06,50
2013-01-13,50
2013-01-20,53
2013-01-27,50
2013-02-03,50
2013-02-10,49
2013-02-17,47
2013-02-24,50
2013-03-03,52
2013-03-10,82
2013-03-17,66
2013-03-24,55
2013-03-31,50
2013-04-07,51
2013-04-14,47
2013-04-21,50
2013-04-28,49
2013-05-05,49
2013-05-12,47
2013-05-19,44
2013-05-26,43
2013-06-02,48
2013-06-09,49
2013-06-16,48
2013-06-23,46
2013-06-30,46
2013-07-07,45
2013-07-14,44
2013-07-21,44
2013-07-28,46
2013-08-04,47
2013-08-11,47
2013-08-18,46
2013-08-25,46
2013-09-01,60
2013-09-08,50
2013-09-15,50
2013-09-22,47
2013-09-29,45
2013-10-06,45
2013-10-13,45
2013-10-20,48
2013-10-27,46
2013-11-03,44
2013-11-10,43
2013-11-17,46
2013-11-24,48
2013-12-01,41
2013-12-08,41
2013-12-15,40
2013-12-22,39
2013-12-29,50
2014-01-05,45
2014-01-12,47
2014-01-19,49
2014-01-26,52
2014-02-02,44
2014-02-09,41
2014-02-16,51
2014-02-23,46
2014-03-02,47
2014-03-09,53
2014-03-16,59
2014-03-23,51
2014-03-30,49
2014-04-06,48
2014-04-13,45
2014-04-20,47
2014-04-27,48
2014-05-04,44
2014-05-11,46
2014-05-18,44
2014-05-25,41
2014-06-01,45
2014-06-08,47
2014-06-15,43
2014-06-22,45
2014-06-29,43
2014-07-06,44
2014-07-13,44
2014-07-20,46
2014-07-27,51
2014-08-03,51
2014-08-10,45
2014-08-17,45
2014-08-24,47
2014-08-31,44
2014-09-07,47
2014-09-14,59
2014-09-21,50
2014-09-28,48
2014-10-05,45
2014-10-12,44
2014-10-19,43
2014-10-26,45
2014-11-02,41
2014-11-09,45
2014-11-16,44
2014-11-23,40
2014-11-30,49
2014-12-07,46
2014-12-14,43
2014-12-21,42
2014-12-28,51
2015-01-04,46
2015-01-11,54
2015-01-18,48
2015-01-25,48
2015-02-01,45
2015-02-08,45
2015-02-15,45
2015-02-22,49
2015-03-01,48
2015-03-08,51
2015-03-15,60
2015-03-22,45
2015-03-29,45
2015-04-05,51
2015-04-12,45
2015-04-19,44
2015-04-26,56
2015-05-03,48
2015-05-10,44
2015-05-17,45
2015-05-24,45
2015-05-31,45
2015-06-07,45
2015-06-14,42
2015-06-21,45
2015-06-28,44
2015-07-05,42
2015-07-12,44
2015-07-19,42
2015-07-26,44
2015-08-02,46
2015-08-09,47
2015-08-16,43
2015-08-23,42
2015-08-30,41
2015-09-06,44
2015-09-13,43
2015-09-20,43
2015-09-27,43
2015-10-04,44
2015-10-11,41
2015-10-18,42
2015-10-25,43
2015-11-01,39
2015-11-08,42
2015-11-15,41
2015-11-22,37
2015-11-29,39
2015-12-06,41
2015-12-13,41
2015-12-20,39
2015-12-27,43
