Category: All categories

Week,Boater: (Worldwide)
2012-01-01,20
2012-01-08,29
2012-01-15,22
2012-01-22,20
2012-01-29,22
2012-02-05,19
2012-02-12,25
2012-02-19,25
2012-02-26,22
2012-03-04,30
2012-03-11,30
2012-03-18,29
2012-03-25,36
2012-04-01,35
2012-04-08,36
2012-04-15,43
2012-04-22,43
2012-04-29,38
2012-05-06,48
2012-05-13,56
2012-05-20,64
2012-05-27,61
2012-06-03,54
2012-06-10,64
2012-06-17,64
2012-06-24,67
2012-07-01,83
2012-07-08,74
2012-07-15,66
2012-07-22,68
2012-07-29,63
2012-08-05,55
2012-08-12,50
2012-08-19,40
2012-08-26,41
2012-09-02,43
2012-09-09,30
2012-09-16,26
2012-09-23,22
2012-09-30,20
2012-10-07,22
2012-10-14,21
2012-10-21,24
2012-10-28,21
2012-11-04,19
2012-11-11,20
2012-11-18,14
2012-11-25,19
2012-12-02,16
2012-12-09,21
2012-12-16,16
2012-12-23,19
2012-12-30,24
2013-01-06,19
2013-01-13,21
2013-01-20,20
2013-01-27,27
2013-02-03,22
2013-02-10,31
2013-02-17,27
2013-02-24,28
2013-03-03,26
2013-03-10,25
2013-03-17,23
2013-03-24,29
2013-03-31,36
2013-04-07,33
2013-04-14,36
2013-04-21,44
2013-04-28,46
2013-05-05,47
2013-05-12,52
2013-05-19,53
2013-05-26,59
2013-06-02,59
2013-06-09,64
2013-06-16,69
2013-06-23,67
2013-06-30,83
2013-07-07,70
2013-07-14,65
2013-07-21,61
2013-07-28,55
2013-08-04,56
2013-08-11,45
2013-08-18,41
2013-08-25,37
2013-09-01,33
2013-09-08,35
2013-09-15,31
2013-09-22,26
2013-09-29,21
2013-10-06,22
2013-10-13,23
2013-10-20,25
2013-10-27,27
2013-11-03,16
2013-11-10,17
2013-11-17,19
2013-11-24,13
2013-12-01,21
2013-12-08,18
2013-12-15,15
2013-12-22,18
2013-12-29,15
2014-01-05,20
2014-01-12,20
2014-01-19,18
2014-01-26,17
2014-02-02,20
2014-02-09,17
2014-02-16,22
2014-02-23,27
2014-03-02,26
2014-03-09,28
2014-03-16,27
2014-03-23,29
2014-03-30,34
2014-04-06,30
2014-04-13,38
2014-04-20,41
2014-04-27,44
2014-05-04,47
2014-05-11,49
2014-05-18,58
2014-05-25,62
2014-06-01,65
2014-06-08,61
2014-06-15,64
2014-06-22,71
2014-06-29,83
2014-07-06,74
2014-07-13,62
2014-07-20,69
2014-07-27,64
2014-08-03,53
2014-08-10,51
2014-08-17,36
2014-08-24,39
2014-08-31,39
2014-09-07,29
2014-09-14,26
2014-09-21,24
2014-09-28,22
2014-10-05,28
2014-10-12,19
2014-10-19,21
2014-10-26,21
2014-11-02,19
2014-11-09,20
2014-11-16,21
2014-11-23,16
2014-11-30,19
2014-12-07,20
2014-12-14,20
2014-12-21,14
2014-12-28,22
2015-01-04,18
2015-01-11,22
2015-01-18,21
2015-01-25,19
2015-02-01,23
2015-02-08,25
2015-02-15,23
2015-02-22,25
2015-03-01,25
2015-03-08,24
2015-03-15,31
2015-03-22,34
2015-03-29,31
2015-04-05,30
2015-04-12,37
2015-04-19,43
2015-04-26,45
2015-05-03,45
2015-05-10,44
2015-05-17,55
2015-05-24,68
2015-05-31,57
2015-06-07,59
2015-06-14,59
2015-06-21,70
2015-06-28,76
2015-07-05,72
2015-07-12,67
2015-07-19,64
2015-07-26,100
2015-08-02,65
2015-08-09,55
2015-08-16,41
2015-08-23,35
2015-08-30,32
2015-09-06,36
2015-09-13,22
2015-09-20,26
2015-09-27,21
2015-10-04,25
2015-10-11,26
2015-10-18,24
2015-10-25,24
2015-11-01,23
2015-11-08,18
2015-11-15,14
2015-11-22,19
2015-11-29,25
2015-12-06,19
2015-12-13,22
2015-12-20,27
2015-12-27,22
