Category: All categories

Week,Buckskins: (Worldwide)
2012-01-01,45
2012-01-08,51
2012-01-15,42
2012-01-22,68
2012-01-29,33
2012-02-05,17
2012-02-12,33
2012-02-19,33
2012-02-26,42
2012-03-04,33
2012-03-11,25
2012-03-18,41
2012-03-25,33
2012-04-01,35
2012-04-08,43
2012-04-15,41
2012-04-22,33
2012-04-29,17
2012-05-06,33
2012-05-13,33
2012-05-20,25
2012-05-27,99
2012-06-03,24
2012-06-10,49
2012-06-17,32
2012-06-24,41
2012-07-01,58
2012-07-08,33
2012-07-15,50
2012-07-22,25
2012-07-29,17
2012-08-05,42
2012-08-12,17
2012-08-19,100
2012-08-26,40
2012-09-02,16
2012-09-09,31
2012-09-16,16
2012-09-23,47
2012-09-30,23
2012-10-07,68
2012-10-14,44
2012-10-21,38
2012-10-28,15
2012-11-04,29
2012-11-11,22
2012-11-18,30
2012-11-25,43
2012-12-02,29
2012-12-09,58
2012-12-16,44
2012-12-23,16
2012-12-30,46
2013-01-06,21
2013-01-13,34
2013-01-20,14
2013-01-27,20
2013-02-03,20
2013-02-10,35
2013-02-17,27
2013-02-24,13
2013-03-03,40
2013-03-10,13
2013-03-17,72
2013-03-24,27
2013-03-31,54
2013-04-07,65
2013-04-14,33
2013-04-21,33
2013-04-28,27
2013-05-05,34
2013-05-12,39
2013-05-19,39
2013-05-26,39
2013-06-02,13
2013-06-09,52
2013-06-16,53
2013-06-23,20
2013-06-30,34
2013-07-07,34
2013-07-14,82
2013-07-21,34
2013-07-28,27
2013-08-04,34
2013-08-11,47
2013-08-18,47
2013-08-25,39
2013-09-01,26
2013-09-08,25
2013-09-15,19
2013-09-22,19
2013-09-29,25
2013-10-06,31
2013-10-13,44
2013-10-20,25
2013-10-27,31
2013-11-03,37
2013-11-10,36
2013-11-17,24
2013-11-24,12
2013-12-01,42
2013-12-08,30
2013-12-15,31
2013-12-22,14
2013-12-29,46
2014-01-05,30
2014-01-12,17
2014-01-19,41
2014-01-26,40
2014-02-02,30
2014-02-09,34
2014-02-16,34
2014-02-23,51
2014-03-02,52
2014-03-09,12
2014-03-16,11
2014-03-23,23
2014-03-30,34
2014-04-06,17
2014-04-13,48
2014-04-20,12
2014-04-27,29
2014-05-04,17
2014-05-11,17
2014-05-18,12
2014-05-25,32
2014-06-01,26
2014-06-08,32
2014-06-15,19
2014-06-22,13
2014-06-29,33
2014-07-06,26
2014-07-13,20
2014-07-20,26
2014-07-27,33
2014-08-03,28
2014-08-10,26
2014-08-17,38
2014-08-24,13
2014-08-31,43
2014-09-07,36
2014-09-14,24
2014-09-21,36
2014-09-28,25
2014-10-05,12
2014-10-12,42
2014-10-19,30
2014-10-26,30
2014-11-02,35
2014-11-09,35
2014-11-16,47
2014-11-23,35
2014-11-30,17
2014-12-07,18
2014-12-14,12
2014-12-21,13
2014-12-28,26
2015-01-04,68
2015-01-11,28
2015-01-18,16
2015-01-25,16
2015-02-01,33
2015-02-08,22
2015-02-15,45
2015-02-22,54
2015-03-01,32
2015-03-08,27
2015-03-15,27
2015-03-22,24
2015-03-29,34
2015-04-05,39
2015-04-12,22
2015-04-19,32
2015-04-26,45
2015-05-03,38
2015-05-10,17
2015-05-17,11
2015-05-24,33
2015-05-31,27
2015-06-07,22
2015-06-14,38
2015-06-21,38
2015-06-28,33
2015-07-05,22
2015-07-12,22
2015-07-19,22
2015-07-26,44
2015-08-02,44
2015-08-09,27
2015-08-16,32
2015-08-23,16
2015-08-30,26
2015-09-06,48
2015-09-13,36
2015-09-20,21
2015-09-27,46
2015-10-04,25
2015-10-11,10
2015-10-18,51
2015-10-25,36
2015-11-01,35
2015-11-08,31
2015-11-15,10
2015-11-22,41
2015-11-29,20
2015-12-06,10
2015-12-13,16
2015-12-20,40
2015-12-27,45
