Category: All categories

Week,Busby: (Worldwide)
2012-01-01,45
2012-01-08,51
2012-01-15,50
2012-01-22,52
2012-01-29,46
2012-02-05,100
2012-02-12,51
2012-02-19,51
2012-02-26,45
2012-03-04,49
2012-03-11,45
2012-03-18,46
2012-03-25,47
2012-04-01,43
2012-04-08,46
2012-04-15,43
2012-04-22,43
2012-04-29,46
2012-05-06,47
2012-05-13,52
2012-05-20,44
2012-05-27,44
2012-06-03,45
2012-06-10,47
2012-06-17,53
2012-06-24,47
2012-07-01,43
2012-07-08,44
2012-07-15,42
2012-07-22,40
2012-07-29,43
2012-08-05,37
2012-08-12,50
2012-08-19,51
2012-08-26,44
2012-09-02,66
2012-09-09,51
2012-09-16,54
2012-09-23,64
2012-09-30,41
2012-10-07,40
2012-10-14,40
2012-10-21,40
2012-10-28,41
2012-11-04,43
2012-11-11,42
2012-11-18,45
2012-11-25,40
2012-12-02,39
2012-12-09,42
2012-12-16,43
2012-12-23,33
2012-12-30,37
2013-01-06,38
2013-01-13,39
2013-01-20,49
2013-01-27,42
2013-02-03,95
2013-02-10,45
2013-02-17,45
2013-02-24,42
2013-03-03,53
2013-03-10,47
2013-03-17,42
2013-03-24,42
2013-03-31,40
2013-04-07,39
2013-04-14,40
2013-04-21,45
2013-04-28,60
2013-05-05,87
2013-05-12,62
2013-05-19,53
2013-05-26,46
2013-06-02,46
2013-06-09,45
2013-06-16,47
2013-06-23,41
2013-06-30,43
2013-07-07,51
2013-07-14,46
2013-07-21,42
2013-07-28,42
2013-08-04,49
2013-08-11,46
2013-08-18,50
2013-08-25,49
2013-09-01,45
2013-09-08,44
2013-09-15,44
2013-09-22,61
2013-09-29,53
2013-10-06,50
2013-10-13,46
2013-10-20,44
2013-10-27,44
2013-11-03,43
2013-11-10,44
2013-11-17,43
2013-11-24,52
2013-12-01,40
2013-12-08,42
2013-12-15,40
2013-12-22,32
2013-12-29,60
2014-01-05,54
2014-01-12,45
2014-01-19,55
2014-01-26,42
2014-02-02,70
2014-02-09,44
2014-02-16,41
2014-02-23,44
2014-03-02,42
2014-03-09,41
2014-03-16,53
2014-03-23,48
2014-03-30,42
2014-04-06,52
2014-04-13,43
2014-04-20,55
2014-04-27,44
2014-05-04,42
2014-05-11,38
2014-05-18,47
2014-05-25,46
2014-06-01,41
2014-06-08,44
2014-06-15,39
2014-06-22,41
2014-06-29,40
2014-07-06,44
2014-07-13,44
2014-07-20,64
2014-07-27,70
2014-08-03,54
2014-08-10,49
2014-08-17,55
2014-08-24,53
2014-08-31,48
2014-09-07,43
2014-09-14,65
2014-09-21,47
2014-09-28,49
2014-10-05,47
2014-10-12,41
2014-10-19,47
2014-10-26,50
2014-11-02,45
2014-11-09,44
2014-11-16,43
2014-11-23,43
2014-11-30,41
2014-12-07,42
2014-12-14,41
2014-12-21,37
2014-12-28,37
2015-01-04,40
2015-01-11,41
2015-01-18,42
2015-01-25,42
2015-02-01,68
2015-02-08,49
2015-02-15,41
2015-02-22,43
2015-03-01,40
2015-03-08,42
2015-03-15,40
2015-03-22,43
2015-03-29,38
2015-04-05,41
2015-04-12,57
2015-04-19,42
2015-04-26,40
2015-05-03,39
2015-05-10,41
2015-05-17,48
2015-05-24,48
2015-05-31,44
2015-06-07,48
2015-06-14,45
2015-06-21,42
2015-06-28,44
2015-07-05,49
2015-07-12,40
2015-07-19,41
2015-07-26,44
2015-08-02,43
2015-08-09,47
2015-08-16,49
2015-08-23,64
2015-08-30,43
2015-09-06,42
2015-09-13,40
2015-09-20,41
2015-09-27,44
2015-10-04,46
2015-10-11,40
2015-10-18,43
2015-10-25,42
2015-11-01,41
2015-11-08,39
2015-11-15,39
2015-11-22,35
2015-11-29,37
2015-12-06,38
2015-12-13,38
2015-12-20,35
2015-12-27,35
