Category: All categories

Week,Bustier: (Worldwide)
2012-01-01,64
2012-01-08,70
2012-01-15,73
2012-01-22,78
2012-01-29,76
2012-02-05,79
2012-02-12,69
2012-02-19,72
2012-02-26,73
2012-03-04,81
2012-03-11,78
2012-03-18,76
2012-03-25,74
2012-04-01,91
2012-04-08,89
2012-04-15,91
2012-04-22,94
2012-04-29,91
2012-05-06,86
2012-05-13,91
2012-05-20,89
2012-05-27,89
2012-06-03,89
2012-06-10,88
2012-06-17,94
2012-06-24,95
2012-07-01,96
2012-07-08,99
2012-07-15,93
2012-07-22,88
2012-07-29,86
2012-08-05,83
2012-08-12,83
2012-08-19,83
2012-08-26,81
2012-09-02,74
2012-09-09,75
2012-09-16,80
2012-09-23,75
2012-09-30,77
2012-10-07,81
2012-10-14,78
2012-10-21,85
2012-10-28,75
2012-11-04,67
2012-11-11,72
2012-11-18,70
2012-11-25,76
2012-12-02,77
2012-12-09,77
2012-12-16,75
2012-12-23,74
2012-12-30,72
2013-01-06,76
2013-01-13,74
2013-01-20,75
2013-01-27,80
2013-02-03,83
2013-02-10,81
2013-02-17,86
2013-02-24,82
2013-03-03,87
2013-03-10,81
2013-03-17,82
2013-03-24,83
2013-03-31,86
2013-04-07,92
2013-04-14,86
2013-04-21,93
2013-04-28,94
2013-05-05,94
2013-05-12,88
2013-05-19,89
2013-05-26,88
2013-06-02,96
2013-06-09,92
2013-06-16,93
2013-06-23,100
2013-06-30,91
2013-07-07,90
2013-07-14,89
2013-07-21,92
2013-07-28,89
2013-08-04,87
2013-08-11,78
2013-08-18,74
2013-08-25,76
2013-09-01,72
2013-09-08,64
2013-09-15,60
2013-09-22,64
2013-09-29,70
2013-10-06,64
2013-10-13,74
2013-10-20,74
2013-10-27,70
2013-11-03,64
2013-11-10,67
2013-11-17,64
2013-11-24,70
2013-12-01,72
2013-12-08,73
2013-12-15,75
2013-12-22,68
2013-12-29,76
2014-01-05,71
2014-01-12,72
2014-01-19,74
2014-01-26,81
2014-02-02,80
2014-02-09,74
2014-02-16,82
2014-02-23,80
2014-03-02,80
2014-03-09,81
2014-03-16,81
2014-03-23,85
2014-03-30,81
2014-04-06,97
2014-04-13,88
2014-04-20,85
2014-04-27,90
2014-05-04,90
2014-05-11,90
2014-05-18,91
2014-05-25,86
2014-06-01,90
2014-06-08,92
2014-06-15,90
2014-06-22,90
2014-06-29,89
2014-07-06,85
2014-07-13,79
2014-07-20,82
2014-07-27,76
2014-08-03,73
2014-08-10,70
2014-08-17,67
2014-08-24,67
2014-08-31,60
2014-09-07,64
2014-09-14,62
2014-09-21,65
2014-09-28,65
2014-10-05,67
2014-10-12,69
2014-10-19,66
2014-10-26,67
2014-11-02,60
2014-11-09,60
2014-11-16,59
2014-11-23,59
2014-11-30,64
2014-12-07,67
2014-12-14,61
2014-12-21,62
2014-12-28,69
2015-01-04,59
2015-01-11,63
2015-01-18,62
2015-01-25,69
2015-02-01,71
2015-02-08,72
2015-02-15,63
2015-02-22,68
2015-03-01,68
2015-03-08,68
2015-03-15,70
2015-03-22,69
2015-03-29,72
2015-04-05,71
2015-04-12,73
2015-04-19,72
2015-04-26,74
2015-05-03,75
2015-05-10,74
2015-05-17,76
2015-05-24,72
2015-05-31,76
2015-06-07,76
2015-06-14,71
2015-06-21,77
2015-06-28,81
2015-07-05,82
2015-07-12,78
2015-07-19,74
2015-07-26,66
2015-08-02,67
2015-08-09,61
2015-08-16,58
2015-08-23,54
2015-08-30,52
2015-09-06,55
2015-09-13,56
2015-09-20,52
2015-09-27,52
2015-10-04,57
2015-10-11,57
2015-10-18,57
2015-10-25,62
2015-11-01,49
2015-11-08,48
2015-11-15,49
2015-11-22,54
2015-11-29,52
2015-12-06,52
2015-12-13,55
2015-12-20,52
2015-12-27,56
