Category: All categories

Week,Button: (Worldwide)
2012-01-01,92
2012-01-08,85
2012-01-15,86
2012-01-22,85
2012-01-29,88
2012-02-05,89
2012-02-12,86
2012-02-19,88
2012-02-26,89
2012-03-04,86
2012-03-11,85
2012-03-18,88
2012-03-25,86
2012-04-01,85
2012-04-08,88
2012-04-15,88
2012-04-22,90
2012-04-29,86
2012-05-06,87
2012-05-13,88
2012-05-20,87
2012-05-27,86
2012-06-03,86
2012-06-10,92
2012-06-17,89
2012-06-24,93
2012-07-01,90
2012-07-08,94
2012-07-15,97
2012-07-22,97
2012-07-29,94
2012-08-05,96
2012-08-12,95
2012-08-19,95
2012-08-26,92
2012-09-02,93
2012-09-09,92
2012-09-16,93
2012-09-23,94
2012-09-30,92
2012-10-07,92
2012-10-14,88
2012-10-21,93
2012-10-28,87
2012-11-04,87
2012-11-11,88
2012-11-18,88
2012-11-25,93
2012-12-02,93
2012-12-09,92
2012-12-16,88
2012-12-23,91
2012-12-30,88
2013-01-06,93
2013-01-13,90
2013-01-20,91
2013-01-27,90
2013-02-03,88
2013-02-10,86
2013-02-17,90
2013-02-24,91
2013-03-03,88
2013-03-10,91
2013-03-17,91
2013-03-24,89
2013-03-31,88
2013-04-07,87
2013-04-14,89
2013-04-21,90
2013-04-28,86
2013-05-05,88
2013-05-12,85
2013-05-19,87
2013-05-26,87
2013-06-02,87
2013-06-09,88
2013-06-16,85
2013-06-23,90
2013-06-30,89
2013-07-07,90
2013-07-14,92
2013-07-21,91
2013-07-28,92
2013-08-04,91
2013-08-11,88
2013-08-18,89
2013-08-25,88
2013-09-01,88
2013-09-08,92
2013-09-15,94
2013-09-22,92
2013-09-29,99
2013-10-06,100
2013-10-13,95
2013-10-20,95
2013-10-27,89
2013-11-03,92
2013-11-10,91
2013-11-17,93
2013-11-24,92
2013-12-01,93
2013-12-08,96
2013-12-15,92
2013-12-22,89
2013-12-29,95
2014-01-05,91
2014-01-12,98
2014-01-19,93
2014-01-26,93
2014-02-02,93
2014-02-09,93
2014-02-16,91
2014-02-23,94
2014-03-02,94
2014-03-09,93
2014-03-16,91
2014-03-23,91
2014-03-30,89
2014-04-06,90
2014-04-13,91
2014-04-20,90
2014-04-27,93
2014-05-04,90
2014-05-11,91
2014-05-18,88
2014-05-25,87
2014-06-01,89
2014-06-08,87
2014-06-15,87
2014-06-22,89
2014-06-29,87
2014-07-06,89
2014-07-13,89
2014-07-20,90
2014-07-27,89
2014-08-03,91
2014-08-10,88
2014-08-17,90
2014-08-24,87
2014-08-31,86
2014-09-07,88
2014-09-14,91
2014-09-21,89
2014-09-28,93
2014-10-05,91
2014-10-12,92
2014-10-19,90
2014-10-26,89
2014-11-02,91
2014-11-09,92
2014-11-16,98
2014-11-23,95
2014-11-30,99
2014-12-07,100
2014-12-14,92
2014-12-21,88
2014-12-28,90
2015-01-04,90
2015-01-11,91
2015-01-18,88
2015-01-25,92
2015-02-01,91
2015-02-08,89
2015-02-15,91
2015-02-22,91
2015-03-01,89
2015-03-08,90
2015-03-15,89
2015-03-22,88
2015-03-29,95
2015-04-05,92
2015-04-12,92
2015-04-19,93
2015-04-26,91
2015-05-03,89
2015-05-10,89
2015-05-17,87
2015-05-24,87
2015-05-31,89
2015-06-07,91
2015-06-14,92
2015-06-21,91
2015-06-28,87
2015-07-05,89
2015-07-12,89
2015-07-19,88
2015-07-26,90
2015-08-02,93
2015-08-09,89
2015-08-16,89
2015-08-23,86
2015-08-30,87
2015-09-06,89
2015-09-13,96
2015-09-20,97
2015-09-27,95
2015-10-04,91
2015-10-11,92
2015-10-18,91
2015-10-25,90
2015-11-01,92
2015-11-08,90
2015-11-15,92
2015-11-22,94
2015-11-29,97
2015-12-06,97
2015-12-13,96
2015-12-20,98
2015-12-27,93
