Category: All categories

Week,Chaps: (Worldwide)
2012-01-01,80
2012-01-08,83
2012-01-15,76
2012-01-22,85
2012-01-29,79
2012-02-05,75
2012-02-12,90
2012-02-19,81
2012-02-26,77
2012-03-04,77
2012-03-11,76
2012-03-18,72
2012-03-25,77
2012-04-01,77
2012-04-08,77
2012-04-15,78
2012-04-22,79
2012-04-29,79
2012-05-06,74
2012-05-13,75
2012-05-20,74
2012-05-27,76
2012-06-03,68
2012-06-10,72
2012-06-17,82
2012-06-24,78
2012-07-01,79
2012-07-08,78
2012-07-15,80
2012-07-22,75
2012-07-29,74
2012-08-05,77
2012-08-12,77
2012-08-19,80
2012-08-26,77
2012-09-02,78
2012-09-09,79
2012-09-16,77
2012-09-23,86
2012-09-30,84
2012-10-07,92
2012-10-14,83
2012-10-21,86
2012-10-28,76
2012-11-04,72
2012-11-11,79
2012-11-18,84
2012-11-25,90
2012-12-02,90
2012-12-09,85
2012-12-16,87
2012-12-23,87
2012-12-30,82
2013-01-06,75
2013-01-13,76
2013-01-20,72
2013-01-27,69
2013-02-03,71
2013-02-10,71
2013-02-17,73
2013-02-24,81
2013-03-03,81
2013-03-10,77
2013-03-17,77
2013-03-24,78
2013-03-31,81
2013-04-07,72
2013-04-14,75
2013-04-21,73
2013-04-28,79
2013-05-05,75
2013-05-12,74
2013-05-19,74
2013-05-26,72
2013-06-02,70
2013-06-09,72
2013-06-16,78
2013-06-23,74
2013-06-30,73
2013-07-07,78
2013-07-14,74
2013-07-21,73
2013-07-28,79
2013-08-04,75
2013-08-11,74
2013-08-18,77
2013-08-25,73
2013-09-01,76
2013-09-08,72
2013-09-15,74
2013-09-22,80
2013-09-29,76
2013-10-06,74
2013-10-13,77
2013-10-20,83
2013-10-27,81
2013-11-03,75
2013-11-10,78
2013-11-17,76
2013-11-24,82
2013-12-01,85
2013-12-08,86
2013-12-15,91
2013-12-22,83
2013-12-29,88
2014-01-05,82
2014-01-12,71
2014-01-19,72
2014-01-26,72
2014-02-02,72
2014-02-09,73
2014-02-16,72
2014-02-23,77
2014-03-02,70
2014-03-09,75
2014-03-16,72
2014-03-23,71
2014-03-30,75
2014-04-06,78
2014-04-13,72
2014-04-20,75
2014-04-27,72
2014-05-04,70
2014-05-11,69
2014-05-18,70
2014-05-25,75
2014-06-01,72
2014-06-08,70
2014-06-15,78
2014-06-22,78
2014-06-29,80
2014-07-06,80
2014-07-13,74
2014-07-20,71
2014-07-27,75
2014-08-03,79
2014-08-10,80
2014-08-17,73
2014-08-24,71
2014-08-31,72
2014-09-07,68
2014-09-14,75
2014-09-21,72
2014-09-28,76
2014-10-05,78
2014-10-12,78
2014-10-19,100
2014-10-26,82
2014-11-02,77
2014-11-09,76
2014-11-16,76
2014-11-23,79
2014-11-30,80
2014-12-07,76
2014-12-14,85
2014-12-21,81
2014-12-28,82
2015-01-04,72
2015-01-11,75
2015-01-18,72
2015-01-25,71
2015-02-01,72
2015-02-08,72
2015-02-15,71
2015-02-22,70
2015-03-01,70
2015-03-08,70
2015-03-15,73
2015-03-22,72
2015-03-29,73
2015-04-05,68
2015-04-12,67
2015-04-19,75
2015-04-26,72
2015-05-03,73
2015-05-10,70
2015-05-17,75
2015-05-24,71
2015-05-31,68
2015-06-07,69
2015-06-14,77
2015-06-21,77
2015-06-28,74
2015-07-05,71
2015-07-12,74
2015-07-19,72
2015-07-26,75
2015-08-02,73
2015-08-09,70
2015-08-16,72
2015-08-23,74
2015-08-30,69
2015-09-06,69
2015-09-13,72
2015-09-20,71
2015-09-27,76
2015-10-04,70
2015-10-11,76
2015-10-18,77
2015-10-25,78
2015-11-01,71
2015-11-08,73
2015-11-15,72
2015-11-22,78
2015-11-29,87
2015-12-06,83
2015-12-13,91
2015-12-20,82
2015-12-27,84
