Category: All categories

Week,Chic style: (Worldwide)
2012-01-01,68
2012-01-08,66
2012-01-15,73
2012-01-22,77
2012-01-29,71
2012-02-05,75
2012-02-12,78
2012-02-19,84
2012-02-26,78
2012-03-04,70
2012-03-11,65
2012-03-18,71
2012-03-25,63
2012-04-01,66
2012-04-08,74
2012-04-15,65
2012-04-22,74
2012-04-29,86
2012-05-06,68
2012-05-13,73
2012-05-20,70
2012-05-27,80
2012-06-03,69
2012-06-10,69
2012-06-17,73
2012-06-24,75
2012-07-01,72
2012-07-08,84
2012-07-15,82
2012-07-22,81
2012-07-29,87
2012-08-05,83
2012-08-12,80
2012-08-19,84
2012-08-26,88
2012-09-02,81
2012-09-09,76
2012-09-16,92
2012-09-23,95
2012-09-30,85
2012-10-07,82
2012-10-14,76
2012-10-21,74
2012-10-28,75
2012-11-04,70
2012-11-11,68
2012-11-18,82
2012-11-25,74
2012-12-02,74
2012-12-09,74
2012-12-16,66
2012-12-23,75
2012-12-30,86
2013-01-06,81
2013-01-13,75
2013-01-20,93
2013-01-27,78
2013-02-03,87
2013-02-10,87
2013-02-17,93
2013-02-24,82
2013-03-03,76
2013-03-10,92
2013-03-17,89
2013-03-24,89
2013-03-31,78
2013-04-07,80
2013-04-14,88
2013-04-21,79
2013-04-28,71
2013-05-05,80
2013-05-12,82
2013-05-19,76
2013-05-26,80
2013-06-02,72
2013-06-09,76
2013-06-16,83
2013-06-23,80
2013-06-30,76
2013-07-07,77
2013-07-14,85
2013-07-21,75
2013-07-28,82
2013-08-04,87
2013-08-11,91
2013-08-18,84
2013-08-25,91
2013-09-01,68
2013-09-08,87
2013-09-15,82
2013-09-22,73
2013-09-29,70
2013-10-06,74
2013-10-13,80
2013-10-20,88
2013-10-27,86
2013-11-03,79
2013-11-10,83
2013-11-17,80
2013-11-24,84
2013-12-01,69
2013-12-08,80
2013-12-15,70
2013-12-22,69
2013-12-29,89
2014-01-05,88
2014-01-12,88
2014-01-19,97
2014-01-26,85
2014-02-02,85
2014-02-09,82
2014-02-16,85
2014-02-23,86
2014-03-02,84
2014-03-09,83
2014-03-16,85
2014-03-23,86
2014-03-30,90
2014-04-06,88
2014-04-13,92
2014-04-20,83
2014-04-27,83
2014-05-04,78
2014-05-11,81
2014-05-18,78
2014-05-25,83
2014-06-01,80
2014-06-08,81
2014-06-15,83
2014-06-22,83
2014-06-29,76
2014-07-06,77
2014-07-13,84
2014-07-20,94
2014-07-27,95
2014-08-03,100
2014-08-10,100
2014-08-17,93
2014-08-24,91
2014-08-31,79
2014-09-07,96
2014-09-14,84
2014-09-21,85
2014-09-28,72
2014-10-05,88
2014-10-12,81
2014-10-19,78
2014-10-26,77
2014-11-02,77
2014-11-09,80
2014-11-16,79
2014-11-23,83
2014-11-30,75
2014-12-07,79
2014-12-14,61
2014-12-21,66
2014-12-28,81
2015-01-04,76
2015-01-11,80
2015-01-18,81
2015-01-25,89
2015-02-01,77
2015-02-08,82
2015-02-15,81
2015-02-22,80
2015-03-01,84
2015-03-08,84
2015-03-15,83
2015-03-22,86
2015-03-29,81
2015-04-05,85
2015-04-12,78
2015-04-19,87
2015-04-26,90
2015-05-03,79
2015-05-10,75
2015-05-17,89
2015-05-24,86
2015-05-31,80
2015-06-07,81
2015-06-14,75
2015-06-21,75
2015-06-28,76
2015-07-05,74
2015-07-12,81
2015-07-19,81
2015-07-26,79
2015-08-02,85
2015-08-09,74
2015-08-16,83
2015-08-23,82
2015-08-30,79
2015-09-06,79
2015-09-13,81
2015-09-20,80
2015-09-27,82
2015-10-04,73
2015-10-11,80
2015-10-18,74
2015-10-25,73
2015-11-01,66
2015-11-08,67
2015-11-15,65
2015-11-22,85
2015-11-29,71
2015-12-06,74
2015-12-13,77
2015-12-20,65
2015-12-27,90
