Category: All categories

Week,Choker: (Worldwide)
2012-01-01,20
2012-01-08,18
2012-01-15,22
2012-01-22,22
2012-01-29,22
2012-02-05,20
2012-02-12,21
2012-02-19,22
2012-02-26,18
2012-03-04,20
2012-03-11,20
2012-03-18,17
2012-03-25,20
2012-04-01,21
2012-04-08,19
2012-04-15,22
2012-04-22,25
2012-04-29,22
2012-05-06,20
2012-05-13,20
2012-05-20,20
2012-05-27,20
2012-06-03,20
2012-06-10,21
2012-06-17,23
2012-06-24,21
2012-07-01,21
2012-07-08,21
2012-07-15,21
2012-07-22,24
2012-07-29,25
2012-08-05,23
2012-08-12,20
2012-08-19,22
2012-08-26,20
2012-09-02,21
2012-09-09,21
2012-09-16,21
2012-09-23,23
2012-09-30,24
2012-10-07,25
2012-10-14,25
2012-10-21,23
2012-10-28,22
2012-11-04,24
2012-11-11,20
2012-11-18,23
2012-11-25,23
2012-12-02,23
2012-12-09,21
2012-12-16,22
2012-12-23,22
2012-12-30,22
2013-01-06,19
2013-01-13,22
2013-01-20,22
2013-01-27,21
2013-02-03,21
2013-02-10,22
2013-02-17,21
2013-02-24,22
2013-03-03,23
2013-03-10,22
2013-03-17,22
2013-03-24,26
2013-03-31,22
2013-04-07,22
2013-04-14,22
2013-04-21,23
2013-04-28,24
2013-05-05,24
2013-05-12,22
2013-05-19,23
2013-05-26,24
2013-06-02,21
2013-06-09,21
2013-06-16,23
2013-06-23,24
2013-06-30,21
2013-07-07,21
2013-07-14,22
2013-07-21,20
2013-07-28,23
2013-08-04,25
2013-08-11,24
2013-08-18,27
2013-08-25,24
2013-09-01,24
2013-09-08,22
2013-09-15,23
2013-09-22,28
2013-09-29,28
2013-10-06,26
2013-10-13,27
2013-10-20,29
2013-10-27,26
2013-11-03,25
2013-11-10,28
2013-11-17,25
2013-11-24,27
2013-12-01,29
2013-12-08,30
2013-12-15,29
2013-12-22,31
2013-12-29,27
2014-01-05,28
2014-01-12,27
2014-01-19,29
2014-01-26,32
2014-02-02,35
2014-02-09,33
2014-02-16,32
2014-02-23,32
2014-03-02,34
2014-03-09,35
2014-03-16,29
2014-03-23,37
2014-03-30,38
2014-04-06,43
2014-04-13,40
2014-04-20,43
2014-04-27,43
2014-05-04,48
2014-05-11,46
2014-05-18,45
2014-05-25,53
2014-06-01,48
2014-06-08,46
2014-06-15,47
2014-06-22,52
2014-06-29,51
2014-07-06,56
2014-07-13,60
2014-07-20,58
2014-07-27,65
2014-08-03,63
2014-08-10,69
2014-08-17,71
2014-08-24,70
2014-08-31,69
2014-09-07,67
2014-09-14,67
2014-09-21,73
2014-09-28,72
2014-10-05,73
2014-10-12,72
2014-10-19,73
2014-10-26,73
2014-11-02,66
2014-11-09,74
2014-11-16,82
2014-11-23,81
2014-11-30,79
2014-12-07,76
2014-12-14,80
2014-12-21,86
2014-12-28,86
2015-01-04,71
2015-01-11,75
2015-01-18,76
2015-01-25,80
2015-02-01,74
2015-02-08,74
2015-02-15,79
2015-02-22,75
2015-03-01,79
2015-03-08,77
2015-03-15,78
2015-03-22,88
2015-03-29,81
2015-04-05,78
2015-04-12,78
2015-04-19,76
2015-04-26,78
2015-05-03,76
2015-05-10,80
2015-05-17,79
2015-05-24,82
2015-05-31,82
2015-06-07,81
2015-06-14,81
2015-06-21,82
2015-06-28,100
2015-07-05,86
2015-07-12,88
2015-07-19,83
2015-07-26,84
2015-08-02,86
2015-08-09,80
2015-08-16,84
2015-08-23,75
2015-08-30,71
2015-09-06,76
2015-09-13,68
2015-09-20,70
2015-09-27,72
2015-10-04,74
2015-10-11,71
2015-10-18,70
2015-10-25,80
2015-11-01,65
2015-11-08,65
2015-11-15,66
2015-11-22,70
2015-11-29,74
2015-12-06,78
2015-12-13,77
2015-12-20,76
2015-12-27,74
