Category: All categories

Week,Kimono: (Worldwide)
2012-01-01,48
2012-01-08,50
2012-01-15,53
2012-01-22,53
2012-01-29,52
2012-02-05,52
2012-02-12,51
2012-02-19,49
2012-02-26,51
2012-03-04,54
2012-03-11,49
2012-03-18,49
2012-03-25,50
2012-04-01,50
2012-04-08,51
2012-04-15,50
2012-04-22,53
2012-04-29,49
2012-05-06,50
2012-05-13,49
2012-05-20,49
2012-05-27,48
2012-06-03,50
2012-06-10,47
2012-06-17,49
2012-06-24,49
2012-07-01,49
2012-07-08,49
2012-07-15,50
2012-07-22,50
2012-07-29,52
2012-08-05,51
2012-08-12,50
2012-08-19,49
2012-08-26,50
2012-09-02,51
2012-09-09,56
2012-09-16,54
2012-09-23,54
2012-09-30,52
2012-10-07,51
2012-10-14,51
2012-10-21,55
2012-10-28,48
2012-11-04,46
2012-11-11,47
2012-11-18,48
2012-11-25,49
2012-12-02,49
2012-12-09,48
2012-12-16,45
2012-12-23,43
2012-12-30,45
2013-01-06,50
2013-01-13,50
2013-01-20,50
2013-01-27,49
2013-02-03,51
2013-02-10,51
2013-02-17,50
2013-02-24,50
2013-03-03,51
2013-03-10,49
2013-03-17,49
2013-03-24,47
2013-03-31,51
2013-04-07,52
2013-04-14,52
2013-04-21,50
2013-04-28,49
2013-05-05,52
2013-05-12,49
2013-05-19,51
2013-05-26,51
2013-06-02,51
2013-06-09,52
2013-06-16,52
2013-06-23,50
2013-06-30,51
2013-07-07,52
2013-07-14,53
2013-07-21,52
2013-07-28,53
2013-08-04,56
2013-08-11,54
2013-08-18,53
2013-08-25,55
2013-09-01,57
2013-09-08,59
2013-09-15,57
2013-09-22,56
2013-09-29,57
2013-10-06,56
2013-10-13,56
2013-10-20,57
2013-10-27,53
2013-11-03,53
2013-11-10,54
2013-11-17,55
2013-11-24,55
2013-12-01,55
2013-12-08,55
2013-12-15,52
2013-12-22,48
2013-12-29,52
2014-01-05,57
2014-01-12,65
2014-01-19,58
2014-01-26,62
2014-02-02,59
2014-02-09,61
2014-02-16,65
2014-02-23,63
2014-03-02,64
2014-03-09,65
2014-03-16,66
2014-03-23,70
2014-03-30,70
2014-04-06,69
2014-04-13,71
2014-04-20,75
2014-04-27,76
2014-05-04,76
2014-05-11,78
2014-05-18,81
2014-05-25,82
2014-06-01,85
2014-06-08,82
2014-06-15,83
2014-06-22,89
2014-06-29,89
2014-07-06,91
2014-07-13,95
2014-07-20,90
2014-07-27,90
2014-08-03,94
2014-08-10,87
2014-08-17,83
2014-08-24,82
2014-08-31,82
2014-09-07,82
2014-09-14,84
2014-09-21,79
2014-09-28,85
2014-10-05,77
2014-10-12,74
2014-10-19,74
2014-10-26,73
2014-11-02,68
2014-11-09,71
2014-11-16,69
2014-11-23,75
2014-11-30,71
2014-12-07,70
2014-12-14,69
2014-12-21,65
2014-12-28,65
2015-01-04,66
2015-01-11,69
2015-01-18,69
2015-01-25,71
2015-02-01,72
2015-02-08,71
2015-02-15,70
2015-02-22,73
2015-03-01,75
2015-03-08,78
2015-03-15,80
2015-03-22,93
2015-03-29,81
2015-04-05,83
2015-04-12,87
2015-04-19,89
2015-04-26,92
2015-05-03,88
2015-05-10,95
2015-05-17,95
2015-05-24,96
2015-05-31,97
2015-06-07,97
2015-06-14,95
2015-06-21,95
2015-06-28,100
2015-07-05,100
2015-07-12,93
2015-07-19,95
2015-07-26,88
2015-08-02,92
2015-08-09,89
2015-08-16,90
2015-08-23,86
2015-08-30,84
2015-09-06,83
2015-09-13,83
2015-09-20,79
2015-09-27,79
2015-10-04,78
2015-10-11,75
2015-10-18,78
2015-10-25,74
2015-11-01,68
2015-11-08,72
2015-11-15,73
2015-11-22,74
2015-11-29,74
2015-12-06,76
2015-12-13,75
2015-12-20,69
2015-12-27,72
