Category: All categories

Week,Coat: (Worldwide)
2012-01-01,63
2012-01-08,58
2012-01-15,59
2012-01-22,55
2012-01-29,53
2012-02-05,53
2012-02-12,52
2012-02-19,50
2012-02-26,47
2012-03-04,45
2012-03-11,43
2012-03-18,44
2012-03-25,44
2012-04-01,43
2012-04-08,42
2012-04-15,41
2012-04-22,42
2012-04-29,43
2012-05-06,41
2012-05-13,40
2012-05-20,38
2012-05-27,38
2012-06-03,38
2012-06-10,38
2012-06-17,37
2012-06-24,37
2012-07-01,36
2012-07-08,38
2012-07-15,39
2012-07-22,39
2012-07-29,41
2012-08-05,44
2012-08-12,45
2012-08-19,45
2012-08-26,46
2012-09-02,47
2012-09-09,51
2012-09-16,56
2012-09-23,62
2012-09-30,62
2012-10-07,68
2012-10-14,65
2012-10-21,65
2012-10-28,67
2012-11-04,73
2012-11-11,71
2012-11-18,74
2012-11-25,81
2012-12-02,76
2012-12-09,80
2012-12-16,74
2012-12-23,77
2012-12-30,68
2013-01-06,59
2013-01-13,59
2013-01-20,63
2013-01-27,53
2013-02-03,51
2013-02-10,51
2013-02-17,51
2013-02-24,50
2013-03-03,49
2013-03-10,49
2013-03-17,52
2013-03-24,49
2013-03-31,45
2013-04-07,43
2013-04-14,44
2013-04-21,43
2013-04-28,41
2013-05-05,40
2013-05-12,39
2013-05-19,39
2013-05-26,39
2013-06-02,38
2013-06-09,39
2013-06-16,37
2013-06-23,39
2013-06-30,37
2013-07-07,37
2013-07-14,38
2013-07-21,40
2013-07-28,41
2013-08-04,43
2013-08-11,44
2013-08-18,46
2013-08-25,46
2013-09-01,48
2013-09-08,54
2013-09-15,60
2013-09-22,59
2013-09-29,60
2013-10-06,63
2013-10-13,70
2013-10-20,76
2013-10-27,72
2013-11-03,78
2013-11-10,87
2013-11-17,82
2013-11-24,97
2013-12-01,88
2013-12-08,93
2013-12-15,82
2013-12-22,81
2013-12-29,78
2014-01-05,69
2014-01-12,62
2014-01-19,64
2014-01-26,63
2014-02-02,64
2014-02-09,59
2014-02-16,56
2014-02-23,53
2014-03-02,53
2014-03-09,50
2014-03-16,48
2014-03-23,49
2014-03-30,48
2014-04-06,47
2014-04-13,47
2014-04-20,46
2014-04-27,46
2014-05-04,44
2014-05-11,42
2014-05-18,40
2014-05-25,39
2014-06-01,40
2014-06-08,38
2014-06-15,37
2014-06-22,39
2014-06-29,38
2014-07-06,40
2014-07-13,41
2014-07-20,42
2014-07-27,43
2014-08-03,46
2014-08-10,49
2014-08-17,52
2014-08-24,53
2014-08-31,52
2014-09-07,55
2014-09-14,61
2014-09-21,61
2014-09-28,62
2014-10-05,73
2014-10-12,71
2014-10-19,74
2014-10-26,75
2014-11-02,85
2014-11-09,98
2014-11-16,99
2014-11-23,95
2014-11-30,92
2014-12-07,90
2014-12-14,83
2014-12-21,84
2014-12-28,85
2015-01-04,76
2015-01-11,72
2015-01-18,64
2015-01-25,64
2015-02-01,63
2015-02-08,59
2015-02-15,63
2015-02-22,60
2015-03-01,57
2015-03-08,54
2015-03-15,51
2015-03-22,52
2015-03-29,50
2015-04-05,49
2015-04-12,45
2015-04-19,45
2015-04-26,44
2015-05-03,42
2015-05-10,43
2015-05-17,42
2015-05-24,40
2015-05-31,42
2015-06-07,39
2015-06-14,40
2015-06-21,39
2015-06-28,40
2015-07-05,40
2015-07-12,42
2015-07-19,45
2015-07-26,47
2015-08-02,46
2015-08-09,48
2015-08-16,48
2015-08-23,51
2015-08-30,54
2015-09-06,57
2015-09-13,60
2015-09-20,63
2015-09-27,66
2015-10-04,71
2015-10-11,74
2015-10-18,78
2015-10-25,78
2015-11-01,76
2015-11-08,79
2015-11-15,85
2015-11-22,100
2015-11-29,94
2015-12-06,98
2015-12-13,90
2015-12-20,89
2015-12-27,87
