Category: All categories

Week,Cocktail dress: (Worldwide)
2012-01-01,60
2012-01-08,70
2012-01-15,76
2012-01-22,82
2012-01-29,76
2012-02-05,80
2012-02-12,68
2012-02-19,82
2012-02-26,74
2012-03-04,76
2012-03-11,73
2012-03-18,67
2012-03-25,63
2012-04-01,67
2012-04-08,69
2012-04-15,69
2012-04-22,70
2012-04-29,69
2012-05-06,66
2012-05-13,63
2012-05-20,63
2012-05-27,63
2012-06-03,65
2012-06-10,60
2012-06-17,61
2012-06-24,60
2012-07-01,58
2012-07-08,66
2012-07-15,71
2012-07-22,63
2012-07-29,62
2012-08-05,61
2012-08-12,65
2012-08-19,65
2012-08-26,69
2012-09-02,74
2012-09-09,72
2012-09-16,80
2012-09-23,76
2012-09-30,74
2012-10-07,71
2012-10-14,69
2012-10-21,70
2012-10-28,62
2012-11-04,76
2012-11-11,79
2012-11-18,82
2012-11-25,93
2012-12-02,89
2012-12-09,77
2012-12-16,51
2012-12-23,47
2012-12-30,60
2013-01-06,71
2013-01-13,78
2013-01-20,83
2013-01-27,82
2013-02-03,84
2013-02-10,75
2013-02-17,80
2013-02-24,75
2013-03-03,74
2013-03-10,70
2013-03-17,67
2013-03-24,62
2013-03-31,67
2013-04-07,69
2013-04-14,68
2013-04-21,67
2013-04-28,65
2013-05-05,59
2013-05-12,62
2013-05-19,55
2013-05-26,56
2013-06-02,57
2013-06-09,54
2013-06-16,55
2013-06-23,53
2013-06-30,53
2013-07-07,53
2013-07-14,61
2013-07-21,57
2013-07-28,57
2013-08-04,61
2013-08-11,65
2013-08-18,62
2013-08-25,56
2013-09-01,63
2013-09-08,67
2013-09-15,72
2013-09-22,74
2013-09-29,67
2013-10-06,65
2013-10-13,69
2013-10-20,66
2013-10-27,63
2013-11-03,72
2013-11-10,82
2013-11-17,84
2013-11-24,78
2013-12-01,91
2013-12-08,81
2013-12-15,61
2013-12-22,47
2013-12-29,60
2014-01-05,67
2014-01-12,80
2014-01-19,85
2014-01-26,87
2014-02-02,88
2014-02-09,79
2014-02-16,78
2014-02-23,76
2014-03-02,81
2014-03-09,79
2014-03-16,70
2014-03-23,70
2014-03-30,66
2014-04-06,70
2014-04-13,64
2014-04-20,69
2014-04-27,68
2014-05-04,68
2014-05-11,64
2014-05-18,58
2014-05-25,57
2014-06-01,58
2014-06-08,56
2014-06-15,58
2014-06-22,56
2014-06-29,53
2014-07-06,55
2014-07-13,61
2014-07-20,60
2014-07-27,61
2014-08-03,60
2014-08-10,65
2014-08-17,65
2014-08-24,60
2014-08-31,67
2014-09-07,72
2014-09-14,74
2014-09-21,69
2014-09-28,67
2014-10-05,69
2014-10-12,68
2014-10-19,68
2014-10-26,66
2014-11-02,75
2014-11-09,83
2014-11-16,94
2014-11-23,86
2014-11-30,100
2014-12-07,92
2014-12-14,61
2014-12-21,42
2014-12-28,56
2015-01-04,69
2015-01-11,78
2015-01-18,78
2015-01-25,88
2015-02-01,88
2015-02-08,83
2015-02-15,82
2015-02-22,87
2015-03-01,82
2015-03-08,75
2015-03-15,70
2015-03-22,66
2015-03-29,60
2015-04-05,67
2015-04-12,65
2015-04-19,67
2015-04-26,66
2015-05-03,65
2015-05-10,61
2015-05-17,62
2015-05-24,63
2015-05-31,54
2015-06-07,58
2015-06-14,53
2015-06-21,53
2015-06-28,50
2015-07-05,60
2015-07-12,58
2015-07-19,62
2015-07-26,62
2015-08-02,63
2015-08-09,62
2015-08-16,64
2015-08-23,65
2015-08-30,66
2015-09-06,70
2015-09-13,71
2015-09-20,75
2015-09-27,71
2015-10-04,72
2015-10-11,73
2015-10-18,67
2015-10-25,63
2015-11-01,74
2015-11-08,88
2015-11-15,86
2015-11-22,84
2015-11-29,94
2015-12-06,90
2015-12-13,67
2015-12-20,43
2015-12-27,62
