Category: All categories

Week,Cope: (Worldwide)
2012-01-01,59
2012-01-08,73
2012-01-15,88
2012-01-22,100
2012-01-29,67
2012-02-05,70
2012-02-12,70
2012-02-19,70
2012-02-26,69
2012-03-04,69
2012-03-11,69
2012-03-18,76
2012-03-25,70
2012-04-01,62
2012-04-08,78
2012-04-15,78
2012-04-22,78
2012-04-29,73
2012-05-06,58
2012-05-13,63
2012-05-20,57
2012-05-27,51
2012-06-03,55
2012-06-10,66
2012-06-17,63
2012-06-24,62
2012-07-01,56
2012-07-08,48
2012-07-15,60
2012-07-22,49
2012-07-29,47
2012-08-05,47
2012-08-12,51
2012-08-19,62
2012-08-26,66
2012-09-02,62
2012-09-09,60
2012-09-16,69
2012-09-23,67
2012-09-30,64
2012-10-07,66
2012-10-14,60
2012-10-21,67
2012-10-28,58
2012-11-04,58
2012-11-11,60
2012-11-18,97
2012-11-25,76
2012-12-02,59
2012-12-09,56
2012-12-16,58
2012-12-23,39
2012-12-30,40
2013-01-06,58
2013-01-13,58
2013-01-20,61
2013-01-27,67
2013-02-03,56
2013-02-10,61
2013-02-17,60
2013-02-24,70
2013-03-03,59
2013-03-10,63
2013-03-17,51
2013-03-24,48
2013-03-31,56
2013-04-07,59
2013-04-14,53
2013-04-21,64
2013-04-28,60
2013-05-05,53
2013-05-12,53
2013-05-19,48
2013-05-26,53
2013-06-02,47
2013-06-09,43
2013-06-16,47
2013-06-23,47
2013-06-30,50
2013-07-07,46
2013-07-14,47
2013-07-21,53
2013-07-28,46
2013-08-04,43
2013-08-11,42
2013-08-18,53
2013-08-25,53
2013-09-01,55
2013-09-08,50
2013-09-15,52
2013-09-22,60
2013-09-29,57
2013-10-06,49
2013-10-13,51
2013-10-20,57
2013-10-27,54
2013-11-03,52
2013-11-10,48
2013-11-17,48
2013-11-24,47
2013-12-01,48
2013-12-08,47
2013-12-15,45
2013-12-22,41
2013-12-29,38
2014-01-05,51
2014-01-12,53
2014-01-19,52
2014-01-26,51
2014-02-02,67
2014-02-09,53
2014-02-16,53
2014-02-23,55
2014-03-02,57
2014-03-09,54
2014-03-16,49
2014-03-23,68
2014-03-30,57
2014-04-06,60
2014-04-13,54
2014-04-20,58
2014-04-27,59
2014-05-04,53
2014-05-11,60
2014-05-18,56
2014-05-25,67
2014-06-01,47
2014-06-08,51
2014-06-15,54
2014-06-22,53
2014-06-29,55
2014-07-06,50
2014-07-13,44
2014-07-20,43
2014-07-27,39
2014-08-03,39
2014-08-10,44
2014-08-17,49
2014-08-24,51
2014-08-31,47
2014-09-07,49
2014-09-14,51
2014-09-21,53
2014-09-28,51
2014-10-05,55
2014-10-12,49
2014-10-19,55
2014-10-26,51
2014-11-02,53
2014-11-09,46
2014-11-16,47
2014-11-23,45
2014-11-30,50
2014-12-07,47
2014-12-14,45
2014-12-21,37
2014-12-28,36
2015-01-04,54
2015-01-11,54
2015-01-18,50
2015-01-25,50
2015-02-01,51
2015-02-08,50
2015-02-15,50
2015-02-22,54
2015-03-01,50
2015-03-08,51
2015-03-15,52
2015-03-22,57
2015-03-29,41
2015-04-05,55
2015-04-12,52
2015-04-19,56
2015-04-26,51
2015-05-03,55
2015-05-10,54
2015-05-17,51
2015-05-24,47
2015-05-31,47
2015-06-07,46
2015-06-14,45
2015-06-21,47
2015-06-28,44
2015-07-05,42
2015-07-12,41
2015-07-19,41
2015-07-26,42
2015-08-02,41
2015-08-09,42
2015-08-16,45
2015-08-23,53
2015-08-30,74
2015-09-06,62
2015-09-13,65
2015-09-20,62
2015-09-27,60
2015-10-04,54
2015-10-11,51
2015-10-18,62
2015-10-25,54
2015-11-01,55
2015-11-08,57
2015-11-15,61
2015-11-22,65
2015-11-29,61
2015-12-06,52
2015-12-13,58
2015-12-20,51
2015-12-27,45
