Category: All categories

Week,Corset: (Worldwide)
2012-01-01,52
2012-01-08,53
2012-01-15,54
2012-01-22,58
2012-01-29,57
2012-02-05,61
2012-02-12,53
2012-02-19,56
2012-02-26,52
2012-03-04,52
2012-03-11,52
2012-03-18,50
2012-03-25,50
2012-04-01,50
2012-04-08,52
2012-04-15,54
2012-04-22,53
2012-04-29,52
2012-05-06,52
2012-05-13,52
2012-05-20,52
2012-05-27,50
2012-06-03,53
2012-06-10,50
2012-06-17,52
2012-06-24,49
2012-07-01,51
2012-07-08,53
2012-07-15,53
2012-07-22,51
2012-07-29,53
2012-08-05,52
2012-08-12,53
2012-08-19,53
2012-08-26,54
2012-09-02,52
2012-09-09,55
2012-09-16,65
2012-09-23,64
2012-09-30,68
2012-10-07,75
2012-10-14,78
2012-10-21,79
2012-10-28,61
2012-11-04,51
2012-11-11,53
2012-11-18,52
2012-11-25,54
2012-12-02,53
2012-12-09,53
2012-12-16,49
2012-12-23,47
2012-12-30,52
2013-01-06,52
2013-01-13,56
2013-01-20,55
2013-01-27,56
2013-02-03,57
2013-02-10,55
2013-02-17,55
2013-02-24,54
2013-03-03,55
2013-03-10,52
2013-03-17,52
2013-03-24,52
2013-03-31,54
2013-04-07,53
2013-04-14,51
2013-04-21,67
2013-04-28,60
2013-05-05,56
2013-05-12,51
2013-05-19,52
2013-05-26,50
2013-06-02,50
2013-06-09,53
2013-06-16,51
2013-06-23,51
2013-06-30,50
2013-07-07,50
2013-07-14,50
2013-07-21,50
2013-07-28,53
2013-08-04,54
2013-08-11,53
2013-08-18,53
2013-08-25,54
2013-09-01,53
2013-09-08,56
2013-09-15,58
2013-09-22,60
2013-09-29,63
2013-10-06,67
2013-10-13,72
2013-10-20,72
2013-10-27,66
2013-11-03,55
2013-11-10,55
2013-11-17,54
2013-11-24,52
2013-12-01,54
2013-12-08,52
2013-12-15,52
2013-12-22,52
2013-12-29,59
2014-01-05,61
2014-01-12,59
2014-01-19,59
2014-01-26,62
2014-02-02,61
2014-02-09,60
2014-02-16,60
2014-02-23,60
2014-03-02,62
2014-03-09,59
2014-03-16,56
2014-03-23,63
2014-03-30,61
2014-04-06,60
2014-04-13,60
2014-04-20,60
2014-04-27,61
2014-05-04,68
2014-05-11,58
2014-05-18,58
2014-05-25,58
2014-06-01,57
2014-06-08,56
2014-06-15,57
2014-06-22,55
2014-06-29,53
2014-07-06,57
2014-07-13,58
2014-07-20,56
2014-07-27,57
2014-08-03,57
2014-08-10,55
2014-08-17,63
2014-08-24,63
2014-08-31,59
2014-09-07,62
2014-09-14,66
2014-09-21,66
2014-09-28,71
2014-10-05,71
2014-10-12,74
2014-10-19,74
2014-10-26,100
2014-11-02,65
2014-11-09,60
2014-11-16,60
2014-11-23,57
2014-11-30,61
2014-12-07,58
2014-12-14,55
2014-12-21,54
2014-12-28,61
2015-01-04,62
2015-01-11,65
2015-01-18,66
2015-01-25,68
2015-02-01,68
2015-02-08,68
2015-02-15,62
2015-02-22,67
2015-03-01,70
2015-03-08,65
2015-03-15,67
2015-03-22,67
2015-03-29,66
2015-04-05,64
2015-04-12,59
2015-04-19,60
2015-04-26,61
2015-05-03,60
2015-05-10,59
2015-05-17,58
2015-05-24,56
2015-05-31,61
2015-06-07,57
2015-06-14,55
2015-06-21,53
2015-06-28,51
2015-07-05,51
2015-07-12,54
2015-07-19,54
2015-07-26,53
2015-08-02,54
2015-08-09,54
2015-08-16,55
2015-08-23,55
2015-08-30,54
2015-09-06,57
2015-09-13,55
2015-09-20,59
2015-09-27,60
2015-10-04,62
2015-10-11,63
2015-10-18,68
2015-10-25,74
2015-11-01,51
2015-11-08,50
2015-11-15,48
2015-11-22,50
2015-11-29,51
2015-12-06,50
2015-12-13,49
2015-12-20,49
2015-12-27,54
