Category: All categories

Week,Cowl: (Worldwide)
2012-01-01,61
2012-01-08,60
2012-01-15,65
2012-01-22,68
2012-01-29,52
2012-02-05,57
2012-02-12,54
2012-02-19,58
2012-02-26,53
2012-03-04,55
2012-03-11,52
2012-03-18,51
2012-03-25,49
2012-04-01,50
2012-04-08,49
2012-04-15,49
2012-04-22,48
2012-04-29,55
2012-05-06,49
2012-05-13,50
2012-05-20,45
2012-05-27,46
2012-06-03,48
2012-06-10,49
2012-06-17,51
2012-06-24,53
2012-07-01,47
2012-07-08,51
2012-07-15,57
2012-07-22,63
2012-07-29,60
2012-08-05,59
2012-08-12,58
2012-08-19,63
2012-08-26,56
2012-09-02,54
2012-09-09,54
2012-09-16,64
2012-09-23,67
2012-09-30,68
2012-10-07,68
2012-10-14,74
2012-10-21,75
2012-10-28,71
2012-11-04,77
2012-11-11,79
2012-11-18,79
2012-11-25,92
2012-12-02,98
2012-12-09,82
2012-12-16,77
2012-12-23,79
2012-12-30,79
2013-01-06,68
2013-01-13,69
2013-01-20,68
2013-01-27,64
2013-02-03,63
2013-02-10,56
2013-02-17,59
2013-02-24,61
2013-03-03,57
2013-03-10,52
2013-03-17,51
2013-03-24,58
2013-03-31,52
2013-04-07,51
2013-04-14,48
2013-04-21,52
2013-04-28,51
2013-05-05,50
2013-05-12,47
2013-05-19,52
2013-05-26,46
2013-06-02,52
2013-06-09,52
2013-06-16,48
2013-06-23,52
2013-06-30,50
2013-07-07,49
2013-07-14,49
2013-07-21,52
2013-07-28,54
2013-08-04,53
2013-08-11,55
2013-08-18,57
2013-08-25,55
2013-09-01,50
2013-09-08,55
2013-09-15,61
2013-09-22,62
2013-09-29,63
2013-10-06,65
2013-10-13,63
2013-10-20,71
2013-10-27,71
2013-11-03,75
2013-11-10,77
2013-11-17,77
2013-11-24,91
2013-12-01,90
2013-12-08,93
2013-12-15,83
2013-12-22,83
2013-12-29,91
2014-01-05,77
2014-01-12,75
2014-01-19,80
2014-01-26,75
2014-02-02,71
2014-02-09,73
2014-02-16,70
2014-02-23,63
2014-03-02,63
2014-03-09,59
2014-03-16,61
2014-03-23,57
2014-03-30,59
2014-04-06,55
2014-04-13,52
2014-04-20,54
2014-04-27,51
2014-05-04,52
2014-05-11,50
2014-05-18,49
2014-05-25,53
2014-06-01,51
2014-06-08,49
2014-06-15,48
2014-06-22,49
2014-06-29,51
2014-07-06,48
2014-07-13,57
2014-07-20,63
2014-07-27,59
2014-08-03,61
2014-08-10,59
2014-08-17,60
2014-08-24,65
2014-08-31,59
2014-09-07,61
2014-09-14,68
2014-09-21,70
2014-09-28,72
2014-10-05,71
2014-10-12,78
2014-10-19,80
2014-10-26,82
2014-11-02,94
2014-11-09,96
2014-11-16,100
2014-11-23,94
2014-11-30,96
2014-12-07,97
2014-12-14,89
2014-12-21,86
2014-12-28,97
2015-01-04,86
2015-01-11,80
2015-01-18,75
2015-01-25,72
2015-02-01,70
2015-02-08,63
2015-02-15,68
2015-02-22,63
2015-03-01,69
2015-03-08,59
2015-03-15,57
2015-03-22,56
2015-03-29,55
2015-04-05,55
2015-04-12,57
2015-04-19,56
2015-04-26,58
2015-05-03,57
2015-05-10,52
2015-05-17,52
2015-05-24,54
2015-05-31,54
2015-06-07,48
2015-06-14,55
2015-06-21,60
2015-06-28,65
2015-07-05,61
2015-07-12,59
2015-07-19,62
2015-07-26,57
2015-08-02,61
2015-08-09,63
2015-08-16,67
2015-08-23,64
2015-08-30,63
2015-09-06,63
2015-09-13,63
2015-09-20,68
2015-09-27,72
2015-10-04,76
2015-10-11,79
2015-10-18,82
2015-10-25,77
2015-11-01,78
2015-11-08,83
2015-11-15,82
2015-11-22,85
2015-11-29,92
2015-12-06,86
2015-12-13,76
2015-12-20,81
2015-12-27,86
