Category: All categories

Week,Cuff: (Worldwide)
2012-01-01,68
2012-01-08,72
2012-01-15,72
2012-01-22,68
2012-01-29,75
2012-02-05,74
2012-02-12,73
2012-02-19,72
2012-02-26,74
2012-03-04,72
2012-03-11,70
2012-03-18,69
2012-03-25,71
2012-04-01,70
2012-04-08,71
2012-04-15,72
2012-04-22,76
2012-04-29,74
2012-05-06,72
2012-05-13,74
2012-05-20,72
2012-05-27,70
2012-06-03,71
2012-06-10,74
2012-06-17,69
2012-06-24,71
2012-07-01,67
2012-07-08,76
2012-07-15,76
2012-07-22,77
2012-07-29,77
2012-08-05,76
2012-08-12,78
2012-08-19,77
2012-08-26,73
2012-09-02,72
2012-09-09,73
2012-09-16,77
2012-09-23,75
2012-09-30,76
2012-10-07,73
2012-10-14,74
2012-10-21,72
2012-10-28,70
2012-11-04,73
2012-11-11,77
2012-11-18,74
2012-11-25,82
2012-12-02,86
2012-12-09,85
2012-12-16,75
2012-12-23,68
2012-12-30,72
2013-01-06,74
2013-01-13,75
2013-01-20,74
2013-01-27,76
2013-02-03,76
2013-02-10,74
2013-02-17,76
2013-02-24,76
2013-03-03,75
2013-03-10,72
2013-03-17,73
2013-03-24,71
2013-03-31,72
2013-04-07,74
2013-04-14,76
2013-04-21,75
2013-04-28,73
2013-05-05,72
2013-05-12,71
2013-05-19,70
2013-05-26,68
2013-06-02,72
2013-06-09,71
2013-06-16,73
2013-06-23,72
2013-06-30,67
2013-07-07,72
2013-07-14,73
2013-07-21,73
2013-07-28,75
2013-08-04,76
2013-08-11,72
2013-08-18,74
2013-08-25,71
2013-09-01,71
2013-09-08,75
2013-09-15,74
2013-09-22,74
2013-09-29,74
2013-10-06,73
2013-10-13,77
2013-10-20,77
2013-10-27,74
2013-11-03,79
2013-11-10,79
2013-11-17,84
2013-11-24,81
2013-12-01,86
2013-12-08,91
2013-12-15,84
2013-12-22,72
2013-12-29,75
2014-01-05,76
2014-01-12,76
2014-01-19,79
2014-01-26,78
2014-02-02,75
2014-02-09,76
2014-02-16,77
2014-02-23,81
2014-03-02,77
2014-03-09,77
2014-03-16,74
2014-03-23,78
2014-03-30,76
2014-04-06,76
2014-04-13,76
2014-04-20,79
2014-04-27,77
2014-05-04,75
2014-05-11,75
2014-05-18,73
2014-05-25,70
2014-06-01,73
2014-06-08,71
2014-06-15,72
2014-06-22,72
2014-06-29,68
2014-07-06,73
2014-07-13,72
2014-07-20,75
2014-07-27,75
2014-08-03,75
2014-08-10,73
2014-08-17,77
2014-08-24,75
2014-08-31,73
2014-09-07,74
2014-09-14,77
2014-09-21,75
2014-09-28,77
2014-10-05,78
2014-10-12,77
2014-10-19,79
2014-10-26,77
2014-11-02,77
2014-11-09,81
2014-11-16,83
2014-11-23,78
2014-11-30,89
2014-12-07,89
2014-12-14,85
2014-12-21,73
2014-12-28,75
2015-01-04,78
2015-01-11,77
2015-01-18,93
2015-01-25,85
2015-02-01,78
2015-02-08,79
2015-02-15,79
2015-02-22,81
2015-03-01,78
2015-03-08,79
2015-03-15,75
2015-03-22,76
2015-03-29,73
2015-04-05,77
2015-04-12,76
2015-04-19,77
2015-04-26,77
2015-05-03,88
2015-05-10,79
2015-05-17,77
2015-05-24,74
2015-05-31,77
2015-06-07,77
2015-06-14,73
2015-06-21,71
2015-06-28,71
2015-07-05,74
2015-07-12,76
2015-07-19,80
2015-07-26,79
2015-08-02,76
2015-08-09,76
2015-08-16,76
2015-08-23,76
2015-08-30,76
2015-09-06,76
2015-09-13,79
2015-09-20,84
2015-09-27,82
2015-10-04,84
2015-10-11,82
2015-10-18,80
2015-10-25,83
2015-11-01,86
2015-11-08,83
2015-11-15,83
2015-11-22,85
2015-11-29,98
2015-12-06,100
2015-12-13,98
2015-12-20,89
2015-12-27,82
