Category: All categories

Week,Lapel pin: (Worldwide)
2012-01-01,26
2012-01-08,25
2012-01-15,36
2012-01-22,47
2012-01-29,36
2012-02-05,34
2012-02-12,30
2012-02-19,30
2012-02-26,37
2012-03-04,36
2012-03-11,32
2012-03-18,25
2012-03-25,31
2012-04-01,36
2012-04-08,31
2012-04-15,30
2012-04-22,37
2012-04-29,42
2012-05-06,91
2012-05-13,36
2012-05-20,34
2012-05-27,30
2012-06-03,31
2012-06-10,31
2012-06-17,22
2012-06-24,26
2012-07-01,28
2012-07-08,27
2012-07-15,27
2012-07-22,31
2012-07-29,32
2012-08-05,32
2012-08-12,36
2012-08-19,33
2012-08-26,61
2012-09-02,35
2012-09-09,32
2012-09-16,43
2012-09-23,35
2012-09-30,100
2012-10-07,57
2012-10-14,59
2012-10-21,75
2012-10-28,45
2012-11-04,54
2012-11-11,38
2012-11-18,32
2012-11-25,38
2012-12-02,43
2012-12-09,38
2012-12-16,30
2012-12-23,23
2012-12-30,33
2013-01-06,33
2013-01-13,32
2013-01-20,30
2013-01-27,33
2013-02-03,37
2013-02-10,39
2013-02-17,34
2013-02-24,37
2013-03-03,33
2013-03-10,34
2013-03-17,33
2013-03-24,34
2013-03-31,39
2013-04-07,36
2013-04-14,38
2013-04-21,39
2013-04-28,39
2013-05-05,37
2013-05-12,33
2013-05-19,31
2013-05-26,32
2013-06-02,29
2013-06-09,34
2013-06-16,29
2013-06-23,29
2013-06-30,23
2013-07-07,24
2013-07-14,32
2013-07-21,30
2013-07-28,30
2013-08-04,24
2013-08-11,28
2013-08-18,30
2013-08-25,30
2013-09-01,36
2013-09-08,40
2013-09-15,32
2013-09-22,36
2013-09-29,32
2013-10-06,32
2013-10-13,37
2013-10-20,42
2013-10-27,42
2013-11-03,50
2013-11-10,50
2013-11-17,43
2013-11-24,33
2013-12-01,37
2013-12-08,41
2013-12-15,36
2013-12-22,35
2013-12-29,29
2014-01-05,35
2014-01-12,39
2014-01-19,35
2014-01-26,43
2014-02-02,41
2014-02-09,38
2014-02-16,35
2014-02-23,36
2014-03-02,47
2014-03-09,34
2014-03-16,37
2014-03-23,39
2014-03-30,43
2014-04-06,36
2014-04-13,44
2014-04-20,39
2014-04-27,42
2014-05-04,42
2014-05-11,40
2014-05-18,40
2014-05-25,35
2014-06-01,30
2014-06-08,37
2014-06-15,35
2014-06-22,35
2014-06-29,32
2014-07-06,32
2014-07-13,40
2014-07-20,35
2014-07-27,39
2014-08-03,34
2014-08-10,33
2014-08-17,33
2014-08-24,33
2014-08-31,35
2014-09-07,43
2014-09-14,40
2014-09-21,43
2014-09-28,39
2014-10-05,42
2014-10-12,38
2014-10-19,55
2014-10-26,57
2014-11-02,61
2014-11-09,57
2014-11-16,48
2014-11-23,63
2014-11-30,51
2014-12-07,51
2014-12-14,57
2014-12-21,36
2014-12-28,32
2015-01-04,39
2015-01-11,45
2015-01-18,44
2015-01-25,51
2015-02-01,45
2015-02-08,48
2015-02-15,45
2015-02-22,48
2015-03-01,48
2015-03-08,42
2015-03-15,47
2015-03-22,40
2015-03-29,52
2015-04-05,45
2015-04-12,37
2015-04-19,48
2015-04-26,48
2015-05-03,43
2015-05-10,47
2015-05-17,44
2015-05-24,40
2015-05-31,43
2015-06-07,39
2015-06-14,40
2015-06-21,41
2015-06-28,40
2015-07-05,37
2015-07-12,43
2015-07-19,40
2015-07-26,39
2015-08-02,41
2015-08-09,37
2015-08-16,44
2015-08-23,39
2015-08-30,41
2015-09-06,40
2015-09-13,51
2015-09-20,44
2015-09-27,54
2015-10-04,42
2015-10-11,50
2015-10-18,50
2015-10-25,63
2015-11-01,60
2015-11-08,65
2015-11-15,57
2015-11-22,56
2015-11-29,53
2015-12-06,58
2015-12-13,53
2015-12-20,43
2015-12-27,46
