Category: All categories

Week,Dirndl: (Worldwide)
2012-01-01,10
2012-01-08,11
2012-01-15,10
2012-01-22,11
2012-01-29,12
2012-02-05,11
2012-02-12,12
2012-02-19,11
2012-02-26,9
2012-03-04,11
2012-03-11,10
2012-03-18,10
2012-03-25,10
2012-04-01,11
2012-04-08,13
2012-04-15,16
2012-04-22,17
2012-04-29,17
2012-05-06,16
2012-05-13,15
2012-05-20,14
2012-05-27,15
2012-06-03,15
2012-06-10,15
2012-06-17,12
2012-06-24,14
2012-07-01,15
2012-07-08,18
2012-07-15,21
2012-07-22,21
2012-07-29,23
2012-08-05,27
2012-08-12,30
2012-08-19,35
2012-08-26,45
2012-09-02,48
2012-09-09,55
2012-09-16,65
2012-09-23,89
2012-09-30,66
2012-10-07,39
2012-10-14,24
2012-10-21,19
2012-10-28,11
2012-11-04,10
2012-11-11,9
2012-11-18,9
2012-11-25,8
2012-12-02,8
2012-12-09,8
2012-12-16,6
2012-12-23,8
2012-12-30,9
2013-01-06,10
2013-01-13,11
2013-01-20,11
2013-01-27,15
2013-02-03,13
2013-02-10,11
2013-02-17,10
2013-02-24,11
2013-03-03,10
2013-03-10,12
2013-03-17,12
2013-03-24,12
2013-03-31,14
2013-04-07,15
2013-04-14,14
2013-04-21,16
2013-04-28,19
2013-05-05,18
2013-05-12,16
2013-05-19,16
2013-05-26,15
2013-06-02,12
2013-06-09,13
2013-06-16,12
2013-06-23,15
2013-06-30,16
2013-07-07,17
2013-07-14,20
2013-07-21,19
2013-07-28,22
2013-08-04,30
2013-08-11,35
2013-08-18,44
2013-08-25,48
2013-09-01,51
2013-09-08,57
2013-09-15,70
2013-09-22,93
2013-09-29,72
2013-10-06,43
2013-10-13,26
2013-10-20,20
2013-10-27,13
2013-11-03,10
2013-11-10,9
2013-11-17,8
2013-11-24,7
2013-12-01,6
2013-12-08,8
2013-12-15,6
2013-12-22,7
2013-12-29,9
2014-01-05,11
2014-01-12,11
2014-01-19,11
2014-01-26,11
2014-02-02,11
2014-02-09,11
2014-02-16,11
2014-02-23,12
2014-03-02,11
2014-03-09,10
2014-03-16,11
2014-03-23,11
2014-03-30,12
2014-04-06,14
2014-04-13,14
2014-04-20,19
2014-04-27,21
2014-05-04,18
2014-05-11,17
2014-05-18,14
2014-05-25,15
2014-06-01,15
2014-06-08,13
2014-06-15,15
2014-06-22,16
2014-06-29,17
2014-07-06,19
2014-07-13,20
2014-07-20,23
2014-07-27,26
2014-08-03,31
2014-08-10,38
2014-08-17,42
2014-08-24,51
2014-08-31,59
2014-09-07,63
2014-09-14,75
2014-09-21,93
2014-09-28,81
2014-10-05,50
2014-10-12,31
2014-10-19,22
2014-10-26,15
2014-11-02,11
2014-11-09,10
2014-11-16,9
2014-11-23,8
2014-11-30,7
2014-12-07,7
2014-12-14,6
2014-12-21,7
2014-12-28,10
2015-01-04,11
2015-01-11,11
2015-01-18,12
2015-01-25,12
2015-02-01,12
2015-02-08,13
2015-02-15,11
2015-02-22,10
2015-03-01,11
2015-03-08,11
2015-03-15,11
2015-03-22,12
2015-03-29,13
2015-04-05,15
2015-04-12,15
2015-04-19,17
2015-04-26,21
2015-05-03,18
2015-05-10,16
2015-05-17,16
2015-05-24,17
2015-05-31,14
2015-06-07,14
2015-06-14,16
2015-06-21,17
2015-06-28,13
2015-07-05,16
2015-07-12,20
2015-07-19,23
2015-07-26,27
2015-08-02,28
2015-08-09,33
2015-08-16,42
2015-08-23,51
2015-08-30,57
2015-09-06,62
2015-09-13,76
2015-09-20,100
2015-09-27,79
2015-10-04,50
2015-10-11,31
2015-10-18,21
2015-10-25,15
2015-11-01,10
2015-11-08,9
2015-11-15,8
2015-11-22,7
2015-11-29,7
2015-12-06,7
2015-12-13,6
2015-12-20,9
2015-12-27,9
