Category: All categories

Week,turtleneck: (Worldwide)
2012-01-01,43
2012-01-08,36
2012-01-15,35
2012-01-22,33
2012-01-29,30
2012-02-05,28
2012-02-12,25
2012-02-19,25
2012-02-26,25
2012-03-04,24
2012-03-11,20
2012-03-18,18
2012-03-25,18
2012-04-01,17
2012-04-08,17
2012-04-15,18
2012-04-22,17
2012-04-29,15
2012-05-06,16
2012-05-13,15
2012-05-20,15
2012-05-27,14
2012-06-03,13
2012-06-10,15
2012-06-17,15
2012-06-24,16
2012-07-01,14
2012-07-08,15
2012-07-15,15
2012-07-22,18
2012-07-29,15
2012-08-05,19
2012-08-12,21
2012-08-19,22
2012-08-26,22
2012-09-02,24
2012-09-09,27
2012-09-16,30
2012-09-23,38
2012-09-30,36
2012-10-07,43
2012-10-14,43
2012-10-21,48
2012-10-28,45
2012-11-04,39
2012-11-11,50
2012-11-18,46
2012-11-25,57
2012-12-02,52
2012-12-09,58
2012-12-16,47
2012-12-23,48
2012-12-30,44
2013-01-06,33
2013-01-13,36
2013-01-20,37
2013-01-27,36
2013-02-03,30
2013-02-10,30
2013-02-17,29
2013-02-24,26
2013-03-03,26
2013-03-10,23
2013-03-17,21
2013-03-24,21
2013-03-31,21
2013-04-07,18
2013-04-14,17
2013-04-21,20
2013-04-28,18
2013-05-05,17
2013-05-12,15
2013-05-19,16
2013-05-26,15
2013-06-02,14
2013-06-09,15
2013-06-16,15
2013-06-23,16
2013-06-30,15
2013-07-07,16
2013-07-14,16
2013-07-21,15
2013-07-28,16
2013-08-04,21
2013-08-11,20
2013-08-18,20
2013-08-25,20
2013-09-01,22
2013-09-08,25
2013-09-15,36
2013-09-22,32
2013-09-29,36
2013-10-06,40
2013-10-13,42
2013-10-20,52
2013-10-27,47
2013-11-03,46
2013-11-10,54
2013-11-17,55
2013-11-24,62
2013-12-01,65
2013-12-08,75
2013-12-15,60
2013-12-22,46
2013-12-29,46
2014-01-05,44
2014-01-12,36
2014-01-19,40
2014-01-26,37
2014-02-02,31
2014-02-09,30
2014-02-16,30
2014-02-23,26
2014-03-02,24
2014-03-09,25
2014-03-16,23
2014-03-23,23
2014-03-30,21
2014-04-06,19
2014-04-13,20
2014-04-20,17
2014-04-27,20
2014-05-04,20
2014-05-11,17
2014-05-18,16
2014-05-25,16
2014-06-01,15
2014-06-08,15
2014-06-15,16
2014-06-22,15
2014-06-29,15
2014-07-06,16
2014-07-13,18
2014-07-20,21
2014-07-27,20
2014-08-03,19
2014-08-10,22
2014-08-17,23
2014-08-24,25
2014-08-31,29
2014-09-07,32
2014-09-14,34
2014-09-21,36
2014-09-28,39
2014-10-05,48
2014-10-12,50
2014-10-19,53
2014-10-26,54
2014-11-02,55
2014-11-09,66
2014-11-16,75
2014-11-23,64
2014-11-30,76
2014-12-07,95
2014-12-14,80
2014-12-21,67
2014-12-28,67
2015-01-04,57
2015-01-11,53
2015-01-18,48
2015-01-25,45
2015-02-01,44
2015-02-08,40
2015-02-15,43
2015-02-22,38
2015-03-01,37
2015-03-08,31
2015-03-15,33
2015-03-22,30
2015-03-29,27
2015-04-05,27
2015-04-12,26
2015-04-19,25
2015-04-26,24
2015-05-03,25
2015-05-10,23
2015-05-17,24
2015-05-24,23
2015-05-31,25
2015-06-07,20
2015-06-14,24
2015-06-21,22
2015-06-28,21
2015-07-05,21
2015-07-12,22
2015-07-19,23
2015-07-26,25
2015-08-02,26
2015-08-09,27
2015-08-16,29
2015-08-23,32
2015-08-30,35
2015-09-06,41
2015-09-13,43
2015-09-20,49
2015-09-27,57
2015-10-04,63
2015-10-11,69
2015-10-18,82
2015-10-25,84
2015-11-01,71
2015-11-08,77
2015-11-15,79
2015-11-22,93
2015-11-29,100
2015-12-06,98
2015-12-13,92
2015-12-20,78
2015-12-27,85
