Category: All categories

Week,tutu: (Worldwide)
2012-01-01,35
2012-01-08,38
2012-01-15,38
2012-01-22,39
2012-01-29,38
2012-02-05,38
2012-02-12,38
2012-02-19,38
2012-02-26,38
2012-03-04,37
2012-03-11,37
2012-03-18,38
2012-03-25,36
2012-04-01,37
2012-04-08,39
2012-04-15,38
2012-04-22,40
2012-04-29,39
2012-05-06,36
2012-05-13,36
2012-05-20,44
2012-05-27,39
2012-06-03,36
2012-06-10,38
2012-06-17,34
2012-06-24,35
2012-07-01,36
2012-07-08,35
2012-07-15,38
2012-07-22,36
2012-07-29,36
2012-08-05,37
2012-08-12,38
2012-08-19,39
2012-08-26,40
2012-09-02,49
2012-09-09,46
2012-09-16,52
2012-09-23,56
2012-09-30,57
2012-10-07,60
2012-10-14,64
2012-10-21,80
2012-10-28,56
2012-11-04,40
2012-11-11,42
2012-11-18,40
2012-11-25,44
2012-12-02,44
2012-12-09,40
2012-12-16,35
2012-12-23,36
2012-12-30,36
2013-01-06,39
2013-01-13,39
2013-01-20,43
2013-01-27,43
2013-02-03,43
2013-02-10,42
2013-02-17,41
2013-02-24,41
2013-03-03,41
2013-03-10,41
2013-03-17,39
2013-03-24,38
2013-03-31,37
2013-04-07,39
2013-04-14,39
2013-04-21,39
2013-04-28,40
2013-05-05,39
2013-05-12,37
2013-05-19,41
2013-05-26,39
2013-06-02,39
2013-06-09,39
2013-06-16,38
2013-06-23,40
2013-06-30,39
2013-07-07,37
2013-07-14,38
2013-07-21,40
2013-07-28,44
2013-08-04,39
2013-08-11,39
2013-08-18,39
2013-08-25,39
2013-09-01,41
2013-09-08,43
2013-09-15,46
2013-09-22,49
2013-09-29,54
2013-10-06,62
2013-10-13,64
2013-10-20,74
2013-10-27,70
2013-11-03,42
2013-11-10,41
2013-11-17,47
2013-11-24,49
2013-12-01,69
2013-12-08,94
2013-12-15,60
2013-12-22,45
2013-12-29,41
2014-01-05,42
2014-01-12,46
2014-01-19,45
2014-01-26,47
2014-02-02,44
2014-02-09,43
2014-02-16,45
2014-02-23,47
2014-03-02,46
2014-03-09,46
2014-03-16,43
2014-03-23,48
2014-03-30,44
2014-04-06,42
2014-04-13,41
2014-04-20,43
2014-04-27,45
2014-05-04,45
2014-05-11,42
2014-05-18,43
2014-05-25,43
2014-06-01,45
2014-06-08,40
2014-06-15,40
2014-06-22,40
2014-06-29,40
2014-07-06,42
2014-07-13,44
2014-07-20,43
2014-07-27,42
2014-08-03,44
2014-08-10,42
2014-08-17,45
2014-08-24,44
2014-08-31,45
2014-09-07,48
2014-09-14,51
2014-09-21,58
2014-09-28,59
2014-10-05,65
2014-10-12,69
2014-10-19,79
2014-10-26,95
2014-11-02,47
2014-11-09,46
2014-11-16,46
2014-11-23,43
2014-11-30,47
2014-12-07,45
2014-12-14,40
2014-12-21,38
2014-12-28,37
2015-01-04,39
2015-01-11,42
2015-01-18,42
2015-01-25,45
2015-02-01,47
2015-02-08,47
2015-02-15,43
2015-02-22,42
2015-03-01,44
2015-03-08,45
2015-03-15,45
2015-03-22,43
2015-03-29,39
2015-04-05,40
2015-04-12,41
2015-04-19,44
2015-04-26,44
2015-05-03,42
2015-05-10,44
2015-05-17,43
2015-05-24,41
2015-05-31,45
2015-06-07,44
2015-06-14,43
2015-06-21,40
2015-06-28,42
2015-07-05,40
2015-07-12,43
2015-07-19,41
2015-07-26,42
2015-08-02,41
2015-08-09,43
2015-08-16,43
2015-08-23,44
2015-08-30,45
2015-09-06,49
2015-09-13,50
2015-09-20,55
2015-09-27,57
2015-10-04,65
2015-10-11,66
2015-10-18,77
2015-10-25,100
2015-11-01,47
2015-11-08,46
2015-11-15,45
2015-11-22,42
2015-11-29,45
2015-12-06,44
2015-12-13,42
2015-12-20,36
2015-12-27,39
