Category: All categories

Week,trousers: (Worldwide)
2012-01-01,66
2012-01-08,69
2012-01-15,65
2012-01-22,64
2012-01-29,64
2012-02-05,63
2012-02-12,62
2012-02-19,62
2012-02-26,64
2012-03-04,63
2012-03-11,62
2012-03-18,63
2012-03-25,64
2012-04-01,64
2012-04-08,66
2012-04-15,71
2012-04-22,72
2012-04-29,72
2012-05-06,68
2012-05-13,68
2012-05-20,70
2012-05-27,67
2012-06-03,65
2012-06-10,68
2012-06-17,68
2012-06-24,69
2012-07-01,70
2012-07-08,68
2012-07-15,72
2012-07-22,63
2012-07-29,64
2012-08-05,65
2012-08-12,71
2012-08-19,71
2012-08-26,76
2012-09-02,75
2012-09-09,70
2012-09-16,73
2012-09-23,78
2012-09-30,75
2012-10-07,71
2012-10-14,71
2012-10-21,73
2012-10-28,67
2012-11-04,68
2012-11-11,69
2012-11-18,71
2012-11-25,72
2012-12-02,72
2012-12-09,66
2012-12-16,55
2012-12-23,63
2012-12-30,68
2013-01-06,69
2013-01-13,72
2013-01-20,67
2013-01-27,68
2013-02-03,72
2013-02-10,65
2013-02-17,64
2013-02-24,67
2013-03-03,69
2013-03-10,81
2013-03-17,72
2013-03-24,69
2013-03-31,68
2013-04-07,74
2013-04-14,77
2013-04-21,77
2013-04-28,80
2013-05-05,76
2013-05-12,77
2013-05-19,73
2013-05-26,74
2013-06-02,74
2013-06-09,73
2013-06-16,74
2013-06-23,73
2013-06-30,76
2013-07-07,72
2013-07-14,75
2013-07-21,75
2013-07-28,79
2013-08-04,77
2013-08-11,77
2013-08-18,77
2013-08-25,78
2013-09-01,81
2013-09-08,81
2013-09-15,81
2013-09-22,75
2013-09-29,76
2013-10-06,78
2013-10-13,83
2013-10-20,79
2013-10-27,77
2013-11-03,78
2013-11-10,79
2013-11-17,83
2013-11-24,79
2013-12-01,77
2013-12-08,75
2013-12-15,66
2013-12-22,70
2013-12-29,85
2014-01-05,81
2014-01-12,80
2014-01-19,79
2014-01-26,81
2014-02-02,78
2014-02-09,78
2014-02-16,81
2014-02-23,81
2014-03-02,80
2014-03-09,79
2014-03-16,78
2014-03-23,79
2014-03-30,82
2014-04-06,85
2014-04-13,83
2014-04-20,89
2014-04-27,90
2014-05-04,90
2014-05-11,88
2014-05-18,91
2014-05-25,89
2014-06-01,88
2014-06-08,89
2014-06-15,82
2014-06-22,88
2014-06-29,89
2014-07-06,88
2014-07-13,86
2014-07-20,89
2014-07-27,87
2014-08-03,87
2014-08-10,88
2014-08-17,90
2014-08-24,94
2014-08-31,90
2014-09-07,81
2014-09-14,82
2014-09-21,84
2014-09-28,86
2014-10-05,91
2014-10-12,91
2014-10-19,83
2014-10-26,82
2014-11-02,88
2014-11-09,87
2014-11-16,86
2014-11-23,92
2014-11-30,88
2014-12-07,85
2014-12-14,71
2014-12-21,70
2014-12-28,90
2015-01-04,85
2015-01-11,87
2015-01-18,83
2015-01-25,87
2015-02-01,81
2015-02-08,78
2015-02-15,80
2015-02-22,87
2015-03-01,86
2015-03-08,85
2015-03-15,85
2015-03-22,87
2015-03-29,88
2015-04-05,88
2015-04-12,95
2015-04-19,98
2015-04-26,97
2015-05-03,92
2015-05-10,96
2015-05-17,95
2015-05-24,97
2015-05-31,97
2015-06-07,95
2015-06-14,98
2015-06-21,97
2015-06-28,99
2015-07-05,96
2015-07-12,95
2015-07-19,95
2015-07-26,94
2015-08-02,98
2015-08-09,92
2015-08-16,93
2015-08-23,100
2015-08-30,95
2015-09-06,94
2015-09-13,93
2015-09-20,91
2015-09-27,87
2015-10-04,91
2015-10-11,94
2015-10-18,91
2015-10-25,87
2015-11-01,88
2015-11-08,92
2015-11-15,90
2015-11-22,99
2015-11-29,97
2015-12-06,92
2015-12-13,81
2015-12-20,74
2015-12-27,97
