Category: All categories

Week,trunks: (Worldwide)
2012-01-01,62
2012-01-08,56
2012-01-15,65
2012-01-22,65
2012-01-29,64
2012-02-05,73
2012-02-12,72
2012-02-19,72
2012-02-26,71
2012-03-04,75
2012-03-11,70
2012-03-18,65
2012-03-25,67
2012-04-01,67
2012-04-08,66
2012-04-15,64
2012-04-22,68
2012-04-29,73
2012-05-06,67
2012-05-13,65
2012-05-20,75
2012-05-27,80
2012-06-03,76
2012-06-10,80
2012-06-17,77
2012-06-24,81
2012-07-01,83
2012-07-08,82
2012-07-15,76
2012-07-22,77
2012-07-29,88
2012-08-05,77
2012-08-12,75
2012-08-19,71
2012-08-26,66
2012-09-02,68
2012-09-09,60
2012-09-16,63
2012-09-23,60
2012-09-30,59
2012-10-07,57
2012-10-14,57
2012-10-21,55
2012-10-28,55
2012-11-04,54
2012-11-11,54
2012-11-18,59
2012-11-25,56
2012-12-02,55
2012-12-09,60
2012-12-16,56
2012-12-23,60
2012-12-30,64
2013-01-06,59
2013-01-13,57
2013-01-20,60
2013-01-27,60
2013-02-03,66
2013-02-10,66
2013-02-17,63
2013-02-24,65
2013-03-03,63
2013-03-10,64
2013-03-17,66
2013-03-24,71
2013-03-31,72
2013-04-07,70
2013-04-14,69
2013-04-21,72
2013-04-28,70
2013-05-05,71
2013-05-12,74
2013-05-19,77
2013-05-26,80
2013-06-02,81
2013-06-09,75
2013-06-16,76
2013-06-23,80
2013-06-30,81
2013-07-07,78
2013-07-14,81
2013-07-21,78
2013-07-28,75
2013-08-04,76
2013-08-11,73
2013-08-18,67
2013-08-25,59
2013-09-01,59
2013-09-08,58
2013-09-15,56
2013-09-22,54
2013-09-29,57
2013-10-06,57
2013-10-13,58
2013-10-20,56
2013-10-27,55
2013-11-03,52
2013-11-10,54
2013-11-17,55
2013-11-24,54
2013-12-01,57
2013-12-08,56
2013-12-15,55
2013-12-22,56
2013-12-29,60
2014-01-05,57
2014-01-12,61
2014-01-19,60
2014-01-26,63
2014-02-02,63
2014-02-09,61
2014-02-16,62
2014-02-23,62
2014-03-02,67
2014-03-09,64
2014-03-16,66
2014-03-23,66
2014-03-30,65
2014-04-06,70
2014-04-13,71
2014-04-20,71
2014-04-27,70
2014-05-04,72
2014-05-11,75
2014-05-18,76
2014-05-25,83
2014-06-01,78
2014-06-08,95
2014-06-15,88
2014-06-22,89
2014-06-29,84
2014-07-06,81
2014-07-13,76
2014-07-20,78
2014-07-27,78
2014-08-03,77
2014-08-10,70
2014-08-17,69
2014-08-24,66
2014-08-31,63
2014-09-07,57
2014-09-14,57
2014-09-21,54
2014-09-28,54
2014-10-05,56
2014-10-12,55
2014-10-19,56
2014-10-26,53
2014-11-02,53
2014-11-09,56
2014-11-16,58
2014-11-23,56
2014-11-30,59
2014-12-07,62
2014-12-14,57
2014-12-21,61
2014-12-28,63
2015-01-04,62
2015-01-11,61
2015-01-18,62
2015-01-25,60
2015-02-01,63
2015-02-08,62
2015-02-15,65
2015-02-22,84
2015-03-01,93
2015-03-08,89
2015-03-15,90
2015-03-22,85
2015-03-29,85
2015-04-05,82
2015-04-12,77
2015-04-19,78
2015-04-26,84
2015-05-03,80
2015-05-10,84
2015-05-17,85
2015-05-24,93
2015-05-31,93
2015-06-07,92
2015-06-14,94
2015-06-21,100
2015-06-28,97
2015-07-05,100
2015-07-12,99
2015-07-19,98
2015-07-26,93
2015-08-02,93
2015-08-09,89
2015-08-16,84
2015-08-23,76
2015-08-30,75
2015-09-06,78
2015-09-13,68
2015-09-20,71
2015-09-27,63
2015-10-04,62
2015-10-11,63
2015-10-18,65
2015-10-25,68
2015-11-01,64
2015-11-08,66
2015-11-15,68
2015-11-22,66
2015-11-29,69
2015-12-06,68
2015-12-13,72
2015-12-20,68
2015-12-27,74
